[0:00:00.00]-[0:00:02.00]  ¿Le falla el sal?
[0:00:02.00]-[0:00:04.00]  Sí.
[0:00:06.00]-[0:00:10.00]  Sí, sí, no nos importa que lo grabemos, es que si no, no nos da tiempo apuntarlo todo.
[0:00:10.00]-[0:00:12.00]  Es igual.
[0:00:12.00]-[0:00:18.00]  Pero no va a salir ni en la tele ni en ningún sitio, solo para la universidad que luego recogemos que...
[0:00:18.00]-[0:00:22.00]  ¿Es que de las aceitunas?
[0:00:22.00]-[0:00:24.00]  Bueno, de todo, de todo.
[0:00:24.00]-[0:00:26.00]  ¿Qué vamos a decirle?
[0:00:26.00]-[0:00:34.00]  Porque nos pasamos muchísimos trabajos y mucha hambre y descalzos y así para poder subir.
[0:00:38.00]-[0:00:45.00]  Ahora ha venido otra vida y estamos mejor, nos pagan y eso y vamos viviendo.
[0:00:45.00]-[0:00:54.00]  Pero antes, por la vida, descalzos, medios descalzos y con muchísimos trabajos y comer poco y así.
[0:00:54.00]-[0:00:56.00]  Hemos ido pasando.
[0:00:56.00]-[0:01:00.00]  ¿Y usted ha vivido aquí toda la vida?
[0:01:00.00]-[0:01:03.00]  Sí, toda la vida. Cuando estuvo en la Mili.
[0:01:03.00]-[0:01:06.00]  ¿Eso es falta del pueblo?
[0:01:06.00]-[0:01:08.00]  Salto del pueblo.
[0:01:08.00]-[0:01:12.00]  Estuvo en la guerra y en la Mili.
[0:01:12.00]-[0:01:16.00]  Diez años en la guerra. Diez años, diez meses.
[0:01:16.00]-[0:01:18.00]  En la guerra.
[0:01:18.00]-[0:01:21.00]  Y luego tres años en la Mili.
[0:01:21.00]-[0:01:23.00]  Tres años y medio.
[0:01:23.00]-[0:01:28.00]  Y luego vivieron, estuvo herido y todo.
[0:01:28.00]-[0:01:30.00]  Ya hemos pasado muchísimos trabajos.
[0:01:30.00]-[0:01:32.00]  Pasó un tiro por aquí y me salió por aquí.
[0:01:32.00]-[0:01:34.00]  Y luego por aquí.
[0:01:37.00]-[0:01:39.00]  ¿Y cómo se curó?
[0:01:39.00]-[0:01:44.00]  A los tres días o cuatro se cayó la entrada.
[0:01:44.00]-[0:01:46.00]  Que era como una lenteja.
[0:01:46.00]-[0:01:48.00]  Porque es una bala, claro.
[0:01:48.00]-[0:01:53.00]  Que ahí el 13 de enero y el 20 de febrero salí del hospital.
[0:01:53.00]-[0:01:58.00]  Nada más que curado sí, pero el pie, cómo se me ha colado la bala por aquí.
[0:01:58.00]-[0:02:03.00]  Y en los dolores, pues no sé tenerlo, que es el tiempo.
[0:02:03.00]-[0:02:06.00]  En el pie ahora ya no.
[0:02:06.00]-[0:02:16.00]  Pero es que desde el 39 en enero al tiempo que estamos ahora,
[0:02:16.00]-[0:02:18.00]  ya está bien.
