[0:00:00.00]-[0:00:01.00]  en el año.
[0:00:01.00]-[0:00:02.00]  ¡Cababó!
[0:00:02.00]-[0:00:05.00]  Las músicas, los espectadores, todo lo que se hace en las músicas.
[0:00:05.00]-[0:00:08.00]  Pero normalmente las tradiciones, normalmente son las mismas.
[0:00:08.00]-[0:00:11.00]  Porque por ejemplo, eso de los toros, de las vaquillas que se hacen aquí,
[0:00:11.00]-[0:00:14.00]  esto es una cosa que se ha estado por día de tiempos de memoria,
[0:00:14.00]-[0:00:17.00]  de los aviolos, los viejos, los nietos, ya es base.
[0:00:18.00]-[0:00:20.00]  Las vaquillas que en las fiestas se soltan por el pueblo,
[0:00:20.00]-[0:00:23.00]  cierran el pueblo y las vaquillas van por el pueblo.
[0:00:23.00]-[0:00:27.00]  No se les toca, nada más como para hacer las correas.
[0:00:27.00]-[0:00:32.00]  ¿Cuántas fiestas hay aquí en el pueblo al año?
[0:00:33.00]-[0:00:34.00]  ¿Cuántas?
[0:00:34.00]-[0:00:36.00]  Tradicionales, dos.
[0:00:36.00]-[0:00:41.00]  Que son las de San Jaime para julio, 25 de julio, y después San Martín.
[0:00:43.00]-[0:00:45.00]  Que las fiestas de San Martín no eran...
[0:00:45.00]-[0:00:49.00]  Se hicieron a raíz de 200 años, o 250,
[0:00:49.00]-[0:00:51.00]  que hubo un gran riado en el pueblo.
[0:00:51.00]-[0:00:54.00]  Aquí arriba del pueblo había una ermita que se llamaba Valencia de San Martín.
[0:00:54.00]-[0:00:59.00]  Y había la devoción de ir a fiestas de San Martín,
[0:00:59.00]-[0:01:01.00]  y la gente iba a ver a ver en Comería.
[0:01:02.00]-[0:01:06.00]  Y cuando vino una gran riada en el año 1780,
[0:01:06.00]-[0:01:09.00]  llegó todo el pueblo que denundaba.
[0:01:09.00]-[0:01:12.00]  La gente salió en procesión a la ermita y bajaron al santo,
[0:01:12.00]-[0:01:17.00]  y devoció no, o sea que la gente, las aguas volvieron a su cauce.
[0:01:17.00]-[0:01:21.00]  Y entonces el ayuntamiento acordaron que las fiestas mayores,
[0:01:21.00]-[0:01:24.00]  las mayores serían en el 11 de noviembre, que no lo verán.
[0:01:25.00]-[0:01:28.00]  Entonces, había una procesión desde la ermita al santo.
[0:01:28.00]-[0:01:30.00]  Ya no, bueno, otra cosa.
[0:01:30.00]-[0:01:34.00]  Cuando la guerra de la independencia los franceses,
[0:01:34.00]-[0:01:36.00]  que ocuparon Cherta, la destruyeron.
[0:01:37.00]-[0:01:40.00]  Y esta ermita está a un kilómetro y medio del pueblo,
[0:01:40.00]-[0:01:44.00]  un autozano que hay, y aún quedan algunos restos de la capilla.
[0:01:44.00]-[0:01:46.00]  Entonces ahora el santo donde...
[0:01:46.00]-[0:01:47.00]  San Martín.
[0:01:47.00]-[0:01:49.00]  El santo ahora está en la iglesia.
[0:01:49.00]-[0:01:52.00]  Ya tiene alguna procesión por el pueblo.
[0:01:52.00]-[0:01:54.00]  Sí, en el día de la fiesta mayor.
[0:01:54.00]-[0:01:57.00]  En el día de la fiesta mayor, una procesión por todo el pueblo.
[0:01:58.00]-[0:02:02.00]  Y vamos a hablar ahora del baile, el tradicional baile.
[0:02:02.00]-[0:02:07.00]  ¿Las orquestas había en aquella época, o era gente del pueblo con instrumentos?
[0:02:07.00]-[0:02:09.00]  No, no, había orquestas en el pueblo.
[0:02:09.00]-[0:02:12.00]  Había orquestas en el pueblo, lo que pasa es que en todos los pueblos había.
[0:02:12.00]-[0:02:13.00]  Sí, sí.
[0:02:13.00]-[0:02:16.00]  Aquí en Beninfayet, en Tortosa, en casi todos los pueblos.
[0:02:16.00]-[0:02:20.00]  ¿Y entonces qué hacían? Pues iban bailando de un pueblo para otro.
[0:02:21.00]-[0:02:23.00]  Pero eso es lo típico en las fiestas del baile.
[0:02:23.00]-[0:02:25.00]  ¿Y los bailes iban vestidos, imagino, como...?
