[0:00:00.00]-[0:00:02.00]  Hola, buenas tardes.
[0:00:05.00]-[0:00:11.00]  Yo salí ahora a caminar un pisco porque como me perdí la cadera, me rompí la cadera.
[0:00:11.00]-[0:00:18.00]  Estuve allá en Santa Cruz tanto día y después en el mojón, pero todos me hicieron bien.
[0:00:18.00]-[0:00:25.00]  Me querían como con locura y me curaron y entonces ya después cuando estaba en el mojón
[0:00:25.00]-[0:00:30.00]  el que me dio las rehabilitaciones dice doña...
[0:00:30.00]-[0:00:34.00]  En 18 días salí usted para su casa.
[0:00:34.00]-[0:00:35.00]  Y fue así ¿no?
[0:00:35.00]-[0:00:39.00]  Sí, y así me lo hizo. Vamos a bajar para abajo.
[0:00:42.00]-[0:00:44.00]  A usted no le importa que le grabeemos.
[0:00:44.00]-[0:00:45.00]  ¿Eh?
[0:00:45.00]-[0:00:50.00]  Le tenemos que grabar para poder tomar nota después, ¿vale?
[0:00:50.00]-[0:00:51.00]  Me da.
[0:00:51.00]-[0:00:53.00]  No tiene ningún problema, ¿no?
[0:00:53.00]-[0:00:56.00]  Vale, de acuerdo. Genial.
[0:00:58.00]-[0:01:00.00]  ¿Y usted ha vivido aquí siempre?
[0:01:00.00]-[0:01:07.00]  Sí, mis casas son estas. Esta de aquí es de mi hija y las otras de abajo son las mías.
[0:01:09.00]-[0:01:10.00]  ¿Y ha salido del pueblo?
[0:01:12.00]-[0:01:18.00]  Del pueblo antes. Antes con carga y con trabajar.
[0:01:18.00]-[0:01:28.00]  Teníamos terreno que sembrar, trigo, levá, milho, garbanzos.
[0:01:28.00]-[0:01:32.00]  Que se hacía café entonces con garbanzos, eso.
[0:01:32.00]-[0:01:43.00]  Se metió el café que mandaban de Venezuela y lo tostábamos y después hicimos café.
[0:01:43.00]-[0:01:48.00]  Y hacía muchas cosas.
[0:01:48.00]-[0:01:50.00]  ¿Y mucha gente se ha ido a Venezuela, no?
[0:01:50.00]-[0:01:51.00]  ¿Eh?
[0:01:51.00]-[0:01:53.00]  ¿Se ha ido mucha gente a Venezuela? ¿No de aquí?
[0:01:53.00]-[0:01:55.00]  Sí, bueno, sí se fueron.
[0:01:55.00]-[0:02:00.00]  Y muchos se vinieron y muchos se quedaron allá.
[0:02:01.00]-[0:02:06.00]  Allá compraron y allá se han ido.
[0:02:08.00]-[0:02:09.00]  ¿Y otros han vuelto, no?
[0:02:09.00]-[0:02:10.00]  ¿Eh?
[0:02:10.00]-[0:02:12.00]  ¿Otros han vuelto? ¿Han regresado aquí?
[0:02:12.00]-[0:02:13.00]  No.
[0:02:22.00]-[0:02:23.00]  Ven.
[0:02:23.00]-[0:02:24.00]  Ven.
[0:02:28.00]-[0:02:29.00]  Hola, hola.
[0:02:29.00]-[0:02:30.00]  Hola, buenos días.
[0:02:30.00]-[0:02:31.00]  Hola, buenos días.
[0:02:31.00]-[0:02:33.00]  Está aquí una muchacha que...
[0:02:33.00]-[0:02:39.00]  ¿Qué quieren comprar con esto?
[0:02:39.00]-[0:02:43.00]  Pueden preguntar por las cosas que hacían.
[0:02:43.00]-[0:02:48.00]  Es que ya son muchos años y ya no se acuerda tampoco de las cosas.
[0:02:48.00]-[0:02:50.00]  Ya no se acuerda tanto, pero...
[0:02:50.00]-[0:02:51.00]  Ya no...
[0:02:51.00]-[0:02:52.00]  Ya un poquito.
[0:02:52.00]-[0:02:56.00]  Bueno, pero seguro que no nos pueden contar.
[0:02:58.00]-[0:03:02.00]  Nos sentamos aquí un ratito. Cuando usted se canse, la dejamos...
[0:03:02.00]-[0:03:10.00]  No, es que ya son muchos años y ya se le olvidan las cositas de antes.
[0:03:10.00]-[0:03:12.00]  Es que nos ha dicho...
[0:03:12.00]-[0:03:17.00]  Que ella era una de las señoras que más había del pueblo.
[0:03:17.00]-[0:03:21.00]  Antes sí, pero claro, si las cosas ya...
[0:03:21.00]-[0:03:25.00]  Pero si quieren pasar para adentro, pasen y asiéntense o...
[0:03:25.00]-[0:03:27.00]  Que ya...
[0:03:27.00]-[0:03:32.00]  Son muchos años, hija. No es que...
[0:03:32.00]-[0:03:34.00]  Vamos para adentro entonces.
[0:03:34.00]-[0:03:36.00]  Ya es como ustedes quieran.
[0:03:37.00]-[0:03:42.00]  Pero ya son casi 93 años.
[0:03:44.00]-[0:03:46.00]  Ya tengo 96 años encima de mí.
[0:03:46.00]-[0:03:52.00]  93 va a cumplir el día 15 de febrero.
[0:03:52.00]-[0:03:58.00]  Entonces, que ya muchos años son...
[0:03:58.00]-[0:04:00.00]  ¿Queres que nos quedemos aquí fuera?
[0:04:00.00]-[0:04:01.00]  ¿Eh?
[0:04:01.00]-[0:04:03.00]  Aquí podríamos quedarnos si usted quiere.
[0:04:03.00]-[0:04:06.00]  Si no queréis entrar para adentro.
[0:04:06.00]-[0:04:07.00]  Como usted vea...
[0:04:07.00]-[0:04:09.00]  Si queréis entrar para adentro, vamos.
[0:04:09.00]-[0:04:10.00]  Como usted quiera.
[0:04:10.00]-[0:04:11.00]  Como sea más cómodo.
[0:04:11.00]-[0:04:13.00]  Aquí estamos bien, si a usted le viene bien.
[0:04:13.00]-[0:04:15.00]  Pues sentad y vueltos.
[0:04:16.00]-[0:04:18.00]  Mamá, sentad.
[0:04:18.00]-[0:04:22.00]  Vale, pues vengan.
[0:04:26.00]-[0:04:27.00]  Gracias.
[0:04:27.00]-[0:04:28.00]  ¿Está suave?
[0:04:28.00]-[0:04:29.00]  Sí.
[0:04:32.00]-[0:04:34.00]  Déjame...
[0:04:39.00]-[0:04:40.00]  Ups.
[0:04:40.00]-[0:04:42.00]  ¿Está grabando bien?
[0:04:42.00]-[0:04:44.00]  Sí, está grabando bien.
[0:04:45.00]-[0:04:47.00]  No lo puedo dejar.
[0:04:47.00]-[0:04:48.00]  Sojétala así.
[0:04:48.00]-[0:04:49.00]  Muy bien.
[0:04:51.00]-[0:04:55.00]  Bueno, entonces, usted nació aquí, en Chipude.
[0:04:55.00]-[0:04:57.00]  ¿Nació aquí?
[0:04:57.00]-[0:04:59.00]  ¿Me crié?
[0:05:01.00]-[0:05:02.00]  ¿Me crié?
[0:05:02.00]-[0:05:03.00]  Sí.
[0:05:03.00]-[0:05:04.00]  ¿Me crié?
[0:05:04.00]-[0:05:05.00]  Sí.
[0:05:05.00]-[0:05:06.00]  ¿Me crié?
[0:05:06.00]-[0:05:07.00]  Sí.
[0:05:07.00]-[0:05:08.00]  ¿Me crié?
[0:05:08.00]-[0:05:09.00]  Sí.
[0:05:09.00]-[0:05:10.00]  ¿Me crié?
[0:05:10.00]-[0:05:11.00]  Sí.
[0:05:11.00]-[0:05:12.00]  ¿Me crié?
[0:05:12.00]-[0:05:13.00]  Sí.
[0:05:13.00]-[0:05:14.00]  ¿Me crié?
[0:05:14.00]-[0:05:15.00]  Sí.
[0:05:15.00]-[0:05:17.00]  Nací en el año 26.
[0:05:17.00]-[0:05:18.00]  ¿Sí?
[0:05:19.00]-[0:05:31.50]  Después de que ya era grandita, salía a trabajar, al cegarse bar, trigo, a bajar cargas para
[0:05:31.50]-[0:05:37.00]  abajo para la rajita y para los pueblos, y ir a vender cosas.
[0:05:37.00]-[0:05:43.00]  fruta y queso y lo que tuviéramos.
[0:05:43.00]-[0:05:49.00]  Después a los 23 años me casé
[0:05:49.00]-[0:05:54.00]  y ya estábamos por nuestra cuenta.
[0:05:54.00]-[0:05:58.00]  Mi marido tenía una yunta de vaca,
[0:05:58.00]-[0:06:03.00]  nos poníamos a guardarla, nos íbamos para abajo para la costa,
[0:06:03.00]-[0:06:08.00]  hicimos abajo un pajar y íbamos abajo,
[0:06:08.00]-[0:06:13.00]  amarramos a nuestros animales abajo, los buscábamos de comer.
[0:06:13.00]-[0:06:17.00]  Noche nos quedábamos abajo en el pajar cuando nos parecía
[0:06:17.00]-[0:06:20.00]  que estaban ya las vacas para parir y cuando no,
[0:06:20.00]-[0:06:23.00]  ya nos viníamos para aquí arriba.
[0:06:23.00]-[0:06:26.00]  Después si mi marido tenía que trabajar,
[0:06:26.00]-[0:06:29.00]  que iba a trabajar con esa gente rica,
[0:06:29.00]-[0:06:33.00]  yo me quedaba sola, le cogía de comer las vacas,
[0:06:33.00]-[0:06:37.00]  la ordeñaba, le hacíamos abajo un queso y después nos traía
[0:06:37.00]-[0:06:41.00]  para aquí arriba y aquí arriba los ajumaba para después...
[0:06:41.00]-[0:06:44.00]  Disculpe, que no le he entendido bien los...
[0:06:44.00]-[0:06:45.00]  ¿Eh?
[0:06:45.00]-[0:06:47.00]  No le he entendido bien los...
[0:06:47.00]-[0:06:48.00]  ¿Los quesos?
[0:06:48.00]-[0:06:50.00]  ¿Qué hacía usted con los quesos?
[0:06:50.00]-[0:06:52.00]  No, yo no te entiendo.
[0:06:52.00]-[0:06:54.00]  Decía que los ajumaba.
[0:06:54.00]-[0:06:55.00]  Ajumaba.
[0:06:55.00]-[0:06:57.00]  Ajumarlos con los humus.
[0:06:57.00]-[0:07:01.00]  Como la cocina de fuego, esta misma cocina de fuego.
[0:07:01.00]-[0:07:06.00]  Y aquí se ajumaban los quesos cuando los hacíamos.
[0:07:06.00]-[0:07:09.00]  Y así hacía yo también.
[0:07:09.00]-[0:07:13.00]  Con los humus de jaras, ya ajumaba los quesos.
[0:07:13.00]-[0:07:17.00]  Y eso, eso, el humo, eso, el humo,
[0:07:17.00]-[0:07:21.00]  le daba un gusto al queso precioso.
[0:07:21.00]-[0:07:23.00]  Y...
[0:07:23.00]-[0:07:27.00]  Y eso, así vivíamos con lo nuestro,
[0:07:27.00]-[0:07:29.00]  nuestro terreno.
[0:07:29.00]-[0:07:32.00]  Trabajaba los terrenos, cuidaba los animales,
[0:07:32.00]-[0:07:34.00]  hacía el queso y más nada.
[0:07:34.00]-[0:07:36.00]  Ya cuando ya estaba por mi cuenta,
[0:07:36.00]-[0:07:39.00]  ya no salía para los pueblos.
[0:07:39.00]-[0:07:41.00]  Ya me estaba en mi casa y hacía mi casa,
[0:07:41.00]-[0:07:44.00]  en mi casa y criaba y criaba a mis hijos.
[0:07:44.00]-[0:07:47.00]  ¿Usted cuántos hermanos tenía?
[0:07:47.00]-[0:07:48.00]  ¿Hermano?
[0:07:48.00]-[0:07:49.00]  Sí.
[0:07:49.00]-[0:07:51.00]  Yo tenía dos hermanos.
[0:07:51.00]-[0:07:54.00]  Yo tenía dos hermanas.
[0:07:54.00]-[0:07:59.00]  Pero ya se murieron.
[0:07:59.00]-[0:08:02.00]  ¿Y cuando eran jóvenes, todas trabajaban en el campo?
[0:08:02.00]-[0:08:03.00]  No.
[0:08:03.00]-[0:08:07.00]  Ellas tenían un salón de baile y mi padre.
[0:08:07.00]-[0:08:10.00]  Y ellas tenían una tienda, vendía.
[0:08:10.00]-[0:08:11.00]  Sí.
[0:08:11.00]-[0:08:14.00]  ¿Eran mayores? ¿Usted era la más joven?
[0:08:14.00]-[0:08:15.00]  No, yo era la más vieja.
[0:08:15.00]-[0:08:16.00]  ¿Usted era la más vieja?
[0:08:16.00]-[0:08:19.00]  No, ellas eran más jóvenes.
[0:08:19.00]-[0:08:23.00]  Ellas tenían su tienda para las dos hermanas,
