[0:00:00.00]-[0:00:02.00]  Lo sé yo bien.
[0:00:04.52]-[0:00:07.00]  Se hace, pero hay gente que lo sabe hacer.
[0:00:08.16]-[0:00:11.56]  No, pero si nos notamos de una persona así, ¿usted ha hecho un patante en su casa?
[0:00:11.56]-[0:00:12.50]  Sí.
[0:00:13.06]-[0:00:15.06]  Sí, pero ¿criaba cerdos?
[0:00:15.06]-[0:00:18.50]  Sí, sí, los criaba yo, ahora ya no porque ya somos mayores, pero sí.
[0:00:19.10]-[0:00:23.84]  Cuando los criábamos y los matábamos, los hacíamos matanzas.
[0:00:24.28]-[0:00:26.28]  ¿Y estaban en casa los cerdos?
[0:00:26.28]-[0:00:28.28]  En casa no, teníamos una nave.
[0:00:28.28]-[0:00:29.52]  Ah, una nave.
[0:00:29.52]-[0:00:34.08]  teníamos una nave, sí. Pero ahora no, vamos, ahora ya estamos jubilados, ya somos mayores,
[0:00:34.08]-[0:00:41.08]  ya no... Pero hay mucha gente que lo... todavía así con eso, mucha gente, mucha.
[0:00:41.08]-[0:00:44.92]  ¿Y usted sabe cómo se hacía los chorizos?
[0:00:44.92]-[0:00:47.04]  Sí, sí, yo los hacía.
[0:00:47.04]-[0:00:49.92]  ¿Los chorizos, por ejemplo, cómo hacían?
[0:00:49.92]-[0:00:55.00]  Pues con las tripas del cerdo, se lavaban las tripas, se lavaban, si iban al río se
[0:00:55.00]-[0:01:00.40]  lavaban las tripas, pero está lloviendo y vos vais a mojar. Y después, pues de que
[0:01:00.40]-[0:01:07.64]  bien lavaban las tripas, pues la carne, el primer día se mataban, se mataban, se chamuscaban
[0:01:07.64]-[0:01:18.48]  con pajas que íbamos a cegar y las pajas después se majaban y se traían en atavijos
[0:01:18.48]-[0:01:23.84]  encuelmos, que le llamábamos aquí, y después pues con eso se chamuscaban. Se lavaban bien
[0:01:23.84]-[0:01:29.32]  lavados y aquel día después ya se les sacaban las tripas, se les sacaban las tripas, se iban
[0:01:29.32]-[0:01:39.20]  a lavar al río, se lavaban bien lavadas y aquel día se colgaban. Y otro día ya se abrían
[0:01:39.20]-[0:01:46.84]  y ya se le quitaba la carne, la carne se picaba con máquinas, ahora ya hay máquinas eléctricas,
[0:01:46.84]-[0:01:52.24]  antes no las había y antiguamente, antiguamente, yo que yo no me acuerdo, pues decían que
[0:01:52.24]-[0:01:59.04]  embutían a mano, pero bueno, ahora ya era con máquinas. Se hacían los chorizos y se
[0:01:59.04]-[0:02:07.24]  le echaban pimentón, ajo y agua, otros le echaban vino, cada uno a su manera, y se colgaban
[0:02:07.24]-[0:02:15.12]  y a secar. Así se hacía la matanza. ¿Y cuánto tiempo estaban? Dos, tres meses, depende del
[0:02:15.12]-[0:02:20.08]  tiempo. ¿Y porcellas también hacían ahora? También, también, sí, también. Porque
[0:02:20.08]-[0:02:24.32]  además está en otro pueblo por aquí cerca, pero ya la gente no hacía morcillas. Bueno,
[0:02:24.32]-[0:02:29.24]  yo tampoco, pero bueno, que sí, que se hacía morcillas, sí. ¿Y cómo se hacía? Pues
[0:02:29.24]-[0:02:36.76]  las morcillas eran con pan, con la sangre, se aparao la sangre del cerdo y se tenía
[0:02:36.76]-[0:02:43.64]  el pan migao en un baño y se echaba la sangre del cerdo, se envolvía bien, se le echaba
[0:02:43.64]-[0:02:50.96]  grasa y miel. ¿Con miel? Con miel, sí, miel, miel, miel. Y se envolvía bien, bien envuelto
[0:02:50.96]-[0:02:57.92]  eso, con las tripas del mismo perro lavadas, pues se embutían también y se ataban y a
[0:02:57.92]-[0:03:03.96]  secar también. Pero no entiendo una cosa, la sangre del cerdo cómo era? La sangre del
[0:03:03.96]-[0:03:10.64]  cerdo, cuando lo mataban al cerdo, se cogía la sangre y se echaba, se le daba vuelta
[0:03:10.64]-[0:03:18.60]  hasta que no se enjuajara, en el pan, en el pan se echaba la sangre y se daba vuelta,
[0:03:18.60]-[0:03:22.52]  se daba vuelta, se daba vuelta, se le echaba grasa también para que quedara ahí el miel,
[0:03:22.52]-[0:03:31.50]  todo bien adobado, todo bien adobado y se embutían y a colgar. Y los chorizos también
[0:03:31.50]-[0:03:37.60]  la carne, pues adobada se le echaba pimentón, pimentón, ajo, agua y lo que fuera, bien
[0:03:37.60]-[0:03:42.88]  adobado, bien adobado, otro día con la máquina se ponía la tripa y unos metiendo para la
[0:03:42.88]-[0:03:51.72]  máquina y otros la tripa y se iban cogiendo los chorizos, se colgaban y que eran muy buenos,
[0:03:51.72]-[0:03:57.98]  vamos. ¿Y jamones hacían? Jamones también. ¿Y jamones cómo? Con sal, el jamón se ponía
[0:03:57.98]-[0:04:07.96]  con sal, con sal, bastante sal, bastante sal, se le ponía bastante sal y estaban, vamos,
[0:04:07.96]-[0:04:13.20]  los debían de pesar y según el peso los tenían de sal y después pues ya se colgaban.
[0:04:13.20]-[0:04:18.08]  Pero estaban en algún sitio especial o no. Sí, en un sitio para echarle la sal, en unas
[0:04:18.08]-[0:04:22.60]  tablas o en un tablero, lo que fuera, y se le echaba la sal y estaban allí los días
[0:04:22.60]-[0:04:28.24]  que estuvieran con sal, ya de que a esos se le quitaba la sal y a colgar también. Así
[0:04:28.24]-[0:04:31.80]  se hacía, vamos. ¿Y aquí, porque en otro punto también se ha dicho, de la mosca eso
[0:04:31.80]-[0:04:36.44]  pasó algo, o no? La mosca, como. ¿Con el jamón o cuando picaba? Hombre, claro, como
[0:04:36.44]-[0:04:42.00]  no tengas cuidado y este eso, y entre la mosca cría coco, claro. ¿Y eso qué era? Pues
[0:04:42.00]-[0:04:49.08]  una mosca que caga ya y sale el coco ya, como no se tenga cuidado puede ser, puede ser,
[0:04:49.08]-[0:04:53.80]  sí. Y lo malo del cerdo, la cabeza, las patas y todo eso. Todo eso se aprovecha, del cerdo
[0:04:53.80]-[0:04:59.48]  no se tira nada más que la mierda. Sí, sí, todo se aprovecha. Todo, todo, todo. ¿Y las
[0:04:59.48]-[0:05:04.28]  costillas por ejemplo? Todo, todo, todas las costillas, unos los echan de sal y a colgar
[0:05:04.28]-[0:05:13.92]  también, otros las adoban con pimentón, con ajo y después para asar o guisar o como
[0:05:13.92]-[0:05:19.00]  sea, de todo eso no se tira nada. ¿Y el tocino? El tocino, el que lo quiera comer, el que
[0:05:19.00]-[0:05:26.76]  no lo quiera comer, ahora no se comerá mucho porque nadie come tocino ya, pero antes también
[0:05:26.76]-[0:05:36.44]  lo comían. ¿Y qué parte del cerdo es el tocino? Pues la parte del cerdo lo, eso lleva
[0:05:36.44]-[0:05:43.52]  la paletilla y lleva el jamón y se le quita la paletilla y se le quita el jamón y lo
[0:05:43.52]-[0:05:49.32]  demás ya es tocino. Se le quita la carne y lo demás es el tocino. ¿Pero el tocino
[0:05:49.32]-[0:05:55.96]  es líquido como...? No, no, no, no. El tocino tiene cuero, tiene cuero y después tocino
[0:05:55.96]-[0:06:02.96]  que es... claro, la carne es carne y el tocino es como grasa. Hay gente que lo come. Bueno,
[0:06:02.96]-[0:06:07.80]  y yo antes también comía alguno, ahora no porque ya es uno mayor, ya no puede uno comer,
[0:06:07.80]-[0:06:12.12]  pero sí que es muy rico el tocino. ¿Pero entonces el tocino no es la manteca como es?
[0:06:12.12]-[0:06:17.12]  Ahora también tiene, pero la manteca es fuera parte. La manteca la tiene alrededor de las
[0:06:17.12]-[0:06:23.88]  tripas y se le saca. Eso antes se hacía en untazas, que no había oído para el caldo
[0:06:23.88]-[0:06:30.12]  gallego la untaza, era muy buena, sí. Y se tendía también en un baño, se echaba sal,
[0:06:30.12]-[0:06:37.48]  se arrebujaba y se tenía un día o dos, después se colgaba y también eso hoy. Yo ahora porque
[0:06:37.48]-[0:06:43.88]  no, pero antes muchas untazas y venían a buscarla ahí para Galicia, para el caldo
[0:06:43.88]-[0:06:51.40]  gallego, sí, sí, sí. Decían que el caldo gallego estaba muy rico, de grelos, de berzas
[0:06:51.40]-[0:06:57.20]  el caldo gallego y que se le echaban de eso machacao, la untaza, un pedacín de untaza
[0:06:57.20]-[0:07:04.44]  machacao, machacao con ajo y pimentón y que estaba muy bueno. Yo de eso no, pero... del
