[0:00:00.00]-[0:00:02.00]  ¿Cuántos años tiene?
[0:00:02.00]-[0:00:04.00]  73
[0:00:04.00]-[0:00:06.00]  Ah, vale, pues lo probamos
[0:00:06.00]-[0:00:08.00]  ¿Y es de aquí de siempre?
[0:00:08.00]-[0:00:10.00]  Es de aquí, es de aquí
[0:00:10.00]-[0:00:12.00]  ¿Y ha dicho que es?
[0:00:14.00]-[0:00:16.00]  La mujer es peluquería
[0:00:16.00]-[0:00:18.00]  Ah, pues si su mujer también
[0:00:18.00]-[0:00:20.00]  De la peluquera
[0:00:20.00]-[0:00:22.00]  ¿Y la mujer también es de aquí y su mujer también?
[0:00:22.00]-[0:00:24.00]  A lo mejor la mujer sí que quiere entenderlo
[0:00:24.00]-[0:00:26.00]  Sí, a ver si alguno de los dos
[0:00:26.00]-[0:00:28.00]  Sí, si queréis acostarse
[0:00:28.00]-[0:00:30.00]  Vive allí donde estaba el sácula
[0:00:30.00]-[0:00:32.00]  Que era el marrón
[0:00:32.00]-[0:00:34.00]  No sé cómo
[0:00:34.00]-[0:00:36.00]  A mano izquierda allí
[0:00:36.00]-[0:00:38.00]  Vale
[0:00:38.00]-[0:00:40.00]  Acercarse bien
[0:00:40.00]-[0:00:42.00]  Ella estará en el campo
[0:00:42.00]-[0:00:44.00]  Seguro que estará en el campo
[0:00:44.00]-[0:00:46.00]  Pero la mujer también está en el campo
[0:00:46.00]-[0:00:48.00]  Lo siento que no lo podáis
[0:00:48.00]-[0:00:50.00]  Pero acercarse bien
[0:00:50.00]-[0:00:52.00]  Muchas gracias
[0:00:52.00]-[0:00:54.00]  Gracias
[0:00:54.00]-[0:00:56.00]  A las chicas
[0:00:56.00]-[0:00:58.00]  A las chicas
[0:01:02.00]-[0:01:04.00]  ¿Y usted también es de aquí?
[0:01:04.00]-[0:01:06.00]  ¿Usted también es de aquí?
[0:01:06.00]-[0:01:08.00]  ¿Quién?
[0:01:08.00]-[0:01:10.00]  Yo sí
[0:01:10.00]-[0:01:12.00]  Y una pregunta, ¿quién habla más catalano?
[0:01:12.00]-[0:01:14.00]  O sea, valenciano o castellano
[0:01:14.00]-[0:01:16.00]  Aquí
[0:01:16.00]-[0:01:18.00]  Ni castellano ni valenciano
[0:01:18.00]-[0:01:20.00]  No sé cómo
[0:01:20.00]-[0:01:22.00]  Explicar bien
[0:01:22.00]-[0:01:24.00]  Lo entendemos todos
[0:01:24.00]-[0:01:26.00]  No sé qué es el castellano y el castellano
[0:01:26.00]-[0:01:28.00]  Pero hay personas que lo sacan mejor que nosotros
[0:01:28.00]-[0:01:30.00]  ¿Sabes?
[0:01:30.00]-[0:01:32.00]  Cuando hemos llegado parecía que estaban hablando en valenciano
[0:01:32.00]-[0:01:34.00]  ¿En valenciano?
[0:01:34.00]-[0:01:36.00]  Sí, porque entre ustedes hablan valenciano
[0:01:36.00]-[0:01:38.00]  Sí, hablamos del valenciano
[0:01:38.00]-[0:01:40.00]  Aquí es el valenciano
[0:01:40.00]-[0:01:42.00]  Pero es un valenciano
[0:01:42.00]-[0:01:44.00]  No sé cómo explicarlo
[0:01:44.00]-[0:01:46.00]  Oiga, súbese usted a la escena
[0:01:46.00]-[0:01:48.00]  No, no, no
[0:01:48.00]-[0:01:50.00]  Estoy teniendo de la carretera
[0:01:50.00]-[0:01:52.00]  Porque sí vienen coches
[0:01:52.00]-[0:01:54.00]  ¿No sabes?
[0:01:54.00]-[0:01:56.00]  Pero hay día que no puedo pasar por aquí
[0:01:56.00]-[0:01:58.00]  Sucetando coches de...
[0:01:58.00]-[0:02:00.00]  Mira, aquí viene uno
[0:02:14.00]-[0:02:16.00]  Porque aquí
[0:02:16.00]-[0:02:18.00]  Sí que había costumbre de hacer matanza
[0:02:18.00]-[0:02:20.00]  y esas cosas
[0:02:20.00]-[0:02:22.00]  Pero antes sí
[0:02:22.00]-[0:02:24.00]  Antes sí
[0:02:24.00]-[0:02:26.00]  Sí, hacían matanzas con los coches
[0:02:26.00]-[0:02:28.00]  y las pantas
[0:02:28.00]-[0:02:30.00]  y los perros
[0:02:30.00]-[0:02:32.00]  Mira, donde está el chico ese ahora
[0:02:32.00]-[0:02:34.00]  Ahí viene
[0:02:34.00]-[0:02:36.00]  ¿Y la mujer cómo se llama?
[0:02:42.00]-[0:02:44.00]  Caramba, caramba
[0:02:44.00]-[0:02:46.00]  Es que hemos dado todo
[0:02:46.00]-[0:02:50.00]  Vale
[0:02:50.00]-[0:02:52.00]  Es la podo
[0:02:52.00]-[0:02:54.00]  De toda la vida
[0:02:54.00]-[0:02:56.00]  Su abuelo y...
[0:02:56.00]-[0:02:58.00]  Todos
[0:02:58.00]-[0:03:00.00]  No es que son de carrera
[0:03:00.00]-[0:03:02.00]  Es la podo, ¿sabes?
[0:03:02.00]-[0:03:04.00]  Porque dicen, el tío Pepe
[0:03:04.00]-[0:03:06.00]  El tío Pepe de qué
[0:03:06.00]-[0:03:08.00]  Dice, pues ya en la podo se sabe enseguida quién es
[0:03:08.00]-[0:03:10.00]  Pero si dicen el tío Pepe
[0:03:10.00]-[0:03:12.00]  Dice, yo que soy el tío Pepe
[0:03:12.00]-[0:03:14.00]  Pero no, no, se llama el tío Pepe
[0:03:14.00]-[0:03:16.00]  Bueno, el chica dice sí
[0:03:16.00]-[0:03:18.00]  A mí me pasó una vez en Liria
[0:03:18.00]-[0:03:20.00]  Liria es el prisionista
[0:03:20.00]-[0:03:22.00]  Al lado de Valencia
[0:03:22.00]-[0:03:24.00]  Sí
[0:03:24.00]-[0:03:26.00]  Los chicas se los
[0:03:26.00]-[0:03:28.00]  Tenían vos allí conmigo
[0:03:28.00]-[0:03:30.00]  En Liria
[0:03:30.00]-[0:03:32.00]  Mira, este
[0:03:32.00]-[0:03:34.00]  Este también sería bueno para el suyo
[0:03:34.00]-[0:03:36.00]  Viene
[0:03:36.00]-[0:03:38.00]  ¿Tienes mucha presa tú?
[0:03:38.00]-[0:03:40.00]  No
[0:03:40.00]-[0:03:42.00]  Tú pónrate a este chico
[0:03:42.00]-[0:03:44.00]  Que le preguntes desde que ha comprado a los hombres
[0:03:44.00]-[0:03:46.00]  El que va a calzar
[0:03:46.00]-[0:03:48.00]  Y va a matar a los cerdos
[0:03:48.00]-[0:03:50.00]  ¿Qué le va a hacer?
[0:03:50.00]-[0:03:52.00]  Sí, a tener a las chicas estas
[0:03:52.00]-[0:03:54.00]  Bueno, ¿eh?
[0:03:54.00]-[0:03:56.00]  No le importaría
[0:03:56.00]-[0:03:58.00]  Podemos ir a un sitio donde no haya tanto ruido
[0:03:58.00]-[0:04:00.00]  Que no estén pasando coches
[0:04:00.00]-[0:04:02.00]  Ah, sí, ahí a la plaza mismo
[0:04:02.00]-[0:04:04.00]  Pues sí, si nos puede atender usted
[0:04:04.00]-[0:04:06.00]  Sí, sí, sí, sí
[0:04:06.00]-[0:04:08.00]  Viene, viene
[0:04:08.00]-[0:04:10.00]  Está atento también
[0:04:10.00]-[0:04:12.00]  No va a molestarte
[0:04:12.00]-[0:04:14.00]  Entre dos
[0:04:14.00]-[0:04:16.00]  Vamos a regar un poco de vida
[0:04:16.00]-[0:04:18.00]  Es mayor que yo
[0:04:18.00]-[0:04:20.00]  Sí, porque usted que la tiene
[0:04:20.00]-[0:04:22.00]  Yo ahora
[0:04:22.00]-[0:04:24.00]  84
[0:04:24.00]-[0:04:26.00]  Pues bueno, pues este viaje de Liria
[0:04:26.00]-[0:04:28.00]  Subimos en Valencia
[0:04:28.00]-[0:04:30.00]  Con el tren
[0:04:30.00]-[0:04:32.00]  Y
[0:04:32.00]-[0:04:34.00]  Y conocíamos un amigo
[0:04:34.00]-[0:04:36.00]  En Liria
[0:04:36.00]-[0:04:38.00]  Y de Valencia a Liria pues está cerquita
[0:04:38.00]-[0:04:40.00]  Nos dice, subimos al tren
[0:04:40.00]-[0:04:42.00]  Liria, ¿no?
[0:04:42.00]-[0:04:44.00]  Lo que pasa
[0:04:44.00]-[0:04:46.00]  No ven sants, los dos
[0:04:46.00]-[0:04:48.00]  Lo que pasa en el tren
[0:04:48.00]-[0:04:50.00]  Dónde van ustedes
[0:04:50.00]-[0:04:52.00]  A casa
[0:04:54.00]-[0:04:56.00]  Que me recordé del nombre
[0:04:56.00]-[0:04:58.00]  Luis Ayub
[0:04:58.00]-[0:05:00.00]  Sí, sí
[0:05:02.00]-[0:05:04.00]  Este señor
[0:05:04.00]-[0:05:06.00]  Pregunta a los otros
[0:05:06.00]-[0:05:08.00]  Que iban a Liria también, que eran hijos de Liria
[0:05:08.00]-[0:05:10.00]  Tú, fulano
[0:05:10.00]-[0:05:12.00]  Tú conoces al tío
[0:05:12.00]-[0:05:14.00]  No sé
[0:05:14.00]-[0:05:16.00]  Y este señor
[0:05:16.00]-[0:05:18.00]  Le dice, ustedes tranquilos
[0:05:18.00]-[0:05:20.00]  Si no lo encontramos yo tengo casa para ustedes
[0:05:20.00]-[0:05:22.00]  Para que vayan a su casa
[0:05:22.00]-[0:05:24.00]  Llegamos a su casa
[0:05:24.00]-[0:05:26.00]  Él le dice a su mujer
[0:05:26.00]-[0:05:28.00]  Tú, que tú conoces a un tal
[0:05:28.00]-[0:05:30.00]  Que
[0:05:30.00]-[0:05:32.00]  Él
[0:05:32.00]-[0:05:34.00]  Previsía
[0:05:34.00]-[0:05:36.00]  Que yo
[0:05:36.00]-[0:05:38.00]  Que
[0:05:38.00]-[0:05:40.00]  Ya estaba
[0:05:40.00]-[0:05:42.00]  ¿Verdad?
[0:05:42.00]-[0:05:44.00]  Pero
[0:05:44.00]-[0:05:46.00]  Pero
[0:05:46.00]-[0:05:48.00]  Que no
[0:05:48.00]-[0:05:50.00]  Que no
[0:05:50.00]-[0:05:52.00]  Que no
