[0:00:00.00]-[0:00:02.00]  ¿No hay una silla?
[0:00:02.00]-[0:00:04.00]  No hay una silla.
[0:00:04.00]-[0:00:06.00]  No hay un parque para mí.
[0:00:10.00]-[0:00:12.00]  Yo me puedo volver a ensenar.
[0:00:12.00]-[0:00:14.00]  ¿Sí? ¿Te vas a quedar conmigo?
[0:00:14.00]-[0:00:16.00]  Sí, ¿no? Porque no.
[0:00:16.00]-[0:00:18.00]  ¿Eres tú de acá donde saliste?
[0:00:18.00]-[0:00:20.00]  No, no estoy de aquí.
[0:00:20.00]-[0:00:26.00]  Esto es para la universidad, porque no nos da tiempo a apuntar toda la entrevista.
[0:00:26.00]-[0:00:28.00]  Entonces luego la repasamos.
[0:00:28.00]-[0:00:30.00]  Pero no vas a venir nunca.
[0:00:36.00]-[0:00:42.00]  Pues más o menos, ¿cómo era la vida antes, cuando se me había regalado?
[0:00:42.00]-[0:00:45.00]  La misma era, antes estaba obrante.
[0:00:45.00]-[0:00:47.00]  ¿Hombre, y cuándo sería?
[0:00:47.00]-[0:00:49.00]  A mí me ha dado buena.
[0:00:49.00]-[0:00:51.00]  ¿Ah, sí?
[0:00:51.00]-[0:00:53.00]  Hombre, hoy más moderna.
[0:00:53.00]-[0:01:01.00]  Bueno, a ver, nos ha dicho todo el mundo que usted llevaba toda la vida criando ganados.
[0:01:01.00]-[0:01:03.00]  Entonces usted empezaría seguro de pequeño, ¿no?
[0:01:03.00]-[0:01:05.00]  Con 6 o 7 años.
[0:01:05.00]-[0:01:07.00]  Con 6 o 7 años empezó ya.
[0:01:07.00]-[0:01:10.00]  ¿Y qué es lo primero que se hacía en el campo cuando no era pequeño?
[0:01:10.00]-[0:01:15.00]  Mi padre tenía cabras, y entonces llevaba a las cabras mayores y yo a las pequeñas.
[0:01:15.00]-[0:01:17.00]  Ah, porque hay cabras de dos tamaños.
[0:01:17.00]-[0:01:19.00]  ¿Hay cabras de dos tamaños?
[0:01:19.00]-[0:01:25.00]  Es verdad, igual que las personas, cuando tu griego tiene 6 años no es lo que usted.
[0:01:25.00]-[0:01:26.00]  Ah.
[0:01:26.00]-[0:01:30.00]  Claro, yo llevaba a tu virtud, yo llevaba a las más viejas.
[0:01:30.00]-[0:01:32.00]  ¿Y qué, las llevaban al campo o a...?
[0:01:32.00]-[0:01:34.00]  Al campo, al campo, a comer en el campo.
[0:01:34.00]-[0:01:37.00]  Teníamos unos terrenos más ahí y las llevábamos.
[0:01:37.00]-[0:01:41.00]  ¿Y por qué las dividían las pequeñas y las grandes?
[0:01:41.00]-[0:01:44.00]  Porque las grandes estaban en leche, les ordenaban, ¿verdad?
[0:01:44.00]-[0:01:48.00]  Y las pequeñas, como no se ordenaba, pues estaban tordidas en el campo.
[0:01:48.00]-[0:01:51.00]  Y las grandes se vieron atrás de ellas para oriñarlas.
[0:01:51.00]-[0:01:54.00]  ¿Y las pequeñas no, claro?
[0:01:54.00]-[0:01:57.00]  Las pequeñas no se oriñaban.
[0:01:57.00]-[0:02:01.00]  ¿Por qué? ¿Para que una cabra de leche, qué es lo que hace falta, que sea una yo o...?
[0:02:01.00]-[0:02:03.00]  Que para.
[0:02:03.00]-[0:02:05.00]  Ah, claro.
[0:02:05.00]-[0:02:11.00]  Cuando ya tiene un año, un por ahí, en su barrio, y entonces ya empezó a dar leche.
[0:02:11.00]-[0:02:15.00]  Cuando es nueve, dígamos, lo que es una gría pequeña.
[0:02:15.00]-[0:02:19.00]  Cuando ya es adulto y dice, está no, viva igual, pues ya queda gría.
[0:02:19.00]-[0:02:21.00]  Pues igual que los animales.
[0:02:21.00]-[0:02:26.00]  Si es exactamente igual, es que los animales y las personas, pero es lo mismo.
[0:02:26.00]-[0:02:30.00]  ¿Y las cabras pequeñas tenían un nombre que se daba o no?
[0:02:30.00]-[0:02:34.00]  Sí, les poníamos a todos, les poníamos a las... Habían pocas, les poníamos nombres a todas.
[0:02:34.00]-[0:02:36.00]  ¿Y las conocías a ustedes a la hora de orar?
[0:02:36.00]-[0:02:40.00]  Claro, y ahora también las conozco, las que tengo ahora ya no se le ponen nombres.
[0:02:40.00]-[0:02:44.00]  Pero entonces, como había pocas, pero ahora si tiene esa red de fiesta,
[0:02:44.00]-[0:02:47.00]  entonces no es el nombre de roa.
[0:02:47.00]-[0:02:53.00]  Entonces, cuando tenía treinta, de treinta para atrás, entonces todas tenían su nombre.
[0:02:53.00]-[0:02:55.00]  ¿Y obedecían por el nombre?
[0:02:55.00]-[0:02:56.00]  Por el nombre, claro.
[0:02:56.00]-[0:02:57.00]  ¿Sí?
[0:02:57.00]-[0:03:01.00]  Las llamaba por su nombre y venían.
[0:03:01.00]-[0:03:02.00]  ¿Y las cabras?
[0:03:02.00]-[0:03:04.00]  Ahora también, las cabras vienen en conjunto.
[0:03:04.00]-[0:03:11.00]  O sea, que las llamas y vienen, pero ya no vienen una sola, vienen todas.
