[0:00:00.00]-[0:00:05.00]  No hagas preguntas comprometidas.
[0:00:05.00]-[0:00:07.00]  Nada, nada, no se preocupe que es...
[0:00:07.00]-[0:00:10.00]  Bueno, pues cuéntenos, ¿cómo se criaba el cerdo antes?
[0:00:10.00]-[0:00:11.00]  ¿Qué?
[0:00:11.00]-[0:00:12.00]  ¿Cómo se criaba?
[0:00:12.00]-[0:00:13.00]  ¿Cómo se llama usted?
[0:00:13.00]-[0:00:14.00]  Bueno, yo me llamo...
[0:00:14.00]-[0:00:15.00]  Si quiere.
[0:00:15.00]-[0:00:20.00] ...nací el año 1921, 7 de enero.
[0:00:20.00]-[0:00:25.00]  Y el cerdo se criaba con los expedicios de la casa
[0:00:25.00]-[0:00:29.00]  y un poco de harina de ceba y maíz, y eso.
[0:00:29.00]-[0:00:34.00]  Que les echaban luego cuando ya estaba cerca de la matanza.
[0:00:34.00]-[0:00:36.00]  Y eso lo hacían las casas.
[0:00:36.00]-[0:00:39.00]  Pero ¿tenían una cerda o compraban...?
[0:00:39.00]-[0:00:41.00]  Unas veces se tenía y otras se compraba.
[0:00:41.00]-[0:00:46.00]  Y alguien tenía una cerda, criaba una cría, vendía algún cervito
[0:00:46.00]-[0:00:49.00]  y luego mataban la cerda y así la reponían todos los años.
[0:00:49.00]-[0:00:50.00]  Ya, ya, ya, ya.
[0:00:50.00]-[0:00:52.00]  ¿Y cuándo era la matanza? ¿En qué época es ahora?
[0:00:52.00]-[0:00:58.00]  La matanza siempre era ahora, pues de noviembre al mes de febrero.
[0:00:58.00]-[0:01:03.00]  Cuando más hielo hiciera, más helada y eso, mejor era para la matanza.
[0:01:03.00]-[0:01:05.00]  ¿Y quién mataba a cerdo? ¿Alguna persona especial o...?
[0:01:05.00]-[0:01:09.00]  Sí, había mataíces que llamaban, unos que se dedicaban a matar los cerdo,
[0:01:09.00]-[0:01:13.00]  que cobraban luego, pues diez pesetas o cinco, las que fueran.
[0:01:13.00]-[0:01:18.00]  Y ellos los mataban, bajaban al matadero municipal que había
[0:01:18.00]-[0:01:21.00]  y allí se aviaban, él los mataba ahí.
[0:01:21.00]-[0:01:25.00]  Y luego se subían a la casa, se tenían un día,
[0:01:25.00]-[0:01:29.00]  se les hacían, sacaban los jamones, hacían los jamones,
[0:01:29.00]-[0:01:35.00]  hacían chorizo con lo otro que tenía, morcillas, con la manteca y con todas las cosas,
[0:01:35.00]-[0:01:37.00]  que estaba muy bueno.
[0:01:37.00]-[0:01:39.00]  ¿Cómo...?
[0:01:39.00]-[0:01:40.00]  ¿Cómo se puede...?
[0:01:40.00]-[0:01:43.00]  ¿Por qué no le acercas un poco más la... la grabadora?
[0:01:43.00]-[0:01:46.00]  ¿Estamos justo en el cruce con la... con la...?
[0:01:46.00]-[0:01:51.00]  Bueno, el primer día, cuando mataban al cerdo, ¿qué hacían con la sangre?
[0:01:51.00]-[0:01:54.00]  Que sacaban la madeja y se hacían las morcillas.
[0:01:54.00]-[0:01:56.00]  ¿Qué es la madeja?
[0:01:56.00]-[0:02:03.00]  La madeja es una madeja que se movía y se sacaba como si fuera una madeja de lana
[0:02:03.00]-[0:02:08.00]  y ya la sangre no se coagulizaba, no se coagulizaba.
[0:02:08.00]-[0:02:11.00]  Y eso, pues ellos echaban las morcillas.
[0:02:11.00]-[0:02:17.00]  Las morcillas eran una cosa que por aquí, pues, cocian cebolla
[0:02:17.00]-[0:02:21.00]  y le echaban la sangre esa, llevaba de la manteca del cerdo
[0:02:21.00]-[0:02:25.00]  y después pues lo embutían, lo hicían en las tripas del cerdo
[0:02:25.00]-[0:02:28.00]  y se hacían las morcillas, que estaban muy buenas,
[0:02:28.00]-[0:02:31.00]  las recolgaban, las dejaban en las casas,
[0:02:31.00]-[0:02:35.00]  cuanto más frío estuviera donde estuviera lo mejor, como no existían neveras
