[0:00:00.00]-[0:00:02.00]  ¿Cómo se llaman ustedes?
[0:00:02.00]-[0:00:04.00]  ¿Cuántos años tiene?
[0:00:04.00]-[0:00:06.00]  Soy Enrico
[0:00:06.00]-[0:00:08.00]  ¿Y usted?
[0:00:08.00]-[0:00:10.00]  Yo...
[0:00:10.00]-[0:00:12.00]  ¿Cuántos años tiene?
[0:00:12.00]-[0:00:14.00]  Ocho años y dos viajes
[0:00:14.00]-[0:00:17.00]  Nos han dicho que ustedes han vivido toda la vida aquí en el pueblo, ¿no?
[0:00:17.00]-[0:00:20.00]  ¿Hacían matanzas en su época?
[0:00:20.00]-[0:00:23.00]  Yo sí, que la he hecho, y este señor también
[0:00:23.00]-[0:00:26.00]  ¿Y cómo hacían las matanzas?
[0:00:26.00]-[0:00:28.00]  ¿Cómo hacíamos las matanzas?
[0:00:28.00]-[0:00:31.00]  Matar al cerdo y a comerle luego
[0:00:31.00]-[0:00:34.00]  Pero, por ejemplo, ¿qué hacían al cerdo?
[0:00:34.00]-[0:00:36.00]  ¿Qué hacíamos?
[0:00:36.00]-[0:00:38.00]  Por matarlo
[0:00:38.00]-[0:00:40.00]  ¿Pero cómo le mataban?
[0:00:40.00]-[0:00:42.00]  ¿Cómo le mataban al cerdo?
[0:00:42.00]-[0:00:44.00]  ¿Cogían el cerdo, lo ponían en un banco?
[0:00:44.00]-[0:00:46.00]  Sí
[0:00:46.00]-[0:00:48.00]  Cuéntamelo usted
[0:00:48.00]-[0:00:51.00]  Con un cuchillito, con un cuchillito se le mataba
[0:00:51.00]-[0:00:53.00]  Sí
[0:00:53.00]-[0:00:55.00]  Pero, ¿cómo se le mataba?
[0:00:55.00]-[0:00:57.00]  ¿Qué se hacía con el cerdo?
[0:00:57.00]-[0:01:02.00]  Pues metió el cuchillo por un sitio que tiene que morir por fuerza
[0:01:02.00]-[0:01:05.00]  Más cosas
[0:01:05.00]-[0:01:07.00]  Sí
[0:01:07.00]-[0:01:13.00]  Por ejemplo, ¿hacían la matanza entre muchas personas?
[0:01:13.00]-[0:01:15.00]  Otro de ellos
[0:01:15.00]-[0:01:18.00]  ¿Y cogían el cerdo y lo ponían en una mesa?
[0:01:18.00]-[0:01:20.00]  ¿En una mesa?
[0:01:20.00]-[0:01:24.00]  Se lavaba, se pinchaba el matanzas, lo calaba bien
[0:01:24.00]-[0:01:28.00]  y se le limpia bien limpio y nada más
[0:01:28.00]-[0:01:30.00]  Y luego ya le llevamos a casa
[0:01:30.00]-[0:01:32.00]  ¿Y ataban el cerdo?
[0:01:32.00]-[0:01:34.00]  Sí, se ataban lógico
