[0:00:00.00]-[0:00:02.00]  ¿Queréis que la come?
[0:00:02.00]-[0:00:04.00]  ¿A poco la paga?
[0:00:04.00]-[0:00:08.00]  Díganos que somos de Madrid y allí la comida está carísima.
[0:00:08.00]-[0:00:10.00]  Pues mire, yo tirala.
[0:00:10.00]-[0:00:14.00]  Estaba que le dolía el ojito.
[0:00:14.00]-[0:00:20.00]  Dejemos carrer, hacerle al ojito.
[0:00:20.00]-[0:00:22.00]  Ahora de esa manera.
[0:00:22.00]-[0:00:24.00]  ¿Qué quiere Isabel Macías?
[0:00:24.00]-[0:00:28.00]  ¿Nos podríamos sentar un poco para tomar notas?
[0:00:28.00]-[0:00:30.00]  Es que oigo muy poco.
[0:00:30.00]-[0:00:32.00]  Pero siéntate ahí al lado de ella.
[0:00:32.00]-[0:00:36.00]  Es que no vamos a poder hacerlo porque es que ella no nos oye.
[0:00:36.00]-[0:00:38.00]  Es que hablamos en el estacionamiento.
[0:00:38.00]-[0:00:41.00]  Háblale aquí y sentada.
[0:00:41.00]-[0:00:47.00]  No, pero tú eres mayor de la vida de antes.
[0:00:47.00]-[0:00:50.00]  ¿Cómo sacías jabón y los mondongos?
[0:00:50.00]-[0:00:53.00]  Ah, los de los mondongos.
[0:00:53.00]-[0:00:59.00]  No, pero es que necesitamos sentarnos en un sitio para tomar nota.
[0:00:59.00]-[0:01:01.00]  Pues entra.
[0:01:01.00]-[0:01:04.00]  Es que por aquí pasan coches y la grabación no sale bien.
[0:01:04.00]-[0:01:06.00]  Entra y toma nota.
[0:01:06.00]-[0:01:08.00]  ¿Qué nos gusta con nosotros?
[0:01:08.00]-[0:01:10.00]  De nada pues verá.
[0:01:10.00]-[0:01:17.00]  Que hoy pueden salir al corral y verán la choza donde lo criábamos.
[0:01:17.00]-[0:01:22.00]  Lo criábamos con cebada molida.
[0:01:22.00]-[0:01:24.00]  Con pasturadas.
[0:01:24.00]-[0:01:26.00]  Patatas y de todo.
[0:01:26.00]-[0:01:30.00]  Y las gallinas ahora yo mismo tengo gallinas.
[0:01:30.00]-[0:01:36.00]  Y comen pan remunjado del duro y ya las sacó a tías.
[0:01:42.00]-[0:01:46.00]  Pequeñico y lo capábamos.
[0:01:46.00]-[0:01:48.00]  ¿Por qué?
[0:01:48.00]-[0:01:52.00]  Porque el tocino ahora no comemos más que barraco.
[0:01:52.00]-[0:01:55.00]  Y por eso es el tocino tan malo.
[0:01:55.00]-[0:02:01.00]  Y porque son, los han hecho de razas como los jabalines.
[0:02:01.00]-[0:02:05.00]  Y por eso es el jamón tan duro.
[0:02:05.00]-[0:02:10.00]  Que antes era el tocino muy blandico.
[0:02:10.00]-[0:02:15.00]  Porque se criaba con patatas y con cosas de casa.
[0:02:15.00]-[0:02:19.00]  Y panizo que criábamos en el campo.
[0:02:19.00]-[0:02:23.00]  Y llegaba la matanza.
[0:02:23.00]-[0:02:26.00]  Matábamos el tocino.
[0:02:26.00]-[0:02:28.00]  Que hoy de todas herramientas tengo.
[0:02:28.00]-[0:02:31.00]  Y hasta hace dos años y he hecho mundongo.
[0:02:31.00]-[0:02:38.00]  Y ahora pues porque no vienen mis chicas a poder ayudarme.
[0:02:38.00]-[0:02:40.00]  Que tengo una hija.
[0:02:40.00]-[0:02:45.00]  Pero ahora ya se ha jubilado y vendrá ya cualquier día.
[0:02:45.00]-[0:02:47.00]  Está mi hierno.
[0:02:47.00]-[0:02:49.00]  Ahora que también se ha jubilado.
[0:02:49.00]-[0:02:53.00]  Porque tenían dos chicas y se tuvieron que ir al campo.
[0:02:53.00]-[0:02:55.00]  O ya a Zaragoza.
[0:02:55.00]-[0:02:57.00]  Porque iban a estudiar.
[0:02:57.00]-[0:03:00.00]  Y tenían que irse.
[0:03:00.00]-[0:03:05.00]  Porque no estuvieron las chicas por los pisos metiéndose con hombres.
[0:03:05.00]-[0:03:06.00]  Claro, claro.
[0:03:06.00]-[0:03:09.00]  Porque la vida está muy mala.
[0:03:09.00]-[0:03:12.00]  Va a pasar lo que pase en este mundo.
[0:03:12.00]-[0:03:15.00]  ¿Y cómo preparaban ustedes la matanza?
[0:03:15.00]-[0:03:17.00]  Pues llegaba, matábamos.
[0:03:17.00]-[0:03:20.00]  Venían que había matachines.
[0:03:20.00]-[0:03:25.00]  Matachines son que se dedicaban a eso la temporada.
[0:03:25.00]-[0:03:28.00]  Mataban, lo derogaban.
[0:03:28.00]-[0:03:32.00]  Y tenían unos bancos de madera.
[0:03:32.00]-[0:03:37.00]  Y allí lo agarraban entre unos cuantos hombres.
[0:03:37.00]-[0:03:43.00]  Y el que era el matachín que le decíamos, aquello lo derogaba.
[0:03:43.00]-[0:03:48.00]  Y después lo colgábamos en los patios.
[0:03:48.00]-[0:03:52.00]  Que ahora todo lo tienen muy bonito y eso.
[0:03:52.00]-[0:03:56.00]  Pero antes el patio era para echar las pinuchas.
[0:03:56.00]-[0:03:58.00]  Para limpiarlas.
[0:03:58.00]-[0:03:59.00]  Y para eso.
[0:03:59.00]-[0:04:01.00]  Y lo colgaban allí.
[0:04:01.00]-[0:04:03.00]  Lo teníamos todo el día colgado.
[0:04:03.00]-[0:04:08.00]  Y con la sangre que había que revolvela mucho.
[0:04:08.00]-[0:04:10.00]  Porque si no se cuajaba.
[0:04:10.00]-[0:04:16.00]  Venga, revólvela la que cogía la sangre, que la cogía promedio.
[0:04:16.00]-[0:04:21.00]  Venga, revólvela y pretale bien los cuajones de eso.
[0:04:21.00]-[0:04:23.00]  Porque allí quedaban las venas.
[0:04:23.00]-[0:04:29.00]  Al derogarlo los animales dan la sangre.
[0:04:29.00]-[0:04:31.00]  Pero las venas salen también.
[0:04:31.00]-[0:04:37.00]  Porque al prensar la sangre, después te queda un revuelo de venas.
[0:04:37.00]-[0:04:43.00]  Después con la sangre cociamos arroz.
[0:04:43.00]-[0:04:49.00]  Y con el arroz tengo máquina de embutir.
[0:04:49.00]-[0:04:50.00]  Decapolal.
[0:04:50.00]-[0:04:51.00]  Caldera.
[0:04:51.00]-[0:04:52.00]  De todo.
[0:04:52.00]-[0:04:55.00]  Porque es verdad que mataba tocino.
[0:04:55.00]-[0:05:01.00]  Y hasta hace dos años los matábamos.
[0:05:01.00]-[0:05:03.00]  Que no los criaban en tres hogares.
[0:05:03.00]-[0:05:05.00]  Que había una granja.
[0:05:05.00]-[0:05:10.00]  Que aquel señor, para unos cuantos clientes, los criaba.
[0:05:10.00]-[0:05:13.00]  No todo con compuestos.
[0:05:13.00]-[0:05:16.00]  Porque los de compuestos no son...
[0:05:16.00]-[0:05:18.00]  Pasan como las gallinas.
[0:05:18.00]-[0:05:22.00]  Los huevos de gallina que comen mis gallinas.
[0:05:22.00]-[0:05:25.00]  De un poco rato me salgo a la placeta.
[0:05:25.00]-[0:05:27.00]  Y comen hierba.
[0:05:27.00]-[0:05:29.00]  Y comen de todo que les echo.
[0:05:29.00]-[0:05:31.00]  Y patatas cocidas.
[0:05:31.00]-[0:05:32.00]  Pan.
[0:05:32.00]-[0:05:34.00]  Y un poco compuesto.
[0:05:34.00]-[0:05:39.00]  Porque ahora son razas que si no comen compuesto.
[0:05:39.00]-[0:05:41.00]  Pues no ponen.
[0:05:41.00]-[0:05:43.00]  Ponen muy poco.
[0:05:43.00]-[0:05:45.00]  Desde luego antes ponían.
[0:05:45.00]-[0:05:47.00]  Pero no todos los días.
[0:05:47.00]-[0:05:50.00]  Les echábamos trigo y panizo.
[0:05:50.00]-[0:05:53.00]  Y algo de pastura de la de los tocinos.
[0:05:53.00]-[0:05:57.00]  Pero nunca era como hora de compuestos.
[0:05:57.00]-[0:05:59.00]  Y los huevos de ahora.
[0:05:59.00]-[0:06:01.00]  Pues no tienen más que agua.
[0:06:01.00]-[0:06:02.00]  Agua.
[0:06:02.00]-[0:06:06.00]  Porque como los hacen tan deprisa.
[0:06:06.00]-[0:06:09.00]  Si no cuando los echáis a la sarten.
[0:06:09.00]-[0:06:11.00]  Salpica mucho.
[0:06:11.00]-[0:06:14.00]  Pero es porque llevan agua.
[0:06:14.00]-[0:06:18.00]  Porque hacen el huevo hoy.
[0:06:18.00]-[0:06:19.00]  Mañana otro.
[0:06:19.00]-[0:06:21.00]  Es imposible.
[0:06:21.00]-[0:06:23.00]  Y antes eran muy buenos.
[0:06:23.00]-[0:06:27.00]  Pero era porque hoy ponían y mañana no ponían.
[0:06:27.00]-[0:06:28.00]  Claro.
[0:06:28.00]-[0:06:31.00]  Y tenían todas esas horas de tiempo.
[0:06:31.00]-[0:06:33.00]  Y no que ahora.
[0:06:33.00]-[0:06:36.00]  En horas ponen dos huevos.
[0:06:36.00]-[0:06:40.00]  Ahora solo es.
[0:06:40.00]-[0:06:43.00]  Que no hemos querido poner la vida.
[0:06:43.00]-[0:06:46.00]  Más que que de mucho rendimiento todo.
[0:06:46.00]-[0:06:49.00]  Pero cosa buena nada.
[0:06:49.00]-[0:06:51.00]  No comemos nada.
[0:06:51.00]-[0:06:55.00]  La verdura en el criadero de esos no vale.
[0:06:55.00]-[0:06:57.00]  Usted tenía una huerta.
[0:06:57.00]-[0:06:59.00]  Tiene una huerta.
[0:06:59.00]-[0:07:01.00]  Dice que si tenemos huerta.
[0:07:01.00]-[0:07:03.00]  Esta mucha y yo también.
[0:07:03.00]-[0:07:06.00]  Y comemos verdura de la huerta.
[0:07:06.00]-[0:07:11.00]  Que ahora mismo cogeremos habas, bisaltos, cebollas.
[0:07:11.00]-[0:07:12.00]  De todo.
[0:07:12.00]-[0:07:14.00]  Y comemos mucho más natural.
[0:07:14.00]-[0:07:15.00]  Claro.
[0:07:15.00]-[0:07:18.00]  Pues bueno matábamos el tocino.
[0:07:18.00]-[0:07:21.00]  Y cociamos el arroz.
[0:07:21.00]-[0:07:23.00]  Y con la sangre.
[0:07:23.00]-[0:07:26.00]  Pues hacíamos en un parrizo.
[0:07:26.00]-[0:07:29.00]  Freíamos manteca y cebolla.
[0:07:29.00]-[0:07:31.00]  Y después las especias.
[0:07:31.00]-[0:07:33.00]  Que necesitaban.
[0:07:33.00]-[0:07:37.00]  Canela, clavillo, pimienta.
[0:07:37.00]-[0:07:38.00]  Y de todo.
[0:07:38.00]-[0:07:41.00]  Y las morcillas eso.
[0:07:41.00]-[0:07:43.00]  Y las masábamos.
[0:07:43.00]-[0:07:45.00]  Y después con la máquina las hacíamos.
