[0:00:00.00]-[0:00:07.00] ...chorizos y las morcillas. Luego para hacer las morcillas, cuecen calabaza.
[0:00:07.00]-[0:00:09.00]  ¿Con calabaza hacen aquí?
[0:00:09.00]-[0:00:17.00]  Sí, se cuecen calabazas y se cuece la calabaza, se machaca bien machacada, luego echan cebolla,
[0:00:17.00]-[0:00:21.00]  y echan magro, pan hecho, gordos...
[0:00:21.00]-[0:00:26.00]  No hombre, las morcillas no se echan magro.
[0:00:26.00]-[0:00:27.00]  Gordos, echa gordo.
[0:00:27.00]-[0:00:30.00]  Es la dicho magro.
[0:00:30.00]-[0:00:36.00]  Bueno, el magro es para los chorizos. Y de eso hacen luego una más, para las morcillas.
[0:00:36.00]-[0:00:38.00]  Pero la sangre no se queda cojada.
[0:00:38.00]-[0:00:40.00]  La sangre la cuecen y...
[0:00:40.00]-[0:00:42.00]  ¿Y qué hacen ahí cómo lo hace la sangre?
[0:00:42.00]-[0:00:49.00]  La cuecen en unos calderetas, que lo llaman, que se llamaban antiguamente, que una caldereta,
[0:00:49.00]-[0:00:51.00]  que se colgaba con un hombre...
[0:00:51.00]-[0:00:54.00]  Con un hombre que le decían, ¿Lumbre en el suelo?
[0:00:54.00]-[0:00:55.00]  Sí.
[0:00:55.00]-[0:00:58.00]  Con tres ya no hay, ahora de butano.
[0:00:58.00]-[0:01:02.00]  Y luego se cuece y se puede hacer muchos guisos con ella.
[0:01:02.00]-[0:01:04.00]  También es mi cara, se frita con calor.
[0:01:04.00]-[0:01:05.00]  Y de la tripa, ¿no?
[0:01:05.00]-[0:01:07.00]  ¿Y cómo la cocina la sangre usted?
[0:01:07.00]-[0:01:08.00]  ¿Sí?
[0:01:08.00]-[0:01:09.00]  ¿Cómo cocina usted la sangre?
[0:01:09.00]-[0:01:15.00]  Ah, pues mira, se puede cocinar con un poquito de cebolla frita, muy delicada, y se echa un poquito de sal,
[0:01:15.00]-[0:01:18.00]  o un machado de ají para ají.
[0:01:18.00]-[0:01:19.00]  ¿La sangre cómo la...
[0:01:19.00]-[0:01:23.00]  Y también se puede freír, si se quiere.
[0:01:23.00]-[0:01:29.00]  La comida está cuajada, se parte, se echa con un poquito de caliente y también se fríe.
[0:01:29.00]-[0:01:32.00]  Están también muy ricos, como afinetes.
[0:01:32.00]-[0:01:34.00]  Está muy rica la sangre frita.
[0:01:34.00]-[0:01:35.00]  ¿Y la cabecera?
[0:01:35.00]-[0:01:38.00]  Hable solo una porque es que si no luego tenemos que tener una cabecera.
[0:01:38.00]-[0:01:40.00]  No, cállate.
[0:01:40.00]-[0:01:41.00]  Bueno, explíqueme...
[0:01:41.00]-[0:01:44.00]  Explíqueme lo de la sangre.
[0:01:44.00]-[0:01:45.00]  Vamos, la sangre.
[0:01:45.00]-[0:01:47.00]  Y ahora explíqueme cómo hacen los chorizos.
[0:01:47.00]-[0:01:55.00]  Bueno, para la morcilla también tiene que unirlo todo y echar el pimentón y la sal y todo eso.
[0:01:55.00]-[0:01:57.00]  Y luego cómo se hace...
[0:01:57.00]-[0:01:59.00]  Con la jalaquaza y todo eso.
[0:01:59.00]-[0:02:01.00]  Eso para la morcilla.
[0:02:01.00]-[0:02:02.00]  Una sola porque si no...
[0:02:02.00]-[0:02:05.00]  Y luego los chorizos, pues igual.
[0:02:05.00]-[0:02:10.00]  Cojen el magro, también lo pican con una máquina, limpicarito,
[0:02:10.00]-[0:02:16.00]  y también echan el pimentón, la sal, orégano, que también suelen...
[0:02:16.00]-[0:02:22.00]  Bueno, el orégano, pues luego para que echen en agua y echen el orégano.
[0:02:22.00]-[0:02:24.00]  No, el orégano sí está igual.
[0:02:24.00]-[0:02:26.00]  ¿Ustedes de dónde traían las especias?
[0:02:26.00]-[0:02:28.00]  ¿De dónde? ¿De dónde traían?
[0:02:28.00]-[0:02:30.00]  Las traían de Palavera.
[0:02:30.00]-[0:02:31.00]  ¿De?
[0:02:31.00]-[0:02:33.00]  Las traían de Pasto Madura de Palavera.
[0:02:33.00]-[0:02:34.00]  ¿Cuál?
[0:02:34.00]-[0:02:35.00]  Las especias.
[0:02:35.00]-[0:02:36.00]  Ah.
[0:02:36.00]-[0:02:40.00]  Que yo creo que de Palavera, de Jalaya de la Vera, por ejemplo, lo suelen traer.
[0:02:40.00]-[0:02:43.00]  Luego traen aquí a los comercios de ultramarinos.
[0:02:43.00]-[0:02:44.00]  Y la gente lo cumpla.
[0:02:44.00]-[0:02:45.00]  Lo cumpla la gente.
[0:02:45.00]-[0:02:46.00]  ¿Quién hace?
[0:02:46.00]-[0:02:55.00]  Hay tiendas que matan los cerdos y tienen embutido hechos de su propio pueblo.
[0:02:55.00]-[0:02:57.00]  De su propia casa.
[0:02:57.00]-[0:02:58.00]  Sí, sí, sí.
[0:02:58.00]-[0:02:59.00]  Hay que caer tiendas.
[0:02:59.00]-[0:03:00.00]  Siempre ha sido así.
[0:03:00.00]-[0:03:01.00]  ¿Eh?
[0:03:01.00]-[0:03:02.00]  Siempre ha sido así.
[0:03:02.00]-[0:03:03.00]  ¿Cómo?
[0:03:03.00]-[0:03:05.00]  Han ido a comprar las especias.
[0:03:05.00]-[0:03:06.00]  Han traído las especias.
[0:03:06.00]-[0:03:09.00]  O las encabran o van directas a comprar.
[0:03:09.00]-[0:03:11.00]  Más bien las encabran, yo creo.
[0:03:11.00]-[0:03:13.00]  Las de las tiendas para el aseo.
[0:03:13.00]-[0:03:14.00]  Ajá.
[0:03:14.00]-[0:03:15.00]  Y ¿qué más?
[0:03:15.00]-[0:03:17.00]  Pues ¿qué temporada es la que...
