[0:00:00.00]-[0:00:02.00]  Hola, buenos días.
[0:00:02.00]-[0:00:04.00]  Hola.
[0:00:04.00]-[0:00:11.00]  Explícale, ¿cómo era esto chicos? ¿Cómo era la vida antes? Se van a hacer un trabajo con la Universidad.
[0:00:11.00]-[0:00:20.00]  Ay, yo que sé decirte. Bueno, yo estoy 60 años aquí, 61. Estoy.
[0:00:20.00]-[0:00:23.00]  ¿Era que después nací en el pueblo?
[0:00:23.00]-[0:00:30.00]  No señor, yo soy de la provincia Albacete. ¿Usted sabe Casas del Río?
[0:00:30.00]-[0:00:33.00]  ¿Casas del Río? ¿Está cerca de aquí o no?
[0:00:33.00]-[0:00:35.00]  Pues no, aún está lejos.
[0:00:35.00]-[0:00:37.00]  ¿A cuántos kilómetros más o menos sabe?
[0:00:37.00]-[0:00:40.00]  Pues un par de ellos por ahí.
[0:00:40.00]-[0:00:42.00]  ¿Un par de kilómetros? ¿Dos kilómetros?
[0:00:42.00]-[0:00:47.00]  No, no, no. Dos horas quería decirle. Dos horas, sí.
[0:00:47.00]-[0:00:57.00]  Yo soy de una aldea que le dicen la Golfilla. Y la Golfilla pertenecía, bueno, sube usted a Casas del Río y hay un peñón grande.
[0:00:57.00]-[0:01:06.00]  Y el peñón ese divide Albacete y Valencia. Y yo soy allí, me casé aquí y aquí estoy.
[0:01:06.00]-[0:01:08.00]  Pero entonces vino usted muy joven.
[0:01:08.00]-[0:01:09.00]  ¿Eh?
[0:01:09.00]-[0:01:10.00]  Vino usted muy joven.
[0:01:10.00]-[0:01:17.00]  Pues tenía, pues no sé decirle, hoy tengo 65 años. ¿Qué le parece? ¿Bien?
[0:01:17.00]-[0:01:20.00]  Sí, se conservaste muy bien. ¿Tiene 65 años?
[0:01:20.00]-[0:01:28.00]  85. 85. 85 tengo, sí. Así que eso le puedo decir.
[0:01:28.00]-[0:01:30.00]  O sea que vino para 19 años más o menos.
[0:01:30.00]-[0:01:38.00]  No, no, no, no. 19 años no. No, yo vine pues con 26 o por ahí. Vendría.
