[0:00:00.00]-[0:00:02.00]  ¿La hierba buena, no?
[0:00:02.00]-[0:00:02.80]  No.
[0:00:02.80]-[0:00:03.80]  ¿Tomillo?
[0:00:03.80]-[0:00:04.80]  No, es tomillo.
[0:00:04.80]-[0:00:05.80]  ¿Es tomillo?
[0:00:05.80]-[0:00:08.80]  Hoy hablamos de tomillo, eso es que es un gran crisante, ¿no?
[0:00:09.80]-[0:00:10.80]  ¿Le gustan las hierbas?
[0:00:10.80]-[0:00:11.80]  Sí.
[0:00:12.80]-[0:00:13.80]  ¿Y por aquí cultivan hierba?
[0:00:13.80]-[0:00:15.80]  No, también tampoco.
[0:00:16.80]-[0:00:18.80]  ¿No cultivan por aquí menta o hierba luisa?
[0:00:18.80]-[0:00:20.80]  Está bien, está bien.
[0:00:20.80]-[0:00:21.80]  Que iré todo.
[0:00:22.80]-[0:00:25.80]  Vaya pues, como aquel.
[0:00:26.80]-[0:00:27.80]  A ver si los vayan a tirar.
[0:00:27.80]-[0:00:29.80]  Aquí bien caliente que sí está.
[0:00:29.80]-[0:00:30.80]  Sí, de verdad.
[0:00:30.80]-[0:00:32.80]  Está muy gustito, está.
[0:00:32.80]-[0:00:34.80]  Qué bien, qué bien.
[0:00:34.80]-[0:00:36.80]  Ahora, ahora la pañalenguas ahora.
[0:00:36.80]-[0:00:37.80]  Y con la mirada.
[0:00:37.80]-[0:00:39.80]  Me está arreglando la cadena del reloj.
[0:00:39.80]-[0:00:40.80]  Por eso tengo esta mienta de aquí.
[0:00:40.80]-[0:00:43.80]  Ya he almorzado y me voy a echar dos vasos de agua.
[0:00:43.80]-[0:00:44.80]  Eso está bien.
[0:00:45.80]-[0:00:46.80]  ¡Qué he fregado, eh!
[0:00:46.80]-[0:00:51.80]  Y yo me voy.
[0:00:51.80]-[0:00:58.80]  Y luego, si me pillan ustedes un poco después, porque ahora iba a subir.
[0:01:02.80]-[0:01:04.80]  Tengo que coger una cilésia, ¿sienten?
[0:01:05.80]-[0:01:07.80]  La cosa no puedo decir.
[0:01:07.80]-[0:01:10.80]  No creo que me hagan una...
[0:01:11.80]-[0:01:12.80]  Que me fío de ustedes, eh.
[0:01:12.80]-[0:01:14.80]  Sí, sí, siempre fío de todos los rondos.
[0:01:14.80]-[0:01:16.80]  Y hombre.
[0:01:19.80]-[0:01:21.80]  Lo digo de corazón, eh.
[0:01:21.80]-[0:01:23.80]  Lo digo de corazón.
[0:01:23.80]-[0:01:25.80]  Es que de verdad lo sentimos así que...
[0:01:25.80]-[0:01:33.80]  Porque me gusta tener un poco... un poco bien las cosas.
[0:01:34.80]-[0:01:37.80]  No, es verdad que usted es un hombre ordenado.
[0:01:37.80]-[0:01:39.80]  Con todas las cosas así bien puestas.
[0:01:39.80]-[0:01:40.80]  Sí, sí.
[0:01:40.80]-[0:01:46.80]  ¿Vale?
[0:01:46.80]-[0:01:52.80]  Pues para eso, vayan a la bordeta, ese del país en la mochila.
[0:01:52.80]-[0:01:53.80]  Sí.
[0:01:54.80]-[0:01:55.80]  Que por aquí también pasó, eh.
[0:01:55.80]-[0:01:56.80]  Sí, pasó por aquí.
[0:01:56.80]-[0:01:57.80]  Pasó por aquí.
[0:01:57.80]-[0:02:00.80]  También pasó por aquí, ya lo hago pronto que...
[0:02:00.80]-[0:02:03.80]  Entonces, no lo seguís al día en la televisión, ni no.
[0:02:03.80]-[0:02:07.80]  Pero que un libro sí que escribió que lo hiciera yo.
[0:02:07.80]-[0:02:09.80]  Por cierto.
[0:02:09.80]-[0:02:13.80]  Nos han dicho que usted sabe unas historias de este pueblo,
[0:02:13.80]-[0:02:14.80]  que no es de aquí.
[0:02:14.80]-[0:02:17.80]  Pues que sabe, por ejemplo, de esta virgen.
[0:02:17.80]-[0:02:20.80]  Unas historias así, ¿no?
[0:02:30.80]-[0:02:32.80]  La vida virgen.
[0:02:32.80]-[0:02:40.80]  ¿Qué forma...? ¿Qué...? ¿Qué...? Pregunten, pregunten, pregunten.
[0:02:40.80]-[0:02:43.80]  Pero de la virgen de la Vega nos han contado ya un poco,
[0:02:43.80]-[0:02:45.80]  a lo mejor nos podría...
[0:02:50.80]-[0:02:51.80]  Que era usted Aguazil, ¿no?
[0:02:51.80]-[0:02:52.80]  Nos han dicho.
[0:02:52.80]-[0:02:53.80]  Sí, sí.
[0:02:53.80]-[0:02:57.80]  ¿Y qué tenía que hacer? ¿Cuáles son sus tareas?
[0:02:57.80]-[0:03:02.80]  Entonces, mira, todo que... ¿Cómo que...?
[0:03:10.80]-[0:03:12.80]  Pienso...
[0:03:15.80]-[0:03:20.80]  Cuando era Aguazil, ¿qué es lo que tenía que hacer? ¿Cuáles son sus tareas?
[0:03:20.80]-[0:03:28.80]  Mira, siendo Aguazil yo, siendo Aguazil yo,
[0:03:28.80]-[0:03:34.80]  entonces esto estaba...
[0:03:40.80]-[0:03:42.80]  No estaba como ahora.
[0:03:42.80]-[0:03:44.80]  Estaba mucho más atrasado.
[0:03:44.80]-[0:03:50.80]  Había 62 masías que vivían en ella, ¿sabes?
[0:03:50.80]-[0:03:58.80]  Y pues para dar avisos a los de las masías y todo eso tenía que ir...
[0:03:59.80]-[0:04:00.80] ...demasiado en masía.
[0:04:00.80]-[0:04:02.80]  ¿Y cómo iba demasiado en masía?
[0:04:02.80]-[0:04:04.80]  A pie, que otra vez es andando.
[0:04:04.80]-[0:04:06.80]  ¿Pero para qué?
[0:04:06.80]-[0:04:11.80]  Mira, por ejemplo, una de las cosas.
[0:04:11.80]-[0:04:16.80]  Siempre había, la mitad de los concejales, que eran de las masías.
[0:04:18.80]-[0:04:22.80]  Y cada 15 o 20 días, cada 15 días tenían sesión.
[0:04:22.80]-[0:04:24.80]  Se lo ahí también.
[0:04:34.80]-[0:04:36.80]  La capaz que esto se haya perdido.
[0:04:36.80]-[0:04:38.80]  Entonces usted ha andado un montón de kilómetros todos los días.
[0:04:38.80]-[0:04:44.80]  Sí, muchos. Luego ya me compré una bicicleta.
[0:04:46.80]-[0:04:49.80]  Y después una moto.
[0:04:49.80]-[0:04:55.80]  ¿Y había muchas motos por aquí en el pueblo?
[0:04:55.80]-[0:04:56.80]  ¿Muchas qué?
[0:04:56.80]-[0:04:58.80]  Motos. Cuando usted se compró la suya...
[0:04:58.80]-[0:05:10.80]  ¿Y qué crees, es lo que está buscando?
[0:05:10.80]-[0:05:20.80]  ¿Y es que por ejemplo, no sé a qué se escribe usted que Algarcía, es que yo no sé qué es Algarcía...
[0:05:20.80]-[0:05:25.80]  ¿Es una palabra que se piensa son de en este pueblo?
[0:05:25.80]-[0:05:27.80]  ¿Algoacía?
[0:05:27.80]-[0:05:29.80]  Algoacía no, no, Algoacía.
[0:05:29.80]-[0:05:41.80]  Municipal, voz pública. Algoacía municipal y voz pública.
[0:05:41.80]-[0:05:43.80]  ¿Y qué hace?
[0:05:43.80]-[0:05:46.80]  Pues requerir, recaos. Más que nada recaos.
[0:05:46.80]-[0:05:50.80]  Hay que avisar, para barrer las plazas.
[0:05:50.80]-[0:05:52.80]  Entonces no había otro más feo.
[0:05:52.80]-[0:05:54.80]  Ahora hay cuatro o cinco.
[0:05:54.80]-[0:05:56.80]  Ahora hay un montón de más.
[0:05:56.80]-[0:06:02.80]  Hay cuatro o cinco. Estos son multiusos.
[0:06:02.80]-[0:06:07.80]  Yo fui, era propietario.
[0:06:07.80]-[0:06:13.80]  O sea que me comprende una plaza que cumpliendo en ella no me podían echar.
[0:06:13.80]-[0:06:22.80]  Entonces como ahora que son contratados, se los contratan para tres meses, un mes, o quince días, o dos años, o contrato indefinido, ¿verdad?
[0:06:22.80]-[0:06:27.80]  Yo entré en proposición, con cruz oposición.
[0:06:27.80]-[0:06:33.80]  Y además, ¿usted tiene que conocer toda la población que le han sido?
[0:06:33.80]-[0:06:37.80]  Todas, un cien por cien.
[0:06:37.80]-[0:06:39.80]  Y a lo mejor, digo, ¿cómo se llama Pulano?
[0:06:39.80]-[0:06:43.80]  Que no es Pulano, de todas se llama.
[0:06:43.80]-[0:06:47.80]  Pues mucha gente tiene que tener confianza y usted está en todo todo, ¿no?
[0:06:47.80]-[0:06:54.80]  Bueno, de todos no. Siempre hay cosas que...
[0:06:54.80]-[0:06:58.80]  Por mucho saber, nunca es bastante.
[0:06:58.80]-[0:07:02.80]  Pero me ha tocado hacer de todos, sí.
[0:07:02.80]-[0:07:11.80]  Y he tenido de todo. A veces me lleva muy bien con los jefes, otras veces no.
[0:07:11.80]-[0:07:16.80]  Porque nos querían quitar el ayuntamiento y no pudieron.
[0:07:16.80]-[0:07:22.80]  No podían porque precisamente lo teníamos en propiedad, habíamos hecho unos exámenes.
[0:07:22.80]-[0:07:24.80]  ¿Y dónde hizo los exámenes?
[0:07:24.80]-[0:07:26.80]  Aquí en el pueblo. En el pueblo.
[0:07:26.80]-[0:07:36.80]  En el pueblo, nombran un jurado, viene uno de administración local, otro de aquí, otro de allá, y en fin, vienen...
[0:07:36.80]-[0:07:39.80]  ¿Y a usted le gusta cazar?
[0:07:39.80]-[0:07:42.80]  Sí, sí, mucho.
[0:07:42.80]-[0:07:44.80]  ¿Y qué caza, sobre todo?
[0:07:44.80]-[0:07:49.80]  Ahora nada, no hay caza, creo que sí me ha gustado ir a cazar.
[0:07:49.80]-[0:07:52.80]  Antes había muchísima caza aquí.
[0:07:52.80]-[0:07:53.80]  ¿Zorro, por aquí?
[0:07:53.80]-[0:07:54.80]  ¿Eh?
[0:07:54.80]-[0:07:55.80]  ¿Zorro?
[0:07:55.80]-[0:07:56.80]  Zorro, sí, también hay.
[0:07:56.80]-[0:07:57.80]  ¿Y cómo los llaman, a los zorros?
[0:07:57.80]-[0:08:01.80]  Sí, los zorros, raposos, raposaos, pero...
[0:08:01.80]-[0:08:04.80]  ¿Y aquí cómo los cazan?
[0:08:04.80]-[0:08:06.80]  Hacen los batidas.
[0:08:06.80]-[0:08:07.80]  ¿Batidas?
[0:08:07.80]-[0:08:12.80]  Sí, no hace mucho, aquí hicimos una hace... mañana 15 días, fue la última que hicimos.
[0:08:12.80]-[0:08:18.80]  ¿Y nos puede contar un poco cómo son las batidas que hacen, pues cómo las preparan?
[0:08:18.80]-[0:08:24.80]  Las batidas, hacemos... las batidas son muy diferentes para los zorros que para los jabalíes.
[0:08:24.80]-[0:08:31.80]  Cuando es para el jabalí y el zorro, van con trompetas y haciendo ruido, y otros están en las esferas,
[0:08:31.80]-[0:08:36.80]  o sea, en los sitios por donde crees que van a pasar, para zumbarles allí.
[0:08:36.80]-[0:08:45.80]  Y los perros también, van perros también ayudando a hacer salir las piezas.
[0:08:45.80]-[0:08:52.80]  Sin embargo, cuando es para las zorras, solo, está prohibido llevar perros.
[0:08:52.80]-[0:08:56.80]  Solo somos las personas los que vamos.
[0:08:56.80]-[0:08:57.80]  Solo las personas.
[0:08:57.80]-[0:08:58.80]  ¿Y por qué está prohibido?
[0:08:58.80]-[0:09:01.80]  La ley de caza lo admite así.
[0:09:01.80]-[0:09:07.80]  Hicimos un coto de caza y ahí sus estatutos y sus cosas y...
[0:09:07.80]-[0:09:09.80]  ¿Y qué tipo de perro usan?
[0:09:09.80]-[0:09:14.80]  Ah, aquí chuchos, los chuchos que como aquel hay de todo, buenos pocos.
