[0:00:00.00]-[0:00:06.00]  ¿Usted cómo se llama?
[0:00:06.00]-[0:00:10.00]  ¿No le importaría gritar el nombre?
[0:00:10.00]-[0:00:14.00]  Ah, sí, sí, no se preocupe, no cogemos el nombre para nada.
[0:00:14.00]-[0:00:16.00]  Muy bien.
[0:00:16.00]-[0:00:18.00]  Pero la edad le importa decirlo...
[0:00:18.00]-[0:00:20.00]  72 años.
[0:00:20.00]-[0:00:22.00]  No me puedo creer.
[0:00:22.00]-[0:00:24.00]  Pues te lo puedes creer.
[0:00:24.00]-[0:00:26.00]  Tengo 72 años cumplidos.
[0:00:26.00]-[0:00:28.00]  Ya.
[0:00:28.00]-[0:00:32.00]  Bueno, pues a ver, la matanza, ¿cómo se hace aquí?
[0:00:32.00]-[0:00:37.00]  Bueno, pues aquí criaban cerdos en casa, casi todas las casas del pueblo,
[0:00:37.00]-[0:00:41.00]  criaban un cerdo para su consumo.
[0:00:41.00]-[0:00:46.00]  Y la casa que podía matar dos, pues dos, y la casa que tres, tres.
[0:00:46.00]-[0:00:49.00]  Luego ya empezaron los cebaderos.
[0:00:49.00]-[0:00:52.00]  Casi todas las casas pues tenían un cebaderito,
[0:00:52.00]-[0:00:56.00]  se criaban 20 o 30 marranos, se vendía,
[0:00:56.00]-[0:00:58.00]  marranos o cerdos, como se quiera decir,
[0:00:58.00]-[0:01:01.00]  se vendían, te quedabas con uno o con dos,
[0:01:01.00]-[0:01:03.00]  le matabas y hacías tu matanza.
[0:01:03.00]-[0:01:06.00]  Y entonces pues invitaban pues a la familia,
[0:01:06.00]-[0:01:09.00]  a los más arrimaos, a la matanza.
[0:01:09.00]-[0:01:13.00]  Se mataba al cerdo, se juntaban cuatro o cinco para matarle,
[0:01:13.00]-[0:01:16.00]  o media docena, para sujetar al cerdo,
[0:01:16.00]-[0:01:21.00]  se mataba, se hacía la sangre, se ponía una caldera,
[0:01:21.00]-[0:01:25.00]  se cocía la sangre, y luego se sacaba el hígado,
[0:01:25.00]-[0:01:27.00]  después de que abrían el cerdo y eso,
[0:01:27.00]-[0:01:31.00]  y se hacían un almuerzo de las cosas del cerdo,
[0:01:31.00]-[0:01:35.00]  del hígado y la sangrecilla y eso.
[0:01:35.00]-[0:01:41.00]  Al otro día, el cerdo se ponía en un tajo,
[0:01:41.00]-[0:01:44.00]  en un tajo de madera, con cuatro patas,
[0:01:44.00]-[0:01:48.00]  cuatro señores lo sujetaban, otro le clavaba el cuchillo,
[0:01:48.00]-[0:01:52.00]  caía la sangre en un barreño, y luego esa sangre,
[0:01:52.00]-[0:01:56.00]  pues de ahí se cogía, cogían un poco para morcillas,
[0:01:56.00]-[0:02:02.00]  para hacer las morcillas, un litro o la cantidad que quisieran.
[0:02:02.00]-[0:02:08.00]  La sangre para las morcillas se cogía y se echaba en una cazuela,
[0:02:08.00]-[0:02:11.00]  o en un barreño pequeño, un litro,
[0:02:11.00]-[0:02:14.00]  para la sangre de un cerdo, pues se le ha dado un litro
[0:02:14.00]-[0:02:16.00]  para las tripas del cerdo.
[0:02:16.00]-[0:02:19.00]  Entonces se cogía una cuchara de madera,
[0:02:19.00]-[0:02:23.00]  se echaba un puñadito de sal gorda y se daba vueltas,
[0:02:23.00]-[0:02:29.00]  está un ratito dando vueltas y ya esa sangre no se coajulaba.
[0:02:29.00]-[0:02:34.00]  Y lo otro restante, pues se dejaba que cojaría,
[0:02:34.00]-[0:02:40.00]  se hacía una crucecita así en la sangre y se partía
[0:02:40.00]-[0:02:43.00]  y se echaba al caldero que estaba el agua hirviendo ya
[0:02:43.00]-[0:02:46.00]  con su sal correspondiente.
[0:02:46.00]-[0:02:50.00]  Y luego pues ya de ahí se sacaba la sangre para el que le gustaba,
[0:02:50.00]-[0:02:55.00]  pues unos lo comían a lo mejor en un plato, echaban vinagre y aceite
[0:02:55.00]-[0:03:02.00]  y se lo comían y otros pues cogían la esadura, la partían
[0:03:02.00]-[0:03:07.00]  y se ponía pues un pisto de ello con tomate, con cebolla,
[0:03:07.00]-[0:03:13.00]  con ajito, con todo, un guisadito y se lo almorzaban
[0:03:13.00]-[0:03:17.00]  los que mataban al cerdo y los que había en casa.
[0:03:17.00]-[0:03:24.00]  Eso, ahora ya no lo hacen, pero eso era la tradición de antiguamente.
[0:03:24.00]-[0:03:31.00]  Luego al día siguiente se estazaba el cerdo y ya una vez que el cerdo
[0:03:31.00]-[0:03:38.00]  se estazaba, pues la familia se cogía a hacer los chorizos
[0:03:38.00]-[0:03:41.00]  y hacer las magras y hacer todo.
[0:03:41.00]-[0:03:43.00]  ¿Qué se hacía en los chorizos?
[0:03:43.00]-[0:03:46.00]  Ahí tengo la receta pero no se la quería dar.
[0:03:46.00]-[0:03:48.00]  No me acuerdo yo.
[0:03:48.00]-[0:03:50.00]  Un poco se pica...
[0:03:50.00]-[0:03:56.00]  Se pica el jamón, si quieres unos chorizos buenos pica un jamón.
[0:03:56.00]-[0:04:01.00]  La parte, bueno, y toda la parte magra del cerdo, menos lo sanguino.
[0:04:01.00]-[0:04:04.00]  Lo sanguino se deja para chorizos botagueños que se llaman,
[0:04:04.00]-[0:04:08.00]  o sea los chorizos malos, esos con un poco de más,
[0:04:08.00]-[0:04:13.00]  que no es tan magro, más grasiento, pues se hacían unos chorizos
[0:04:13.00]-[0:04:17.00]  para cosa de cocido, ¿sabes?
[0:04:17.00]-[0:04:19.00]  Para cocido, que se llaman chorizos botagueños.
[0:04:19.00]-[0:04:24.00]  Y los otros pues se llamaban chorizo bueno o longaniza, como eso.
[0:04:24.00]-[0:04:29.00]  Pero para hacer un chorizo bueno, pues hay que echar un jamón
[0:04:29.00]-[0:04:36.00]  con lo otro restante del cerdo y se echa un poco de un 20%
[0:04:36.00]-[0:04:40.00]  o menos de así de grasiento algo.
[0:04:40.00]-[0:04:46.00]  Todo, todo, tampoco magro, tampoco porque quedan un poco más jugosos,
[0:04:46.00]-[0:04:48.00]  pero no mucho.
[0:04:48.00]-[0:04:51.00]  Ahora, si tiene jamón está mejor.
[0:04:51.00]-[0:04:54.00]  Y luego pues la receta...
[0:04:54.00]-[0:04:57.00]  ¿Y nunca usaron los jamones? ¿Nunca hacían jamones?
[0:04:57.00]-[0:05:01.00]  Sí, los jamones ya te los diré, te los explicaré.
[0:05:01.00]-[0:05:07.00]  Pues los chorizos yo siempre lo he echado pesado, pesado.
[0:05:07.00]-[0:05:14.00]  18 gramos de sal, para que no estrés sal lago,
[0:05:14.00]-[0:05:19.00]  y 18 gramos o 20 de pimentón, pimentón bueno.
[0:05:19.00]-[0:05:25.00]  Luego, espérate, ¿qué es lo que echaba?
[0:05:25.00]-[0:05:33.00]  Lo hay que amasar los ajos, un ajo, dos ajos por cada kilo, o tres.
[0:05:33.00]-[0:05:39.00]  Quitado el tallo del ajo, porque eso enrancia, el tallo enrancia.
[0:05:39.00]-[0:05:44.00]  Y luego hay quien echaba un poquito de orégano y hay quien no echaba nada.
[0:05:44.00]-[0:05:47.00]  Eso es en gustos de las personas.
