[0:00:00.00]-[0:00:02.00]  ¿Fue mucha gente o...?
[0:00:02.00]-[0:00:04.00]  De esa cosa no te puedo explicar.
[0:00:04.00]-[0:00:06.00]  De la vida mía de antes sí.
[0:00:06.00]-[0:00:08.00]  Porque...
[0:00:08.00]-[0:00:11.00]  yo nací en el año de mucha hambre.
[0:00:14.00]-[0:00:17.00]  Y abajo eran chozas lo que había.
[0:00:17.00]-[0:00:19.00]  No había casa.
[0:00:19.00]-[0:00:21.00]  La misma que yo vivía era
[0:00:21.00]-[0:00:23.00]  mi tan cueva
[0:00:23.00]-[0:00:25.00]  y después mi abuelo tello la casa
[0:00:25.00]-[0:00:27.00]  de la cueva de medio para adelante.
[0:00:27.00]-[0:00:29.00]  Entraba el mar.
[0:00:29.00]-[0:00:31.00]  Cuando subía, entraba.
[0:00:31.00]-[0:00:34.00]  Y entonces nosotros íbamos a quedarnos en otro sitio
[0:00:34.00]-[0:00:36.00]  porque se mojaba la cama.
[0:00:36.00]-[0:00:40.00]  Había una cama sola que tenía un hermano en fondo.
[0:00:40.00]-[0:00:42.00]  Y luego mi hermano salía y salíamos nosotros.
[0:00:42.00]-[0:00:44.00]  Hacíamos camas en el suelo.
[0:00:44.00]-[0:00:47.00]  Con ropa, con hojas de platanera.
[0:00:47.00]-[0:00:50.00]  Y todas esas cosas, lo que había. No había más nada.
[0:00:50.00]-[0:00:51.00]  ¿Sabes?
[0:00:51.00]-[0:00:53.00]  Eso era lo que había.
[0:00:53.00]-[0:00:55.00]  La vida de antes fue dura.
[0:00:55.00]-[0:00:57.00]  Vivían en cuevas.
[0:00:57.00]-[0:00:59.00]  Había una cueva.
[0:00:59.00]-[0:01:01.00]  Había...
[0:01:01.00]-[0:01:03.00]  Las casas eran chozas
[0:01:03.00]-[0:01:06.00]  que había tanto por un lado o por el otro.
[0:01:06.00]-[0:01:09.00]  La mamá llegaba a mi casa.
[0:01:09.00]-[0:01:11.00]  Y daba la puerta por allá.
[0:01:11.00]-[0:01:13.00]  No sé si ustedes han ido por la playa.
[0:01:13.00]-[0:01:15.00]  No han ido. Bueno.
[0:01:15.00]-[0:01:17.00]  Hay unos escalones.
[0:01:17.00]-[0:01:19.00]  Hay un escalón y hay un...
[0:01:19.00]-[0:01:21.00]  Ahora. Ahora.
[0:01:21.00]-[0:01:23.00]  Hay unos escalones y un asiento de...
[0:01:23.00]-[0:01:25.00]  de cemento grande.
[0:01:25.00]-[0:01:28.00]  Cuando se sienta la gente a pasar el rato.
[0:01:28.00]-[0:01:31.00]  Allí en aquel sitio había una caseta de madera.
[0:01:31.00]-[0:01:33.00]  Que tenía diez hijos.
[0:01:33.00]-[0:01:35.00]  Para quedarse el último
[0:01:35.00]-[0:01:38.00]  tenía que cerrar la puerta
[0:01:38.00]-[0:01:41.00]  para acostarse dentro de la puerta en el suelo.
[0:01:41.00]-[0:01:42.00]  Porque no había cama.
[0:01:42.00]-[0:01:44.00]  Era matrimonio de diez hijos.
[0:01:44.00]-[0:01:47.00]  Y veces se quedaban en la playa por la noche
[0:01:47.00]-[0:01:49.00]  en los calores debajo de los...
[0:01:49.00]-[0:01:52.00]  de los barquillos, se decían antes.
[0:01:52.00]-[0:01:55.00]  Los barquillos que eran las embarcaciones pequeñas.
[0:01:55.00]-[0:01:57.00]  De seis metros.
[0:01:57.00]-[0:01:58.00]  ¿Me entienden?
[0:01:58.00]-[0:02:00.00]  Y entonces
[0:02:00.00]-[0:02:03.00]  después se fue haciendo alguna casa que es...
[0:02:03.00]-[0:02:06.00]  El bar de la esquina allá era una casa.
[0:02:06.00]-[0:02:07.00]  Que...
[0:02:07.00]-[0:02:10.00]  Allí vivía una señora morena.
[0:02:10.00]-[0:02:12.00]  Que le decían...
[0:02:13.00]-[0:02:15.00]  Bueno, y después más hasta acá
[0:02:15.00]-[0:02:17.00]  empezaron a hacerse casas, pero todo era...
[0:02:17.00]-[0:02:19.00]  choza.
[0:02:19.00]-[0:02:21.00]  Hasta que...
[0:02:21.00]-[0:02:23.00]  Aquí había dos molinos.
[0:02:23.00]-[0:02:25.00]  ¿Han ido para allí?
[0:02:25.00]-[0:02:27.00]  Para allá hay un molino que se molía el gocho.
[0:02:27.00]-[0:02:29.00]  Y después más acá
[0:02:29.00]-[0:02:32.00]  frente a la misma granja había otro molino.
[0:02:32.00]-[0:02:34.00]  Que también llegaba el mar.
[0:02:34.00]-[0:02:35.00]  También era...
[0:02:35.00]-[0:02:37.00]  La casa esa era como una cueva
