[0:00:00.00]-[0:00:02.00]  Claro, para bailarla, sí.
[0:00:02.00]-[0:00:04.00]  ¡Venís a ver buenas cosas!
[0:00:04.00]-[0:00:06.00]  Sí, venimos.
[0:00:06.00]-[0:00:08.00]  ¡Ay, Dios mío! De Madrid, nada menos.
[0:00:08.00]-[0:00:14.00]  Sí, estamos haciendo un trabajo sobre la vida tradicional y todos estos cumbres que se han perdido.
[0:00:14.00]-[0:00:20.00]  Yo le confieso que mire que llevo años haciéndolo y nunca he visto a nadie abrir la lana ni quimilarla.
[0:00:20.00]-[0:00:22.00]  Casi ningún sitio se hace ya.
[0:00:22.00]-[0:00:24.00]  ¿Aquí todavía ustedes hilas la lana?
[0:00:24.00]-[0:00:27.00]  Sí, hilas, sí, hilamos algunas.
[0:00:27.00]-[0:00:33.00]  Ahora aquí ya no, pero no más tres o cuatro viejas, pero una vez que otra hilamos algo.
[0:00:33.00]-[0:00:39.00]  Sí. ¿Y a usted le importaría que nos sentemos aquí un poquito mientras nos cuente un poco estas cosas?
[0:00:39.00]-[0:00:42.00]  Esta señora, que es la que sabe.
[0:00:42.00]-[0:00:45.00]  No, yo no sé nada, no me escribí un número.
[0:00:45.00]-[0:00:49.00]  Pero tienen donde se sientan.
[0:00:49.00]-[0:00:51.00]  Aquí, en el suelo.
[0:00:51.00]-[0:00:53.00]  En el suelo no, hombre, como en el suelo se van a ver.
[0:00:53.00]-[0:00:57.00]  No, no hay ningún problema.
[0:01:01.00]-[0:01:04.00]  Bueno, pues nos podría decir...
[0:01:04.00]-[0:01:06.00]  Venga, venga.
[0:01:06.00]-[0:01:08.00]  No, yo no le digo nada.
[0:01:08.00]-[0:01:11.00]  Espera, que usted pregunte, que sabe, que usted pregunte.
[0:01:11.00]-[0:01:14.00]  Sí, usted sí lo hace, pues debe saberlo, pues.
[0:01:14.00]-[0:01:19.00]  ¿Cómo se hace? Desde el principio hasta, no sé, hasta hacer...
[0:01:19.00]-[0:01:22.00]  Ah, para hacer un calcetín o un fecés o esas cosas.
[0:01:22.00]-[0:01:30.00]  Bueno, pues primero se coge un bellón de una oveja, esto, porque es de una oveja, de la lana de una oveja.
[0:01:30.00]-[0:01:38.00]  Después se lava y se seca, y después ya de que seca pues ya la abrimos así para poderla hilar.
[0:01:38.00]-[0:01:43.00]  Y después ya se hilan una mazorca, ¿saben lo que es una mazorca?
[0:01:43.00]-[0:01:45.00]  Supongo que sí.
[0:01:45.00]-[0:01:47.00]  Un oso y una rueca.
[0:01:47.00]-[0:01:49.00]  Voy a buscar yo la rueca.
[0:01:49.00]-[0:01:50.00]  Vete tú, vete.
[0:01:50.00]-[0:01:52.00]  ¿Y eso no hay agua a la lana?
[0:01:52.00]-[0:01:54.00]  Sí, pues hala, vete hija, vete.
[0:01:54.00]-[0:01:57.00]  ¿Y eso es el trabajo de la mujer?
[0:01:57.00]-[0:02:03.00]  Bueno hija, eso son para ratines más vacantes, que no se hace otra cosa.
[0:02:03.00]-[0:02:07.00]  Como nosotros no vamos para los bares, ni vamos por ahí de paseo.
[0:02:07.00]-[0:02:13.00]  Bueno, de paseo sí vamos, pero bueno, no vamos para ningún sitio, para ningún teatro, ni para ningún cine.
[0:02:13.00]-[0:02:24.00]  Pues claro, los gatos que nos sobran, pues abrimos algo de lana y la hilamos, y después se hilan unas mazorquinas,
[0:02:24.00]-[0:02:30.00]  y después se igualan, se igualan una con la otra, y después se tuercen otra vez con el fuso.
[0:02:30.00]-[0:02:34.00]  Lo llamamos el fuso, no es fuso, no es fuso.
[0:02:34.00]-[0:02:43.00]  Y después ya se tuerce, y ya se hacen pues jersey, o calcetines, o de esas cosas. Ya vos enseñada esa.
[0:02:43.00]-[0:02:49.00]  ¿Y usted, o su familia tiene ovejas?
[0:02:49.00]-[0:02:51.00]  No, yo ya no las tengo, yo ya no las tengo.
[0:02:51.00]-[0:02:55.00]  ¿Y de dónde saca la lana, esta lana?
[0:02:55.00]-[0:03:02.00]  Pues esta sí es de una oveja que tuve yo, pero ya de unos 5 o 6 años que la maté, ya no tengo nada.
