[0:00:00.00]-[0:00:01.00]  ¡Llamo!
[0:00:11.00]-[0:00:15.00]  Pues bien, queríamos preguntarle un poco, ¿usted ha hecho matanza alguna vez?
[0:00:15.00]-[0:00:17.00]  Sí, hemos hecho matanza.
[0:00:17.00]-[0:00:18.00]  Genial.
[0:00:18.00]-[0:00:22.00]  Todos los años matamos a los cerdos para casa.
[0:00:23.00]-[0:00:25.00]  ¿Y cómo se hace la matanza?
[0:00:25.00]-[0:00:42.00]  Aquí es lo típico, se coge al cerdo, se agarra, le clava el cuchillo y se muere, se sangra, se cuaga, se limpia con agua hervida, le quita las cerdas del pelo, y se cuelga hasta el otro día, el otro día se trocea.
[0:00:42.00]-[0:00:44.00]  Es como se hace la matanza aquí.
[0:00:44.00]-[0:00:46.00]  ¿Y luego qué hacen con ese cerdo?
[0:00:46.00]-[0:00:59.00]  Bueno, hoy en día va para el congelador, pero se salta, porque lo mío es el invierno, cuando hay que solar, porque si haces el verano, pues te pierde porque hay mosca y lo pica.
[0:00:59.00]-[0:01:04.00]  Nos matamos en diciembre, por ejemplo en enero, cuando hace frío, no hay mosca.
[0:01:04.00]-[0:01:06.00]  Eso es lo que se hace.
[0:01:06.00]-[0:01:08.00]  Me han dicho que la mosca da problemas, ¿no?
[0:01:08.00]-[0:01:10.00]  Que puede crear nidos dentro.
[0:01:10.00]-[0:01:19.00]  Pica y después salen las larvas, como pasa con cualquier inseto que peja en una cosa muerta, claro, en una cosa muerta, y pues eso es lo que se hace.
[0:01:19.00]-[0:01:22.00]  ¿Y luego hacen morcilla, por ejemplo, con el cerdo?
[0:01:22.00]-[0:01:24.00]  Chorizo y los jamones se salan.
[0:01:24.00]-[0:01:26.00]  ¿Y cómo se hace el chorizo?
[0:01:26.00]-[0:01:35.00]  El chorizo se hace, se pica la carne, el día de, qué se llama, el día de las pedazas, el día de cuartear, lo llamamos las pedazas.
[0:01:35.00]-[0:01:42.00]  Entonces las carnes que van saliendo de hacer el jamón bien hecho, de sobran cachos y eso se hace más bien el chorizo.
[0:01:42.00]-[0:01:44.00]  Un poco de tocino también mezclado.
[0:01:44.00]-[0:01:50.00]  El chorizo se hace con pimiento, ajo, sal y pimiento picante.
[0:01:50.00]-[0:02:00.00]  El pimiento y el pimiento picante se torcea, se remasa, se deja tres días, se remasa todos los días, una vez todos los días, por mañana y por la noche,
[0:02:00.00]-[0:02:03.00]  y al tercer día se embute en la tripa del cerdo.
[0:02:03.00]-[0:02:05.00]  ¿Y la tripa del cerdo?
[0:02:05.00]-[0:02:07.00]  Como un grito de cualquier cosa.
[0:02:07.00]-[0:02:09.00]  ¿Y la morcilla cómo se hace?
[0:02:09.00]-[0:02:16.00]  Eso ya es más complicado, yo no lo hago porque eso da más trabajo, eso se hace con la sangre que le sacas al cerdo.
[0:02:16.00]-[0:02:25.00]  La sangre no se deja coagular, se revuelve, y si se coagula hoy en día ya hay una batidora ahí, ya se vuelve a poner líquida.
[0:02:25.00]-[0:02:33.00]  Y después se hace muchas cosas con nueces, pasas, manzanas, le echan muchas cosas dentro y eso se cuece en una tripa de la gorda,
[0:02:33.00]-[0:02:40.00]  el chorizo va en la tripa del intestino delgado, y la morcilla se hace normalmente en la tripa gorda.
[0:02:40.00]-[0:02:42.00]  Y eso se cuece, se deja coagular y se come.
[0:02:42.00]-[0:02:45.00]  A mi no lo hago mucho.
[0:02:45.00]-[0:02:52.00]  Creo que dicen que tal, pero para mí saben también las cosas que le meten como la morcilla después.
[0:02:52.00]-[0:02:54.00]  ¿Cuesta mucho hacer la morcilla?
[0:02:54.00]-[0:03:00.00]  Sale caro, porque las metas son caras, las mañanas también, todo lo que se le mete, pasas, todo es caro.
[0:03:00.00]-[0:03:04.00]  La morcilla es una cosa bastante... Aquí se hace muy poco.
