[0:00:00.00]-[0:00:07.00]  ¿Y sin mamar?
[0:00:07.00]-[0:00:12.00]  No, no vuelves, no vuelves.
[0:00:12.00]-[0:00:13.00]  Vale.
[0:00:13.00]-[0:00:18.00]  Bueno, pues es sed, ¿no?
[0:00:18.00]-[0:00:19.00]  Sí.
[0:00:19.00]-[0:00:22.00]  ¿Y has vivido aquí siempre?
[0:00:22.00]-[0:00:23.00]  Sí.
[0:00:23.00]-[0:00:24.00]  Ah.
[0:00:24.00]-[0:00:27.00]  ¿Nunca has salido de aquí?
[0:00:27.00]-[0:00:30.00]  No, no, no.
[0:00:30.00]-[0:00:33.00]  Ya fui para Alemania y para Holanda.
[0:00:33.00]-[0:00:35.00]  Viví de fan calvario.
[0:00:35.00]-[0:00:38.00]  Sí.
[0:00:38.00]-[0:00:41.00]  Y ahora estoy aquí acabando con los días de la vida.
[0:00:41.00]-[0:00:44.00]  Bueno, entonces nos toca todo.
[0:00:44.00]-[0:00:48.00]  Y aquí, aquí, aquí imagino que sea la matanza, ¿no?
[0:00:48.00]-[0:00:49.00]  Sí.
[0:00:49.00]-[0:00:53.00]  Aquí se hacía la matanza, pero ahora se hacen pocas.
[0:00:53.00]-[0:00:54.00]  Se hacen pocas, y usted dice matanza.
[0:00:54.00]-[0:00:55.00]  Sí.
[0:00:55.00]-[0:00:58.00]  ¿Y nos puede explicar cómo se hace la matanza?
[0:00:58.00]-[0:01:02.00]  Primero hay que griegar los cerdos y cerrarlos.
[0:01:02.00]-[0:01:06.00]  Y después, más tarde, meterle el cuchillo.
[0:01:06.00]-[0:01:07.00]  ¿Meterle el cuchillo?
[0:01:07.00]-[0:01:09.00]  Por la garganta.
[0:01:09.00]-[0:01:11.00]  ¡Cui, cui, cui!
[0:01:11.00]-[0:01:12.00]  Hasta que se muerde.
[0:01:12.00]-[0:01:14.00]  Claro.
[0:01:14.00]-[0:01:17.00]  ¿Y que se mataba en una mesa o se mataba atado?
[0:01:17.00]-[0:01:18.00]  En una mesa.
[0:01:18.00]-[0:01:19.00]  Ah.
[0:01:19.00]-[0:01:21.00]  En una mesa de madera.
[0:01:21.00]-[0:01:23.00]  ¿En una mesa de madera?
[0:01:23.00]-[0:01:26.00]  ¿Y le ataban las patas o entrevalles?
[0:01:26.00]-[0:01:28.00]  No, no se ataba nada.
[0:01:28.00]-[0:01:32.00]  Se cogían las patas, se tenía en manos del cero,
[0:01:32.00]-[0:01:36.00]  y las patas estaban amarradas.
