[0:00:00.00]-[0:00:04.00]  ¿Cómo mataban a... perdón.
[0:00:04.00]-[0:00:06.00]  ¿Qué cómo les mataban?
[0:00:06.00]-[0:00:08.00]  Sí, en la matanza.
[0:00:08.00]-[0:00:11.00]  Pues con un cuchillo, ¿cómo se van a matar?
[0:00:11.00]-[0:00:14.00]  Con cuchillo, ¿cómo nos sacaban del cubi?
[0:00:14.00]-[0:00:16.00]  ¿Cómo del cubi?
[0:00:16.00]-[0:00:18.00]  ¿Cómo hacían la matanza?
[0:00:18.00]-[0:00:26.00]  Bueno, la matanza les sacaban de la... ¿dónde estaba? ¿de la cochinera, no? ¿o qué?
[0:00:26.00]-[0:00:30.00]  Ah, tú, explícame tú. ¿Cómo te lo decís?
[0:00:30.00]-[0:00:34.00]  Ah, bueno, pues mira, le traían y le echábamos en una mesa,
[0:00:34.00]-[0:00:44.00]  que en la mesa le mataban con un cuchillo, entonces se cogía en un barreño la sangre, se movía para eso.
[0:00:44.00]-[0:00:53.00]  Y luego se socarraba con un soplete, con gas, porque antiguamente era con escodones,
[0:00:53.00]-[0:01:00.00]  pero ya es más moderno y entonces es con un soplete y se va a otros pelando con unos cuchillos, se va pelándoles eso.
[0:01:00.00]-[0:01:06.00]  Luego se le abre, se le abre y se le saca todas las tripas, todas las cosas del vientre,
[0:01:06.00]-[0:01:13.00]  luego se le va sacando las costillas, se le va sacando lo que es el morro, todo el morro,
[0:01:13.00]-[0:01:21.00]  se le va haciendo luego... el magro se va sacando para los chorizos y la gordura para las morcillas.
[0:01:21.00]-[0:01:26.00]  Y luego el tocino, se le hacen dos hojas grandes, todo lo último ya es el tocino,
[0:01:26.00]-[0:01:31.00]  que se queda todo así ya que se va sacando todo el magro y toda la gordura para las morcillas,
[0:01:31.00]-[0:01:40.00]  y luego el tocino, lo último, y luego pues eso se pone en un saladero, el tocino, para salarlo, para conservarlo un poco tiempo.
[0:01:40.00]-[0:01:47.00]  Y los jamones, se los echa bien de sal, tapaditos de sal y se los conserva así un poco tiempo,
[0:01:47.00]-[0:01:52.00]  hasta que luego ya llega... bueno pues mira cuántos meses será que se tienen.
