[0:00:00.00]-[0:00:04.00]  ¿Cómo se llama usted?
[0:00:04.00]-[0:00:08.00]  ¿Y qué edad tiene?
[0:00:08.00]-[0:00:14.00]  Nací el 8 de agosto de 1924, ahora a agosto haré 84.
[0:00:14.00]-[0:00:19.00]  ¿Dónde estamos? ¿Cómo se llama su pueblo?
[0:00:19.00]-[0:00:23.00]  Este es San Mateo, de gallego.
[0:00:23.00]-[0:00:26.00]  ¿Y usted a qué se ha dedicado?
[0:00:26.00]-[0:00:30.00]  A Campo y a Altimara, como se ha dedicado a la construcción.
[0:00:30.00]-[0:00:34.00]  ¿Y qué se cosecha por aquí? ¿Qué se cosechaba antes?
[0:00:34.00]-[0:00:40.00]  Aquí toda la vida. Lo que más ha habido, remolacha, y alfance y trigo, y panizo también,
[0:00:40.00]-[0:00:49.00]  pero antes aquí la fuerza era la remolacha, donde se sacaban las perras, las pocas que se sacaban.
[0:00:49.00]-[0:00:55.00]  ¿Y cómo ha ido cambiando todo lo que es el ser agricultor?
[0:00:55.00]-[0:01:01.00]  Sí, que sí, que sí, que me ha tocado, pero ahora un agricultor está,
[0:01:01.00]-[0:01:06.00]  sobre el trabajo y la modernización, también como cualquier cuerpo de eso,
[0:01:06.00]-[0:01:10.00]  porque ahora a mi edad con corbata van.
[0:01:10.00]-[0:01:12.00]  ¿Y usted...?
[0:01:12.00]-[0:01:16.00]  A mí no me tocó eso, a mí me tocó dormir por el monte con las mulas,
[0:01:16.00]-[0:01:19.00]  y hasta ahí, yo sé, que más roca hay, y ya no.
[0:01:19.00]-[0:01:20.00]  ¿Con las mulas dice usted?
[0:01:20.00]-[0:01:22.00]  Con las mulas, la probamos aquí.
[0:01:22.00]-[0:01:31.00]  Los tratores vinieron, pues estaríamos, terminó la guerra del 39, estaríamos cerca del 50,
[0:01:31.00]-[0:01:35.00]  cuando echó a venir algún trato de Rusia, aquel y los grandes que vinieron,
[0:01:35.00]-[0:01:42.00]  que lo aficharon a venir alguno, después ya claro, lo habrá mirado.
[0:01:42.00]-[0:01:45.00]  ¿Y también aquí antes hacían la matanza?
[0:01:45.00]-[0:01:46.00]  Sí.
[0:01:46.00]-[0:01:47.00]  ¿También, en todas las casas?
[0:01:47.00]-[0:01:53.00]  En todas. Oye, en las de los pobres eran un poco más pequeños los tocinos.
[0:01:53.00]-[0:01:58.00]  Hombre, claro. ¿Y cómo se hacía la matanza?
[0:01:58.00]-[0:02:05.00]  Oye, la matacían, el tocino, mataban, había unos matadores, lo colgaban allí.
[0:02:05.00]-[0:02:09.00]  ¿Cómo le llama usted al hombre que mataba al cerdo?
[0:02:09.00]-[0:02:10.00]  Matarife.
[0:02:10.00]-[0:02:15.00]  Matarife y Matachin, Matachin o algo de eso, no lo sabía.
[0:02:15.00]-[0:02:21.00]  Matachin, aquí lo mismo se ha entendido Matachin que Matarife.
[0:02:21.00]-[0:02:23.00]  ¿Y eso que era en invierno?
[0:02:23.00]-[0:02:29.00]  Sí, sí. En el invierno, en el verano no se mataba nunca.
[0:02:29.00]-[0:02:32.00]  Claro, y luego lo iban consumiendo durante el invierno, ¿no?
[0:02:32.00]-[0:02:38.00]  Hombre, no sé, cuando eso se hacía chorizo, butifarra, bolas, todo.
