[0:00:00.00]-[0:00:10.00]  ¿Cómo tendría que ser el novio o la novia aquí para que se hiciesen novios?
[0:00:15.00]-[0:00:25.00]  En las romerías o fistas de los barrios se juntaban de diferentes caseríos y entonces tenían una relación entre tantos chicos como chicas y entonces de ahí empezaban los noviazos.
[0:00:25.00]-[0:00:35.00]  Generalmente los noviazos eran del mismo barrio de barrios contiguos porque no había los medios de locomoción que hay hoy en día, que era un vehículo o lo que sea.
[0:00:35.00]-[0:00:49.00]  Por eso la relación matrimonial en aquellos tiempos era más o menos vecinos y a lo más lejos, de 10 kilómetros a 15 kilómetros de distancia, de un caserío a otro para ser novios.
[0:00:49.00]-[0:00:56.00]  ¿Y qué se le pedía a una mujer o a un hombre para hacerse novio? Por ejemplo el tema de la vicinidad o alguna cosa así.
[0:00:56.00]-[0:01:17.00]  Sí, a nivel religioso en aquel tiempo se seguía más la presa religiosa que hay hoy en día y entonces la vicinidad era lo primero y eran otras formas más tabús de aquellos tiempos de que era lo que se exigía.
[0:01:17.00]-[0:01:22.00]  Para ser alcalde ¿qué habría que hacer? Aquí por ejemplo en este pueblo.
[0:01:22.00]-[0:01:51.00]  En estos momentos para ser pueblos pequeños de menos de 4.000 habitantes, buscan alcalde uscaldunes, que son más de dos para esto. Los pueblos pequeños ya tienen más de 10.000 habitantes para ir a las vacaciones, salen socialistas, salen de pequeño, pero a nivel de estos pueblos pequeños la mayoría de los pueblos son de alcalde nacionalista o alcalde de itarrón.
[0:01:51.00]-[0:01:56.00]  ¿Quién estudiaba en el pueblo y quién no hace años?
[0:01:56.00]-[0:02:14.00]  Los hijos de los estudiantes salían a estudiar afuera de las universidades, en cambio los hijos de la gente humilde se quedaba en el pueblo hasta los 12 o 13 años y luego ya se quedaban a trabajar en caserío o en estalleres cercanos.
[0:02:14.00]-[0:02:19.00]  ¿Quién se metía, pastor o acumadrón, agricultor?
[0:02:19.00]-[0:02:36.00]  En el pueblo el de pastor eran oficios muy mal retribuidos y aparte de eso eran más o menos en zonas un poco rurales distantes en los cuales no habían acudido ni a los colegas ni nada, los chicos que se afirmaban los hijos de los becerros se metían de pastores.
