[0:00:00.00]-[0:00:01.00]  La vida aquí...
[0:00:01.00]-[0:00:04.00]  La vida muy mala, muy arrastrada, muy mala.
[0:00:04.00]-[0:00:06.00]  Yo crie diez hijos.
[0:00:07.00]-[0:00:10.00]  Ni cobré subsidios, ni cobré nada nunca.
[0:00:10.00]-[0:00:11.00]  ¿Cómo fue trabajar?
[0:00:11.00]-[0:00:20.00]  Porque tenía yo un comercio y luego resulta que mi marido trabajaba los cántaros.
[0:00:20.00]-[0:00:23.00]  Bueno, la labor, entonces la labor.
[0:00:23.00]-[0:00:25.00]  Y claro, pues...
[0:00:26.00]-[0:00:28.00]  Los rimos negros, claro.
[0:00:28.00]-[0:00:30.00]  Ya ves, la vida como era.
[0:00:30.00]-[0:00:31.00]  Era muy arrastrada.
[0:00:31.00]-[0:00:35.00]  Yo trabajando todo el día, no pude salir nunca de casa, pero los hijos sí.
[0:00:36.00]-[0:00:38.00]  Y el comercio, pues no podía salir nunca de casa.
[0:00:39.00]-[0:00:41.00]  Así que mejor está la vida hoy que antes.
[0:00:42.00]-[0:00:44.00]  ¿Y se hacía matanza de cebo, por ejemplo?
[0:00:44.00]-[0:00:47.00]  Sí, sí, hacíamos matanza así, de cebo, así.
[0:00:47.00]-[0:00:51.00]  Custiábamos nosotros, le dábamos de comer y hacíamos la matanza.
[0:00:52.00]-[0:00:54.00]  ¿Y en qué consistía más o menos?
[0:00:54.00]-[0:01:00.00]  Pues la matanza consistía en que le dábamos de comer, teníamos paye en un corral.
[0:01:01.00]-[0:01:03.00]  Y luego después lo hacíamos, nos matábamos.
[0:01:04.00]-[0:01:17.00]  El día de la matanza nos matábamos y aportábamos las carnes o, en fin, el chorizo bueno, el chorizo malo, el chorizo de gorduras, el chorizo de tosino, el lomo, el jamón y esa cosa.
[0:01:18.00]-[0:01:21.00]  ¿Y hacían ustedes mismos la probión?
[0:01:21.00]-[0:01:24.00]  Sí, sí, yo la hacía yo.
[0:01:24.00]-[0:01:29.00]  Y mi marido y buscábamos, por ejemplo, a este señor para que nos tirara de los cerdos y todo eso.
[0:01:30.00]-[0:01:37.00]  Sí, de comer teníamos, gracias a Dios, porque como lo criábamos nosotros, los teníamos, pero la vida estaba muy mala.
