[0:00:00.00]-[0:00:02.00]  ¿Ya está grabando?
[0:00:02.00]-[0:00:04.00]  Ya está grabando ¿no?
[0:00:08.00]-[0:00:13.00]  Entonces lo que queremos que nos cuente un poco como era por ejemplo la matanza, ¿usted ha hecho matanza?
[0:00:13.00]-[0:00:15.00]  Si, en mi casa se ha hecho matanza.
[0:00:15.00]-[0:00:17.00]  Ah, se ha hecho, ¿y como es?
[0:00:17.00]-[0:00:32.00]  Yo llegué aquí al cocino, y luego llegué a matarlo, echéle agua caliente, limpiarlo, y una vez que echa limpio, abríle,
[0:00:32.00]-[0:00:47.00]  sacarle a tres palos tetinos, como quieran llamarles, y luego lo troceé a los jamones, los brazuelos, la manteca,
[0:00:47.00]-[0:00:53.00]  la carne para los chorizos, la sangre para las morcillas.
[0:00:53.00]-[0:00:56.00]  ¿Y aquí cómo lo matan? ¿Por qué eso ha cambiado de un lugar?
[0:00:56.00]-[0:01:06.00]  Aquí siempre se ha matado dándole una pinchada, una apuñalada, como quiera llamarle, pinchándole en el guajico.
[0:01:06.00]-[0:01:09.00]  ¿Y cómo le pinchaban? ¿Cuando estaba el cerdo lo ponían?
[0:01:09.00]-[0:01:19.00]  No, encima de una mesa, encima de una mesa, con la cabeza colgando, con un gancho, sin gancho, de los discos, y le pinchaban.
[0:01:19.00]-[0:01:30.00]  Y la sangre va a un recipiente, se mueve, se mueve, y aquí, pues, para que no se cuaje la sangre, porque no se cuaje.
[0:01:30.00]-[0:01:39.00]  La magadeja, pues, trae la magadeja y venga a moverlo. Siempre ha habido las mujeres, porque les han hecho eso, ¿no?
[0:01:39.00]-[0:01:41.00]  Bueno, pero sí.
[0:01:41.00]-[0:01:43.00]  ¿Y el marranocillarían?
[0:01:43.00]-[0:01:46.00]  Imagínate tú.
[0:01:46.00]-[0:01:47.00]  ¿Tenían que sujetarlo?
[0:01:47.00]-[0:01:55.00]  Sí, tenemos que hacer unas cuerdas, unas cuerdas, atrás de la mano derecha, y atrás de los bancos de la mesa,
[0:01:55.00]-[0:02:01.00]  y luego, pues, cogele la otra mano por encima, y entonces, sí, y la gente por las patas, cogelo y...
[0:02:01.00]-[0:02:03.00]  Ah, se lo hacían entre varios.
[0:02:03.00]-[0:02:07.00]  Sí, sí, tres o cuatro, o tres o cuatro, sí, sí, se mataba ahí.
[0:02:07.00]-[0:02:10.00]  ¿Y quién lo mataba?
[0:02:10.00]-[0:02:17.00]  Una persona que se atrevía y se ha atrevido, matarifes, porque matarifes, porque aquí tampoco...
[0:02:17.00]-[0:02:24.00]  No había, de aquí para atrás no había. Ahora sí, hay unos matarifes, chavales y jóvenes, que sí, cada semana,
[0:02:24.00]-[0:02:32.00]  ahora matamos, la maga, ocho, diez más de cerdo, pero los matan ya, hoy, como están las casas, como están,
[0:02:32.00]-[0:02:38.00]  los tienen que llevar al matadero, los tienen que llevar al matadero. Pero antes aquí, en las casas, pues sí.
[0:02:38.00]-[0:02:39.00]  ¿Cada uno mataba?
[0:02:39.00]-[0:02:44.00]  Cada uno mataba, dos, tres, dos, tres, cuatro, cinco, las personas que se juntaban en la casa,
[0:02:44.00]-[0:02:48.00]  o la gente que se juntaba en la casa, y...
[0:02:48.00]-[0:02:51.00]  ¿Y cómo los engordan aquí a los mataderos?
[0:02:51.00]-[0:02:58.00]  Allí, con harina se va, se va a molir, por eso mi primo este, era tener el molino,
[0:02:58.00]-[0:03:04.00]  llevamos a cebar y lo molían, y luego, pues, la harina, pues, con agua y harina, pues, molíamos.
[0:03:04.00]-[0:03:10.00]  Luego enfocaje, pues, lo mismo que remolase, lo mismo que alfar, alfar que se picaban,
[0:03:10.00]-[0:03:15.00]  y revuelto con la harina esa, pues, tenía una pellaje, decían pellaje, pues.
[0:03:15.00]-[0:03:17.00]  Ah, porque antes pienso, no...
[0:03:17.00]-[0:03:22.00]  No, entonces antes no había pienso, antes no había pienso, antes de esto no había pienso.
[0:03:22.00]-[0:03:24.00]  ¿Y sabía mejor la carne antes?
[0:03:24.00]-[0:03:31.00]  Sí, bastante mejor que hoy. Hoy he hecho un truco de carne a la sartén, o a una fritura, como quieran llamarle,
[0:03:31.00]-[0:03:37.00]  y en vez de a sartear, antes no, antes se llamaba todo de mimose.
[0:03:39.00]-[0:03:42.00]  ¿Y luego dónde guardan a los matanos?
[0:03:42.00]-[0:03:49.00]  Pues, luego, aquí hay chorizo, en orza, en orza y la chorizo, la morcilla, el lomo, la costilla,
[0:03:49.00]-[0:03:54.00]  entonces, pues, le guardaban, y cuando hay otra vez que se echaba pimentón,
[0:03:54.00]-[0:04:02.00]  y se colgaba del tenso, y luego cuando querían, pues, se guardaba el trozo y lo freía, o lo asaba, o lo que hubiera.
[0:04:02.00]-[0:04:05.00]  ¿Y aquí le ponían fuego a los chorizos, a los jamones?
[0:04:05.00]-[0:04:06.00]  ¿Fuego?
[0:04:06.00]-[0:04:07.00]  ¿Humo?
[0:04:07.00]-[0:04:12.00]  No, no, no, aquí no, aquí nunca se ha hecho eso, y se ha ahumado, pero aquí no,
[0:04:12.00]-[0:04:17.00]  aquí, en este pueblo, no, no se ha hecho eso.
[0:04:17.00]-[0:04:19.00]  ¿Y las morcillas entonces las hacían las mujeres?
[0:04:19.00]-[0:04:24.00]  Sí, las mujeres, bueno, y los hombres, las mujeres amasaban lo que es la sangre,
[0:04:24.00]-[0:04:29.00]  lo que es la especia, que echaban la especia, mataban las uvas, que si, comían, o que si,
[0:04:29.00]-[0:04:35.00]  muchas cosas, porque había muchas cosas, pero luego las mujeres, y las cebollas,
[0:04:35.00]-[0:04:42.00]  cocía también, pero pues, ahí vuelta, y sí, se hacían las morcillas, y salían riquísimas.
[0:04:42.00]-[0:04:44.00]  Antes estaban más buenas que las que se hagan acá, que no voy a decir.
[0:04:44.00]-[0:04:45.00]  Estaban más buenas.
[0:04:45.00]-[0:04:47.00]  Sí, eran vivas, sí.
[0:04:47.00]-[0:04:49.00]  ¿Porque comían más natural?
[0:04:49.00]-[0:04:54.00]  Sí, eran todo natural, entonces, era todo natural, aquí era todo natural.
[0:04:54.00]-[0:05:00.00]  Apartemos, bueno, pienso aquí está haciendo bien, nadie conocía el pienso, aquí es lo que criábamos nosotros,
[0:05:00.00]-[0:05:06.00]  creamos nosotros, y el campo, la casa, y la casa, los animales, y todo eso.
[0:05:06.00]-[0:05:11.00]  Si no, de una manera de otra, lo hacíamos todo en aquí del pueblo.
[0:05:11.00]-[0:05:15.00]  ¿Y luego cuando tenían la masa de la morcilla, dónde lo metían, cómo lo metían?
