[0:00:00.00]-[0:00:01.20]  ¿La matanza?
[0:00:01.20]-[0:00:03.20]  Hablo yo.
[0:00:03.20]-[0:00:09.40]  Bueno, pues la matanza, pues se hace en la matanza, se matan los cerdos, se queman,
[0:00:09.40]-[0:00:15.20]  se queman con un soplete así las cerdas, le llamamos las cerdas, ¿sabes?
[0:00:15.20]-[0:00:19.40]  Y bueno, después se pelan, se lavan bien con una manguera
[0:00:19.40]-[0:00:27.30]  y después, bueno, ya se abren, se saca todo, la tripa, el hígado, todo,
[0:00:27.30]-[0:00:34.40]  se deja un día o dos así para que escurran, para así cordados.
[0:00:34.40]-[0:00:40.70]  Y nada, después se parten y se hacen todos los chorizos, se pica para los chorizos,
[0:00:40.70]-[0:00:47.00]  se hacen los lomos y después se tiene dos días en eso, en un adobo,
[0:00:47.00]-[0:00:55.80]  se adoba con pimentón, sal, orégano y se tiene así, bueno, unos barrenos así grandes
[0:00:55.80]-[0:01:02.50]  y después ya se hacen los chorizos y se hacen las tripas de lomo y se ponen a secar al humo
[0:01:02.50]-[0:01:06.00]  y hay que hacerles mucha lumbre y eso.
[0:01:06.00]-[0:01:06.80]  ¿Y qué más?
[0:01:06.80]-[0:01:07.80]  ¿Y los jamones luego?
[0:01:07.80]-[0:01:17.80]  Ah, los jamones se ponen en sal, bueno, así todo el espinazo, los tocinos y todo,
[0:01:17.80]-[0:01:21.20]  los lacones, ya lo dije, las uñas, todo se pone en sal.
[0:01:21.20]-[0:01:28.60]  Y se tienen así 20 días los jamones y después se ponen al humo y se tienen pues dos o tres meses al humo
[0:01:28.60]-[0:01:31.80]  y haciéndoles lumbre y al aire.
[0:01:31.80]-[0:01:38.20]  Después os los enseño, los jamones, cómo son, si nos queréis retratar ahí os los enseño
[0:01:38.20]-[0:01:40.90]  para que veáis cómo son los jamones aquí del pueblo.
[0:01:40.90]-[0:01:44.40]  ¿Y les traéis algo para que no le vayan a las moscas?
[0:01:44.40]-[0:01:51.60]  Pues yo antes había así una cosa así, bueno, unos polvos que se le echaba
[0:01:51.60]-[0:01:56.60]  pero yo ahora les echo calviva para que no vaya la mosca, ¿sabes?
[0:01:56.60]-[0:02:00.90]  Así vagando, están curando para que no le pique la mosca.
[0:02:00.90]-[0:02:10.10]  Y hay quien pues le echa esto vinagre y pimentón, pero yo lo más seguro es echar un poco de eso de calviva.
[0:02:10.10]-[0:02:11.80]  Y eso, y nada más.
[0:02:11.80]-[0:02:15.80]  ¿Y no se asusta nada de la matanza, de poder matar al cerdo ni nada?
[0:02:15.80]-[0:02:17.80]  ¿Qué ni los cerdos si se asustan?
[0:02:17.80]-[0:02:19.30]  No, que si se asusten vosotros.
[0:02:19.30]-[0:02:25.60]  No, yo no. Bueno, los sustos a veces te pasan porque una vez, ¿quieres que te lo cuente?
[0:02:25.60]-[0:02:32.00]  Pues una vez estaba el abuelo y estaba tu padre y había, no sé, tres o cuatro
[0:02:32.00]-[0:02:38.60]  y entonces se me fueron a pinchar el cerdo, pues al señor se le clavó el gancho donde lo cogieron,
[0:02:38.60]-[0:02:42.80]  se le clavó en una mano, tuvo que ir a la residencia para recitar
[0:02:42.80]-[0:02:47.00]  y después se les escapó, se les escapó el cerdo.
[0:02:47.00]-[0:02:51.00]  Estaba tu padre.
[0:02:51.00]-[0:02:52.20]  ¿Y el vino cómo lo hacés?
[0:02:52.20]-[0:02:58.40]  Bueno, pues el vino, como te diría yo, cuando se trae de la viña y todo,
[0:02:58.40]-[0:03:01.20]  bueno, cuando se trae la uva que está madura,
[0:03:01.20]-[0:03:04.80]  pues antes se pisaba con, o sea, con los pies
[0:03:04.80]-[0:03:10.60]  y después de que lo pisábamos, lo poníamos en una prensa que hay que tiene,
[0:03:10.60]-[0:03:13.60]  o sea, se le da así manivela a la prensa.
[0:03:13.60]-[0:03:19.20]  Y entonces ya salía el vino y se echaba a las cubas, salía líquido y se echaba a las cubas
[0:03:19.20]-[0:03:25.20]  y después toda la maleza esa, bueno, la uva, la hacía prensada,
[0:03:25.20]-[0:03:33.20]  después se pone en sacos y luego se hace el orujo, el aguardiente.
[0:03:33.20]-[0:03:37.20]  Y espérate, ¿qué más?
