[0:00:00.00]-[0:00:02.00]  ¿Se quiere granada o...?
[0:00:03.00]-[0:00:04.00]  O algo así.
[0:00:05.50]-[0:00:06.50]  Vale.
[0:00:07.00]-[0:00:08.50]  O algo así más o menos.
[0:00:09.00]-[0:00:11.50]  Yo tengo un sobrino también que es profesor Tanguerba.
[0:00:11.50]-[0:00:13.00]  Va a venir esta tarde.
[0:00:13.00]-[0:00:15.50]  Que está en una comilona hoy en el campo.
[0:00:18.00]-[0:00:20.50]  ¿Y qué pasa? ¿Que ahora hay muchas comilonas?
[0:00:20.50]-[0:00:21.50]  Ahora hay muchas comilonas.
[0:00:21.50]-[0:00:24.00]  Lo que pasa es que es un primo hermano mío
[0:00:24.00]-[0:00:25.50]  que estuvo en el hospital.
[0:00:25.50]-[0:00:26.50]  ¿Puedo hablar, no?
[0:00:26.50]-[0:00:27.50]  Sí, sí.
[0:00:27.50]-[0:00:31.50]  Estuvo en el hospital cuatro meses en cuidado intensivo
[0:00:31.50]-[0:00:35.00]  y entonces estuvo entre la vida y la muerte.
[0:00:35.50]-[0:00:38.50]  Y él siempre había dicho que si salía vivo del hospital
[0:00:38.50]-[0:00:42.50]  pues quería reunir todas las familias para hacer una comilona.
[0:00:42.50]-[0:00:46.00]  Y los padres de esta niña son hermanos, el padre es hermano mío
[0:00:46.00]-[0:00:49.00]  y la mujer es mi cuñado y han ido también a la comilona
[0:00:49.00]-[0:00:52.00]  y mi sobrino porque mi hermana tiene a mi madre
[0:00:52.00]-[0:00:53.50]  y por eso no ha venido.
[0:00:53.50]-[0:00:57.00]  Y yo no, yo no porque como estoy trabajando la semana entera
[0:00:57.00]-[0:01:00.00]  pues no se me apeteció venir al campo
[0:01:00.00]-[0:01:05.00]  porque después de estar trabajando toda la semana que estamos sobrados.
[0:01:07.00]-[0:01:13.00]  Es que no se veía, porque estaba puesta la tapa.
[0:01:13.00]-[0:01:14.00]  La tapa.
[0:01:23.00]-[0:01:24.50]  Bueno pues empezamos ya, ¿no?
[0:01:24.50]-[0:01:25.50]  Sí, sí.
[0:01:25.50]-[0:01:29.00]  Bueno, nada, queríamos que nos contaran un poco sobre la matanza.
[0:01:29.00]-[0:01:30.00]  ¿Ustedes hacían matanza?
[0:01:30.00]-[0:01:34.00]  Claro, la hacía y yo todos los años voy a hacer de la misilla y todo.
[0:01:34.00]-[0:01:36.00]  Ah, sí, ¿cómo va la matanza?
[0:01:36.00]-[0:01:37.50]  Y mi marido es el que mata los cerdos.
[0:01:37.50]-[0:01:41.50]  Mira dónde está la maletita con los cuchillos grandes para matar.
[0:01:41.50]-[0:01:43.50]  ¿Dónde está el canasto de las nalas?
[0:01:43.50]-[0:01:47.50]  Ahí tenemos los cuchillos de matar los cerdos, los de los cerdos.
[0:01:48.50]-[0:01:51.00]  Pues mi marido es el que mata el cochino,
[0:01:51.00]-[0:01:53.00]  después lo arregla por dentro
[0:01:53.00]-[0:01:57.00]  y ya cuando empieza a quitarle, yo estoy ya con los barreños,
[0:01:57.00]-[0:02:01.00]  siempre tenemos lebrillos de barro que es medio catástrico.
[0:02:01.00]-[0:02:05.00]  Y vamos quitando la manteca, las costillas, las faduras,
[0:02:05.00]-[0:02:08.00]  yo tengo agua, lo voy lavando y lo voy corrando.
[0:02:08.00]-[0:02:12.00]  Y después ya lo último es el vientre, las tripas.
[0:02:12.00]-[0:02:16.00]  Y yo las desbarato y una nieta que tengo muy simpática,
[0:02:16.00]-[0:02:18.00]  con 10 años, que siempre está aquí,
[0:02:18.00]-[0:02:21.00]  ahí tiene todas sus cosas para que se ha ido a estudiar su casa hoy.
[0:02:21.00]-[0:02:25.00]  Es la que me ayuda a echar el agua para que yo limpie las tripas.
[0:02:25.00]-[0:02:29.00]  Después mi marido pica la carne para los chorizos,
[0:02:29.00]-[0:02:31.00]  le arregla los jamones,
[0:02:31.00]-[0:02:34.00]  le hace la letra esta, B de la V,
[0:02:34.00]-[0:02:36.00]  por detrás en la pieza.
[0:02:36.00]-[0:02:37.00]  ¿Y eso qué quiere decir aún?
[0:02:37.00]-[0:02:41.00]  Una V, que le hace, porque lo dieron a fecaderos.
[0:02:41.00]-[0:02:44.00]  Y allí le ponen un sello con el nombre de la persona.
[0:02:46.00]-[0:02:49.00]  Y nada, y ya arreglamos, picamos toda la carne,
[0:02:49.00]-[0:02:53.00]  picamos la manteca, los chicharrones para hacer las tortas de chicharrones,
[0:02:53.00]-[0:02:57.00]  y la manteca para hacer las tortitas, estas pequeñitas que hacemos nosotros.
[0:02:57.00]-[0:03:01.00]  Y el chorizo se alinea con su preparo.
[0:03:01.00]-[0:03:03.00]  Y al día siguiente lo hacemos.
[0:03:03.00]-[0:03:07.00]  Yo esa tarde si puedo cojo las tripas y las tengo que lavar,
[0:03:07.00]-[0:03:12.00]  por lo menos después de limpiarlas bien, les decimos batirlas.
[0:03:12.00]-[0:03:14.00]  Como si fuera a bater un huevo o algo, ¿no?
[0:03:14.00]-[0:03:17.00]  Pero con sal y vinagre y limón.
[0:03:17.00]-[0:03:18.00]  Tres veces.
[0:03:18.00]-[0:03:22.00]  Y el último le echo harina, para que salga toda la babasa que tiene eso.
[0:03:22.00]-[0:03:28.00]  Y ya las dejo preparadas en una olla con naranja picada, un poquito de sal.
[0:03:28.00]-[0:03:34.00]  Y esa tarde las cojo y las amarro con un corde que hay de los chorizos,
[0:03:34.00]-[0:03:37.00]  que lo conocerán, el corde blanco.
[0:03:37.00]-[0:03:42.00]  Voy amarrándolas, las amarro y las muñito y las voy cortando todas a la misma medida,
[0:03:42.00]-[0:03:44.00]  ya para tenerlas adelantadas para el día siguiente.
[0:03:44.00]-[0:03:48.00]  Y al día siguiente, antes de empezar a hacerlas, probamos los chorizos,
[0:03:48.00]-[0:03:51.00]  lavamos otra vez las tripas y ya con agua caliente,
[0:03:51.00]-[0:03:54.00]  las entro en agua caliente y tengo una máquina,
[0:03:54.00]-[0:03:58.00]  que la máquina precisamente la tiene mi primo este que ha hecho la comilona,
[0:03:58.00]-[0:04:02.00]  porque es viudo y la hija está en Francia, la hija tiene cuatro idiomas.
[0:04:03.00]-[0:04:07.00]  Y entonces él se ha venido, ahora en mayo se marcha a revisión.
[0:04:07.00]-[0:04:10.00]  Y el otro día se me presenta un poco menos que llorando,
[0:04:10.00]-[0:04:13.00]  porque como tiene ya 70 años y ha estado con esta familia,
[0:04:13.00]-[0:04:17.00]  y la mujer murió de cáncer y entonces el pobre posta es fatal.
