[0:00:00.00]-[0:00:02.00]  Hola, ¿cómo estás?
[0:00:02.00]-[0:00:04.00]  ¿Cómo te llamas?
[0:00:04.00]-[0:00:06.00]  Yo soy José
[0:00:06.00]-[0:00:08.00]  ¿Cómo te llamas?
[0:00:08.00]-[0:00:10.00]  ¿Por qué no entras a la izquierda?
[0:00:10.00]-[0:00:12.00]  Aquí a la izquierda
[0:00:12.00]-[0:00:14.00]  Hola
[0:00:14.00]-[0:00:16.00]  No se levanten, no se levanten
[0:00:16.00]-[0:00:18.00]  Uy, qué jóvenes
[0:00:18.00]-[0:00:20.00]  ¿Cómo estás?
[0:00:20.00]-[0:00:22.00]  ¿Cómo estás niña?
[0:00:22.00]-[0:00:24.00]  Como su nieta
[0:00:24.00]-[0:00:26.00]  Hola
[0:00:26.00]-[0:00:28.00]  Pues nada, afetalos por ahí
[0:00:28.00]-[0:00:30.00]  ¿Cómo estás, chiquetería?
[0:00:30.00]-[0:00:32.00]  Muy bien
[0:00:32.00]-[0:00:34.00]  ¿Qué se llama su nombre?
[0:00:34.00]-[0:00:36.00]  ¿Os dejo con ella?
[0:00:36.00]-[0:00:38.00]  Gracias
[0:00:38.00]-[0:00:40.00]  ¿Quiere una amiga que sabe romance y demás?
[0:00:40.00]-[0:00:42.00]  Así
[0:00:42.00]-[0:00:44.00]  Tráele así de un silloncillo de los de ahí
[0:00:44.00]-[0:00:46.00]  Que está más cómoda
[0:00:46.00]-[0:00:48.00]  No se preocupe, de verdad que con esto estamos muy bien
[0:00:48.00]-[0:00:50.00]  No se preocupe
[0:00:52.00]-[0:00:54.00]  ¿Ahora tenéis calor?
[0:00:54.00]-[0:00:56.00]  No, no está bien
[0:00:56.00]-[0:00:58.00]  Gracias, gracias
[0:00:58.00]-[0:01:00.00]  Está muy bien, así de verdad
[0:01:00.00]-[0:01:02.00]  No sé que se quiera sentar usted
[0:01:02.00]-[0:01:04.00]  No, yo os dejo con ella
[0:01:04.00]-[0:01:06.00]  Mira que yo he puesto el brazo
[0:01:06.00]-[0:01:08.00]  Lo que ilusión está en la la
[0:01:08.00]-[0:01:10.00]  Pero yo tenía un poco de fresco
[0:01:10.00]-[0:01:12.00]  Sí
[0:01:12.00]-[0:01:14.00]  Hoy ha llovido
[0:01:14.00]-[0:01:16.00]  ¿Quién es la capitana?
[0:01:16.00]-[0:01:18.00]  No, en general
[0:01:20.00]-[0:01:22.00]  ¿Qué le iba a decir?
[0:01:22.00]-[0:01:24.00]  ¿Le importa que le grabemos?
[0:01:24.00]-[0:01:26.00]  Porque tomamos nota pero no nos da tiempo
[0:01:26.00]-[0:01:28.00]  ¿Cómo? ¿No digo mi nombre?
[0:01:28.00]-[0:01:30.00]  ¿O que diga un disparate?
[0:01:30.00]-[0:01:32.00]  Ningún disparate va a decir
[0:01:32.00]-[0:01:34.00]  Usted no sabe lo que es
[0:01:34.00]-[0:01:36.00]  Si lo colocamos aquí
[0:01:36.00]-[0:01:38.00]  A ver si lo grabamos aquí en la tele
[0:01:38.00]-[0:01:40.00]  Parece de la tele
[0:01:42.00]-[0:01:44.00]  Así, ya está
[0:01:44.00]-[0:01:46.00]  Pero a mí me dijeron que iba a venir más que una
[0:01:46.00]-[0:01:48.00]  A matarme y va a venir 4
[0:01:48.00]-[0:01:50.00]  No, hemos venido 4
