[0:00:00.00]-[0:00:02.00]  ¿Dónde estudiáis vosotras?
[0:00:02.00]-[0:00:03.00]  En Madrid.
[0:00:03.00]-[0:00:04.00]  ¿En Madrid?
[0:00:04.00]-[0:00:06.00]  Pero no sois de Madrid, sois de otro pueblo por aquí o cómo?
[0:00:06.00]-[0:00:07.00]  No.
[0:00:07.00]-[0:00:09.00]  Porque la avenida de Madrid aquí tan lejos, ¿no?
[0:00:10.00]-[0:00:13.00]  Pero como estamos viendo las costumbres, pues tenemos que desplazarnos.
[0:00:13.00]-[0:00:15.00]  Esto en Madrid es un poco difícil.
[0:00:15.00]-[0:00:17.00]  Si os sirve de algo, hija, Dios lo quiere.
[0:00:17.00]-[0:00:20.00]  Así que bueno, vamos a empezar así.
[0:00:20.00]-[0:00:23.00]  Empezamos con la matanza, a ver qué nos puede contar usted.
[0:00:23.00]-[0:00:26.00]  Cómo se hace la matanza, bueno, cómo la hacían antiguamente sobre todo.
[0:00:26.00]-[0:00:28.00]  Antiguamente ahora igual, la hacemos igual nosotros.
[0:00:28.00]-[0:00:31.00]  Hombre, ahora nosotros tenemos una máquina eléctrica,
[0:00:31.00]-[0:00:35.00]  que picamos la carne con la máquina eléctrica, eso sí, pero otra cosa no.
[0:00:35.00]-[0:00:39.00]  La máquina de llenar que es donde llenamos los chorizos, la misma de siempre.
[0:00:39.00]-[0:00:42.00]  De cuando yo me criaba, era chiquitita yo, así que imagínate.
[0:00:42.00]-[0:00:43.00]  ¿En su casa siempre la he hecho para todos?
[0:00:43.00]-[0:00:45.00]  Sí, siempre la hemos hecho, sí.
[0:00:45.00]-[0:00:49.00]  Entonces bueno, cuéntennos un poco cómo se hacía, cuántas veces al año.
[0:00:49.00]-[0:00:53.00]  Pues por la genera, una vez al año es como se suele hacer.
[0:00:53.00]-[0:00:56.00]  Es de tradición siempre, se reúne la familia.
[0:00:56.00]-[0:01:00.00]  Y bueno, matamos el cochino, se le saca la sangre,
[0:01:00.00]-[0:01:04.00]  la sangre se le hace la mortilla lustre que le decimos.
[0:01:04.00]-[0:01:07.00]  Y bueno, si te me gustó, te voy a decir cómo se hace la mortilla y todo, ¿no?
[0:01:07.00]-[0:01:10.00]  Bueno, pues cuéntennoslo.
[0:01:10.00]-[0:01:13.00]  Entonces lo tenéis que sacar toda la tarde.
[0:01:13.00]-[0:01:19.00]  Bueno, pues se le sacaba la sangre y a esa sangre se le echaba la grasa del cerdo.
[0:01:19.00]-[0:01:25.00]  La grasa del cerdo y eso se picaba, se pica en la máquina, ¿no?
[0:01:25.00]-[0:01:27.00]  Y eso se le va mezclando a esa sangre.
[0:01:27.00]-[0:01:35.00]  Y ahí se le echa perejil, cebolla, ajo, un poco de pimentón,
[0:01:35.00]-[0:01:42.00]  un poco de orégano también.
[0:01:42.00]-[0:01:47.00]  No sé qué más he dicho, que luego se me olvida algo y a mí ya yo no quería que se me olvida.
[0:01:47.00]-[0:01:52.00]  La sal, pero yo no puedo decir la cantidad porque hay gente que lo hace a peso.
[0:01:52.00]-[0:01:55.00]  Yo lo hago como antiguamente, así abulto, ¿no?
[0:01:55.00]-[0:02:00.00]  Y no puedo decir si son tantos gramos para una cosa y tantos gramos para otra,
[0:02:00.00]-[0:02:03.00]  eso no lo puedo decir porque eso lo hacen la gente más joven ahora ya.
[0:02:03.00]-[0:02:06.00]  Pero nosotros las mayores tenemos la costumbre de...
[0:02:06.00]-[0:02:07.00]  pero el tacto, ¿no?
[0:02:07.00]-[0:02:13.00]  Este año me ha salido a mí un poquito sabrosa porque fui un poco de la mano.
[0:02:13.00]-[0:02:18.00]  Porque la sal era más bien gorda, era más gruesa y yo pensaba que había echado menos
[0:02:18.00]-[0:02:20.00]  y le estoy un poquito más de la cuenta.
[0:02:20.00]-[0:02:22.00]  Salía un poquito sabrosita.
[0:02:22.00]-[0:02:26.00]  Pero te quiero decir que no puedo decir una cantidad exacta, ¿sabes?
[0:02:26.00]-[0:02:28.00]  Porque yo lo hago así, según yo la carne que veo,
[0:02:28.00]-[0:02:31.00]  pues si le he hecho y ya está los tumores que tengo ya desde que nací,
[0:02:31.00]-[0:02:35.00]  que lo sigo haciendo a la tanta.
[0:02:35.00]-[0:02:40.00]  Y luego otra cosa, pues luego la carne, se pica también la carne más bien los desperdicios
[0:02:40.00]-[0:02:43.00]  porque se deja los jamones, las patas, ¿no?
[0:02:43.00]-[0:02:47.00]  Los jamones, las paletas del cerdo.
[0:02:47.00]-[0:02:51.00]  Si lo quieres pica todo, para chorizo y salchichón, lo picas.
[0:02:51.00]-[0:02:55.00]  Y si lo quieres dejar como jamones, se dejan los jamones, se salan
[0:02:55.00]-[0:02:57.00]  y una vez desalado, luego ya sabéis cómo está de bueno, ¿no?
[0:02:57.00]-[0:03:01.00]  Que te la habréis probado, haz una ley, ¿no?
[0:03:01.00]-[0:03:04.00]  Así que, miren, eso es lo que os puedo decir.
[0:03:04.00]-[0:03:09.00]  Otra cosa, los chorizos se hacen con pimentón, que lo hacemos de pimentón de la vera de Cáceres.
[0:03:09.00]-[0:03:16.00]  Y pimentón, ajo, pimiento rojo, que también me gusta molerlo un poquito y echarle.
[0:03:16.00]-[0:03:22.00]  Y, ¿qué más os digo? La sal, el ajo picadito, los molemos un poco el ajo, ¿no?
[0:03:22.00]-[0:03:27.00]  Molito, vaya, le echamos un poco, ya no puedo decir la cantidad, hija, porque yo no,
[0:03:27.00]-[0:03:30.00]  yo lo hago siempre así, aburto.
[0:03:30.00]-[0:03:33.00]  Y entonces, hace una masa de esa y se llenan los chorizos, digamos.
[0:03:33.00]-[0:03:36.00]  Porque claro, eso es la carne, es magrita, la carne es más magrita.
[0:03:36.00]-[0:03:40.00]  Porque claro, la mejor es la del jamón, pero si lo dejas como jamón,
[0:03:40.00]-[0:03:44.00]  para salar los jamón, pues claro, entonces no puede hacer ahí el chorizo, ¿no?
[0:03:44.00]-[0:03:47.00]  Así que, pero a ver, si hay otra cosa más, preguntármela.
[0:03:47.00]-[0:03:49.00]  ¿Y los animales los tienen?
[0:03:49.00]-[0:03:53.00]  Los animales antes se tenían en casa, vamos, la mayoría, la mayoría.
[0:03:53.00]-[0:03:58.00]  Cualquier casa tenía un guarrito en el corral, pero ahora mismo la nube de las casas son todas.
[0:03:58.00]-[0:04:03.00]  Ya no, eso era muy sucio y además no era higiénico, ¿no?
[0:04:03.00]-[0:04:07.00]  Lo que pasa es que antes no había otras cosas y bueno, pero nosotros siempre,
[0:04:07.00]-[0:04:11.00]  como hemos tenido finca, pues siempre en el campo, nosotros lo hemos tenido siempre en el campo.
[0:04:11.00]-[0:04:17.00]  Sí, y con bellotas, que son los buenos, los bellotas, los ibéricos negros de bellotas.
[0:04:17.00]-[0:04:22.00]  Eso tenemos, en una finca ahí tenemos mucha flamientina y de todo, sí.
