[0:00:00.00]-[0:00:03.00]  ¿Nos quiere hablar un poco de la matanza? ¿Usted ha hecho matanza?
[0:00:03.00]-[0:00:12.80]  Pues aquí la matanza antes se hacía mucha. Ahora ya se compran los embutidos y esas cosas se compran en Mallorca o donde sea y matanzas pues se hacen poco.
[0:00:12.80]-[0:00:19.60]  Por ejemplo estos pues hacen matanza porque son mucha familia y a lo mejor matan un cerdo o dos.
[0:00:19.60]-[0:00:26.80]  Era antes muy...cuando se mataban los cerdos antiguamente se reunían toda la familia y lo hacían todo eso.
[0:00:26.80]-[0:00:30.80]  Eso yo ya no lo he conocido. Eso ha sido de antes.
[0:00:30.80]-[0:00:33.80]  ¿Y cómo mataban al cerdo por ejemplo?
[0:00:33.80]-[0:00:40.80]  Ah pues le matan ahora de muchas maneras porque ahora he oído decir que les cuelga y les sangra.
[0:00:40.80]-[0:00:48.80]  Y entonces no, teníamos un banco, un banco de matar cerdos, se le echaban entre cuatro o cinco al banco y entonces le clavaban y ya está.
[0:00:48.80]-[0:00:58.80]  Y después se echamoscaba, le lavaban bien, le abrían y al día siguiente se estazaba.
[0:00:58.80]-[0:01:01.80]  ¿Y qué es estazar?
[0:01:01.80]-[0:01:10.80]  Estazar es abrirle al medio, cuando ya está helado se abre al medio y entonces ya se sacan las cintas por un lado, las costillas por un lado y después la carne para picarla.
[0:01:10.80]-[0:01:12.80]  ¿Y qué hacen?
[0:01:12.80]-[0:01:26.80]  Después se hacen los chorizos y las costillas y eso pues echaban en zuza que llamábamos, hacíamos sal con pimiento y agua y allí orégano y allí se metían dos o tres días, a los dos o tres días se colgaban.
[0:01:26.80]-[0:01:27.80]  ¿Las costillas?
[0:01:27.80]-[0:01:30.80]  Las costillas, la cinta y todo, ese lomo.
[0:01:30.80]-[0:01:33.80]  ¿Y el lomo cómo se curaba?
[0:01:33.80]-[0:01:39.80]  El lomo pues igual, le metían en el adobo ese y después le colgaban y ya está.
[0:01:39.80]-[0:01:40.80]  ¿Y los chorizos cómo se hacían?
[0:01:40.80]-[0:01:53.80]  Los chorizos pues lo pica con las máquinas de picar, se sobaba, a los dos o tres días se hacían los chorizos, también se colgaban y me metían en conserva unos y otros se dejaban duros para comer.
[0:01:53.80]-[0:01:55.80]  ¿Pero qué es lo que picaba?
[0:01:55.80]-[0:01:57.80]  La carne del cerdo.
[0:01:57.80]-[0:02:01.80]  ¿Y cómo era eso entonces? ¿Cómo se hacía? ¿A mano o con una máquina?
[0:02:01.80]-[0:02:02.80]  Con máquina.
[0:02:02.80]-[0:02:16.80]  Estazaba el cerdo, las costillas para un lomo te acabo de decir, y la carne pues se picaba, se echaba en barrenos, se sobaba con la sal y pimiento y el orégano y eso y se sobaba bien.
[0:02:16.80]-[0:02:24.80]  Y a los dos o tres días pues se hacían los chorizos, chorizos con la máquina, claro, una máquina que se da.
[0:02:24.80]-[0:02:26.80]  ¿Y qué hacían con esos chorizos después?
[0:02:26.80]-[0:02:36.80]  Esos chorizos pues se cuelgan para que se sequen y después muchos pues les dejan en seco y otros les metían en conserva, les freían cuando estaban bien.
[0:02:36.80]-[0:02:38.80]  ¿En conserva? ¿Metían en conserva?
[0:02:38.80]-[0:02:46.80]  En conserva, sí, en conserva se dice fritos y entonces echaban con aceite y manteca, ahora todo eso ya no se hace.
[0:02:46.80]-[0:02:49.80]  ¿Con aceite y manteca? ¿Y la manteca del cerdo, claro?
[0:02:49.80]-[0:02:50.80]  Claro.
[0:02:50.80]-[0:02:51.80]  A ver, pero ¿y cómo…?
[0:02:51.80]-[0:02:58.80]  La manteca del cerdo pues se deshacía, se hacían los chicharritos que llamábamos, los coscorones, se comían los…
[0:02:58.80]-[0:03:03.80]  ¿Cómo se deshacía la manteca? Cuéntenos, ¿cómo se quitaba la manteca del cerdo y cómo…?
[0:03:03.80]-[0:03:09.80]  La manteca del cerdo, cuando le escuartiza al cerdo saca la manteca y la pone en la sartén a deshacer,
[0:03:09.80]-[0:03:19.80]  la echan las ollas y de allí pues saca para hacer los chorizos y eso, para hacer, vamos, el refrito que le digo.
[0:03:19.80]-[0:03:27.80]  Ahora todo eso, es de la cosa de la matanza, ahora todo eso ya se ha perdido, porque ahora ya se mata un poco el cerdo.
[0:03:27.80]-[0:03:32.80]  ¿Y al cerdo, cómo crían al cerdo? Antes de la matanza ¿cuánto tiempo tiene que estar?
[0:03:32.80]-[0:03:37.80]  No sé, casi, ¿cuánto? Por lo menos seis o siete meses o el año.
[0:03:37.80]-[0:03:43.80]  A ser bueno, antes que se criaban a cebada sola, pues menos de un año nada.
[0:03:43.80]-[0:03:44.80]  ¿Menos de un año?
[0:03:44.80]-[0:03:45.80]  Claro.
[0:03:45.80]-[0:03:47.80]  ¿Y cuántas veces al día comían? ¿Cómo le cuidaban?
[0:03:47.80]-[0:03:56.80]  Ah, bueno, pues se molía la cebada, se echaba la comida, se las hacía con el agua y se echaba en un pilón.
[0:03:56.80]-[0:03:57.80]  Claro.
[0:03:57.80]-[0:03:58.80]  Sí, sí.
[0:03:58.80]-[0:04:00.80]  Ah, todo eso ya está olvidado.
[0:04:00.80]-[0:04:05.80]  ¿Y esos cerdos, criaban los cerdos con una cerda en casa o compraban esos cerdos?
[0:04:05.80]-[0:04:10.80]  No, había quien tenía cerdas en casa y después vendía los cerdos.
[0:04:10.80]-[0:04:21.80]  Y otros, pues, cogía, cuando venían, antes venían, lo llamábamos los marraneros, venían los marraneros con un camión y compraba un cerdo, sí o dos o lo que necesitara.
[0:04:21.80]-[0:04:30.80]  Después les criaba y cuando llegaba el tiempo de la matanza de noviembre hasta marzo, pues se mataban los cerdos.
[0:04:30.80]-[0:04:37.80]  ¿Y entonces venían y compraban los cerdos de un camión? ¿No tenían los cerdos en casa?
[0:04:37.80]-[0:04:43.80]  No, el que tuviera cerda sí, y el que no tenía cerda, pues tenía que comprarles.
[0:04:43.80]-[0:04:46.80]  ¿Y otro tipo de animales tenían en casa? ¿Gallinas, conejos?
[0:04:46.80]-[0:04:54.80]  Bueno, entonces, entonces, antiguamente se tenían mulas, caballos, de todo, vacas, de todo.
[0:04:54.80]-[0:04:56.80]  Sí, ¿tenía vacas usted?
[0:04:56.80]-[0:04:57.80]  No, yo no.
[0:04:57.80]-[0:04:59.80]  Ah, bueno, ¿y la gente que tenía vacas para qué…?
[0:04:59.80]-[0:05:09.80]  Las vacas, pues había vacas para trabajar el terreno, ahora las había de leche, como ahora las verán en la tele que es igual,
[0:05:09.80]-[0:05:13.80]  y las había de trabajo, que entonces se trabajaban mucho con vacas.
[0:05:13.80]-[0:05:18.80]  Después ya vino las mulas y eso, claro.
[0:05:18.80]-[0:05:21.80]  ¿Y entonces las vacas de leche, la leche que salía de…?
[0:05:21.80]-[0:05:26.80]  La leche pues la vendían, se vendía en el pueblo, porque no había muchas vacas entonces,
[0:05:26.80]-[0:05:36.80]  pero a lo mejor cada uno tenía una vaca para su arreglo, y después lo que no, pues íbamos una vecina o la que necesitara a por ella.
[0:05:39.80]-[0:05:44.80]  Le iba a preguntar, ¿y el tocino, qué pasaba con el tocino en la matanza? ¿Qué hacían con el tocino?
[0:05:44.80]-[0:05:46.80]  No, se comía todo, en tocino se comía.
[0:05:46.80]-[0:05:48.80]  ¿Cómo se preparaba, cómo sacaban el tocino?
[0:05:48.80]-[0:05:50.80]  En tocino se echaba sal.
[0:05:50.80]-[0:05:51.80]  ¿Sí, cómo, cómo…?
[0:05:51.80]-[0:06:00.80]  Y después cuando había quien tenía en cajones, en sal siempre, y otros lo sacaban, lo colgaban en la casa,
[0:06:00.80]-[0:06:05.80]  y después partían para echar a cocer y para esas cosas.
[0:06:11.80]-[0:06:16.80]  ¿Y las vacas, cómo era el cuidado de las vacas? ¿Nos puede contar un poco cómo cuidaban?
[0:06:16.80]-[0:06:22.80]  Las vacas, pues nada, tenían las cuadras bien arregladas, bien limpias, y además,
[0:06:22.80]-[0:06:27.80]  y las echaban alfalfa y hierba, y un poco de cebada también.
[0:06:29.80]-[0:06:35.80]  ¿Y había que prepararles una cama especial? ¿Una cama? ¿Necesitaban una cama especial?
[0:06:35.80]-[0:06:42.80]  Claro, qué más da, qué más da que las ovejas ahora. Las ovejas tienen que echar las camas también ahora.
[0:06:42.80]-[0:06:43.80]  ¿Sí?
[0:06:43.80]-[0:06:48.80]  Y ayudarlas a las vacas, porque si no, no es como después, por ejemplo, las vaquerías ahora.
[0:06:48.80]-[0:06:51.80]  Las vaquerías ahora las tienen de cemento, ¿no?
[0:06:51.80]-[0:06:58.80]  Y tienen ya hecho un reguero para que el meao y todo eso marche, pero entonces era pues a base de paja,
[0:06:58.80]-[0:07:03.80]  y se podía la paja y sacaban el abono, que era del abono, lo que se hacía.
[0:07:03.80]-[0:07:06.80]  ¿Y cuántas veces se daba de comer a las vacas?
[0:07:06.80]-[0:07:14.80]  Ay, yo eso no, pues no los ofrece, y si las ponen al verde, pues a lo mejor cuando las recogen, pues las echan un pienso o dos.
[0:07:14.80]-[0:07:19.80]  La que tiene leche, tienen que darla por la mañana, por lo menos un pienso, y por la tarde otro.
[0:07:19.80]-[0:07:25.80]  Y después si las sueltan a la hierba o a eso, pues ya no, claro.
[0:07:28.80]-[0:07:35.80]  Vamos a ver, y aquí entonces dice que la leche, ¿y las ovejas? ¿Han habido ovejas aquí?
[0:07:35.80]-[0:07:40.80]  Sí, también, mire, aquí es de ganadero, esta la dirá porque tiene ovejas en la.
[0:07:40.80]-[0:07:45.80]  De eso ya es su padre, eso es. Así que ya hay otros dos pastores también.
[0:07:45.80]-[0:07:52.80]  ¿Tienen ovejas? ¿Y para qué tienen ovejas? O sea, si son muchas, si usan la lana, la leche.
[0:07:52.80]-[0:07:56.80]  Bueno, si tienen bastante, la lana la venden y les pagan poco.
[0:07:56.80]-[0:07:57.80]  ¿Sí, poco?
[0:07:57.80]-[0:07:58.80]  Poco, ¿verdad?
[0:07:58.80]-[0:08:05.80]  No, no la quieren. En este momento tienes que regalarla porque no la quieren los pellejeros ahora.
[0:08:05.80]-[0:08:12.80]  Y, principalmente, mi padre ha regalado la mitad y la otra mitad, pues nada, para quemar porque no la quieren.
[0:08:12.80]-[0:08:13.80]  No la quieren.
[0:08:13.80]-[0:08:14.80]  No, no.
[0:08:14.80]-[0:08:18.80]  ¿Y cuándo se quita la lana? ¿Cómo es eso de quitar la lana?
[0:08:18.80]-[0:08:19.80]  La lana, pues...
[0:08:19.80]-[0:08:20.80]  ¿Cuándo se esquila?
[0:08:20.80]-[0:08:21.80]  Es ahora.
[0:08:21.80]-[0:08:24.80]  Sí, ahora, en esta época. Vamos, ahora ya pueden empezar.
[0:08:24.80]-[0:08:26.80]  Ahora, para junio, para mayo, junio.
[0:08:26.80]-[0:08:28.80]  En mayo se suele empezar a esquilar.
[0:08:28.80]-[0:08:29.80]  Las esquilan.
[0:08:29.80]-[0:08:31.80]  ¿Y cómo es eso?
[0:08:31.80]-[0:08:41.80]  Una máquina, con una máquina que tienen, las esquilan y va el billón entero, y los guardan y si se le compran bien y si no, pues tienen que...
[0:08:41.80]-[0:08:49.80]  Ahora es con una máquina eléctrica, pero antes eran con unas tijeras que tenían un muelle y eran de metal. Antes costaba más.
[0:08:49.80]-[0:08:56.80]  ¿Y para qué tienen ahora las ovejas? ¿Qué provecho sacan de las ovejas ahora?
[0:08:56.80]-[0:09:01.80]  Pues nuevamente tienen la leche, que ahora está bastante bien pagada.
[0:09:01.80]-[0:09:04.80]  ¿La leche de oveja es la que hace tu padre?
[0:09:04.80]-[0:09:12.80]  No, mi padre la vende. Viene un lechero por aquí, que nuevamente ahora nosotros, el burgo de Arias, viene aquí, nos lo coge con una manquela,
[0:09:12.80]-[0:09:17.80]  tenemos un frigorífico eléctrico para que la leche se conserve bien y no se pueda poner ácida.
[0:09:17.80]-[0:09:18.80]  Sí.
[0:09:18.80]-[0:09:26.80]  Bueno, también sacamos provecho de los lechazos, aunque sea menos que la leche, la más producción es la leche, pero bueno, aparte de la leche también están los lechazos,
[0:09:26.80]-[0:09:33.80]  que también, bueno, pues sacas un dinero de ellos, que suelen traer bastantes. Vamos, ahora ordeñamos pues dos tientas.
[0:09:33.80]-[0:09:34.80]  ¿A diario?
[0:09:34.80]-[0:09:35.80]  ¿Eh?
[0:09:35.80]-[0:09:36.80]  ¿A diario?
[0:09:36.80]-[0:09:38.80]  Sí, a diario, por la mañana y por la noche.
[0:09:38.80]-[0:09:40.80]  ¿Y cómo ordeñáis las ovejas?
[0:09:40.80]-[0:09:50.80]  Bueno, mi padre lo ordeña a mano, simplemente a mano, mis hermanos y mi padre lo ordeñan a mano, pero también hay ordeñadoras para las ovejas.
[0:09:53.80]-[0:09:57.80]  Y luego, ¿dónde metéis toda esa leche? ¿En un tanque?
[0:09:57.80]-[0:10:06.80]  Sí, en un tanque, que nada, es un tanque redondo que en el medio tiene unas astas para que la leche vaya cogiendo frío,
[0:10:06.80]-[0:10:16.80]  que se ponga fría y no se pueda poner ácida, que si no, antes había unas garrafas, pero se ponía fácilmente ácida y cogían gérmenes
[0:10:16.80]-[0:10:23.80]  y entonces ya no te la querían tan bien como ahora, porque ya está muchísimo más conservada y fría y todo.
[0:10:23.80]-[0:10:29.80]  Yo creo que es muchísimo mejor que antes, que había unas garrafas, ya las dejabas en la puerta de la calle, que las diera el sol,
[0:10:29.80]-[0:10:33.80]  se podía poner ácida mucho más fácil que ahora.
[0:10:33.80]-[0:10:39.80]  Sí, sí, sí. ¿Y entonces venden la leche tu padre sobre todo y esa leche, para qué utilizan esa leche?
[0:10:39.80]-[0:10:50.80]  Pues mira, hacen quesos, que pueden ser de oveja, simplemente el queso de oveja y el queso de vaca envuelto, ¿no?
[0:10:50.80]-[0:10:54.80]  Supongo que lo venderán a mí en la lechería que teníamos antes.
[0:10:54.80]-[0:10:56.80]  ¿Pero qué venderán, el queso?
[0:10:56.80]-[0:11:07.80]  Claro, sí. Allí mismo la leche, por si no está bien colada, lo meten en unas coladeras donde se va colando la leche y después van echando el cuajo.
[0:11:07.80]-[0:11:14.80]  El cuajo si quieres puede ser de compra o de los corderos, que es cuando son pequeños.
[0:11:14.80]-[0:11:19.80]  ¿Que sale del estómago? ¿Cómo es eso? Cuéntanoslo. Pero tu padre también hace queso entonces.
[0:11:19.80]-[0:11:27.80]  Mi padre simplemente, bueno, pues hace queso para nosotros si queremos o alguna persona así mayor pues sí lo hace, pero si no, no.
[0:11:27.80]-[0:11:34.80]  Siempre manda la leche al lechero. Pero el cuajo tiene que ser de los lechazos, que estén todavía mamando,
[0:11:34.80]-[0:11:41.80]  para que el cuajo no esté lleno de pajas, porque si está lleno de pajas se puede estropear la leche.
[0:11:41.80]-[0:11:46.80]  Entonces tiene que ser que el cordero esté mamando, que sea pequeño, para que quede toda la leche en el estómago
[0:11:46.80]-[0:11:49.80]  y eso pueda cuajar en la leche y puedes hacer cuajada y el queso.
[0:11:49.80]-[0:11:55.80]  El queso simplemente le puedes dejar poco tiempo, le puedes hacer de rejilla o simplemente redondo.
[0:11:55.80]-[0:12:01.80]  ¿Cómo es el queso de rejilla y cuál es? A ver, ¿nos cuentas los distintos tipos de queso?
[0:12:01.80]-[0:12:09.80]  El queso de rejilla es aquel que se pone a redondo, tienen unas tablas especiales, ¿no?
[0:12:09.80]-[0:12:13.80]  Para que con rayas, para que el queso quede calcado y quede marcado.
[0:12:13.80]-[0:12:19.80]  Entonces se pone, primero se pone esas dos tablas y una ruleta que tienen de metal, que es de aluminio,
[0:12:19.80]-[0:12:25.80]  donde también se le mete el queso dentro. Se le puede dejar unos días para que primero coja el molde,
[0:12:25.80]-[0:12:32.80]  se le deja cinco o seis días si quieres o a veces menos, y después se le metes en agua con sal,
[0:12:32.80]-[0:12:40.80]  para que coja sabor salado. Ese es el de rejilla. Después hay otros que tienen unos tarros que son de plástico,
[0:12:40.80]-[0:12:44.80]  donde después de haber hecho todo el queso y haberle apretado bien, se le mete.
[0:12:44.80]-[0:12:49.80]  Simplemente si quieres también, en vez de ser un tarro, puede ser también un trapo, simplemente.
[0:12:49.80]-[0:12:59.80]  El trapo ese le ponen redondo para que quede de esa forma y le dejan también, le apretan mucho para que se expruma bien todo el cuajo,
[0:12:59.80]-[0:13:06.80]  y después de haber hecho eso, pues le dejan también. Pocos días si quieres nada, ese con un día se hace más rápido que el otro.
[0:13:06.80]-[0:13:15.80]  Y lo mismo, le meten en agua con un poco salado y le dejan un día o así. Si le gusta muy salado, pues más, pero si no, un día, simplemente.
[0:13:15.80]-[0:13:24.80]  Y entonces ya está hecho el queso. Es el de rejilla, es para comer duro, pero el otro, el redondo, es para comer blando.
[0:13:24.80]-[0:13:29.80]  Si te gusta el queso blando, pues entonces le dejas para que se haga blando, simplemente le comes blando.
[0:13:29.80]-[0:13:32.80]  Muy bien, caray, sé lo que sabe.
[0:13:32.80]-[0:13:33.80]  Claro, como tiene.
[0:13:33.80]-[0:13:36.80]  La tiene, bueno, a ver.
[0:13:36.80]-[0:13:41.80]  ¿Y qué otras cosas hacéis con la leche? Por ejemplo, la cuajada, ¿cómo haces la cuajada?
[0:13:41.80]-[0:13:45.80]  Ah, la cuajada simplemente se pone la leche a calentar y se echa el cuajo.
[0:13:45.80]-[0:13:49.80]  Si no, si quieres te compra o de lechazo, da igual, con lo que quieras hacerlo.
[0:13:49.80]-[0:13:59.80]  Y entonces, nada, le dejas lo que, una hora, hora y media y ya la tienes hecha la cuajada. La cuajada se hace muy rápido, sobre todo si es poca leche, mejor.
[0:13:59.80]-[0:14:02.80]  ¿Y la tomas con azúcar o con miel o con algo?
[0:14:02.80]-[0:14:11.80]  No, vamos, la he visto gente que la come con azúcar, pero también está muy buena sin nada. Yo siempre que son la he comido sin nada.
[0:14:11.80]-[0:14:13.80]  ¿Y requesón hacéis también?
[0:14:13.80]-[0:14:19.80]  Bueno, el requesón, a nosotros no es que nos guste mucho el requesón, pero a veces también.
[0:14:19.80]-[0:14:22.80]  Sí, sí, a veces también le hemos comido el requesón.
[0:14:22.80]-[0:14:26.80]  Vamos a ver, vamos a volver a la...
[0:14:26.80]-[0:14:30.80]  ¿Qué plan tiene con estas cosas? ¿Qué pasa con esto?
[0:14:30.80]-[0:14:38.80]  Pues es que en muchos sitios ya no se hacen estas cosas y se están perdiendo y entonces queremos tomar nota de todo para que no se olvide.
[0:14:38.80]-[0:14:40.80]  Está bien.
[0:14:40.80]-[0:14:46.80]  No, le quería preguntar, ¿qué pasa por ejemplo aquí? ¿Qué co-cultivos había aquí en el pueblo?
[0:14:46.80]-[0:14:52.80]  ¿Cultivos? ¿De trigo y de esas cosas quiere decir?
[0:14:52.80]-[0:15:00.80]  Bueno, pues antes se sembraba trigo, se sembraba lentejas, se sembraban muchas cosas y ahora pues no se sembran más que cebada y ahora girasol.
