[0:00:00.00]-[0:00:01.00]  Mira.
[0:00:12.00]-[0:00:14.00]  Están las pantalones que se rompen por el jugo.
[0:00:14.00]-[0:00:15.00]  Ah, claro.
[0:00:17.00]-[0:00:18.00]  ¿Y con esto lo coces?
[0:00:18.00]-[0:00:19.00]  ¿Por la máquina?
[0:00:19.00]-[0:00:21.00]  ¿Arreglaste las pantalones de la gente?
[0:00:21.00]-[0:00:23.00]  Yo para acá no, estas son de mi gente.
[0:00:23.00]-[0:00:24.00]  Ah, eso sí.
[0:00:24.00]-[0:00:31.00]  Quiero tomar a mis nietos, tengo dos nietos y tres nietas. Un, dos y tres.
[0:00:33.00]-[0:00:35.00]  Pues tengo bastante, todo el día poniendo.
[0:00:36.00]-[0:00:38.00]  Costuras para uno, costuras para otro.
[0:00:38.00]-[0:00:40.00]  Esto, ahora esto estoy haciendo otro.
[0:00:40.00]-[0:00:42.00]  Esto es todo el día.
[0:00:42.00]-[0:00:44.00]  ¿Ustedes no adivinan esto para lo que es?
[0:00:44.00]-[0:00:45.00]  No.
[0:00:45.00]-[0:00:50.00]  Pues esto es para meter los cuchillos de mata, cuchillos grandes.
[0:00:51.00]-[0:00:53.00]  ¿Ve? Mira, mira, mira.
[0:00:53.00]-[0:00:55.00]  ¿Le mataron los animales?
[0:00:55.00]-[0:00:57.00]  Los cuchillos que nos hacen la mata.
[0:00:58.00]-[0:01:02.00]  Ahora se coge aquí, se lian así, ve.
[0:01:04.00]-[0:01:07.00]  Y ahí está, y este cordón se lo pongo luego pegado aquí con una visita.
[0:01:08.00]-[0:01:10.00]  Aquí cogido y aquí cogido.
[0:01:10.00]-[0:01:11.00]  ¡Hala! Mira.
[0:01:14.00]-[0:01:15.00]  Qué chulada.
[0:01:15.00]-[0:01:16.00]  ¿Lo ha hecho usted, díces?
[0:01:16.00]-[0:01:17.00]  ¿Eh?
[0:01:17.00]-[0:01:19.00]  ¿Ha hecho usted ese bolsón?
[0:01:19.00]-[0:01:21.00]  Claro, con todo estoy diciendo.
[0:01:21.00]-[0:01:24.00]  Este yo no lo hago, tengo que ponerle eso.
[0:01:26.00]-[0:01:28.00]  ¿Y eso para qué va?
[0:01:29.00]-[0:01:31.00]  Eso es para los hombres que van a matar a los cochinos.
[0:01:32.00]-[0:01:34.00]  Mis gente matan todo.
[0:01:34.00]-[0:01:38.00]  Uno porque tiene el campo, otro porque van en la feria de jamón.
[0:01:39.00]-[0:01:45.00]  Mis hijos aquí en la feria de jamón y eso, pues van con sus cuchilleras y los llevan sin cogido.
[0:01:45.00]-[0:01:50.00]  Y no a esos fractales que hacen matanzas de que matan bichos y los llevan aquí cogidos.
[0:01:51.00]-[0:01:52.00]  ¡Hala!
[0:01:52.00]-[0:01:54.00]  Y va curioso, y va todo recogido ahí.
[0:01:55.00]-[0:01:56.00]  ¿Ahí va?
[0:01:57.00]-[0:02:03.00]  Bueno, era preguntarle un poco sobre las tradiciones del pueblo, en plan las fiestas, las matanzas...
[0:02:04.00]-[0:02:10.00]  Sí, ahora que está diciendo sobre las matanzas, ¿cómo hacen sus gente que usted dice?
[0:02:10.00]-[0:02:11.00]  ¿Los tu dices?
[0:02:12.00]-[0:02:13.00]  Ay, querida.
[0:02:13.00]-[0:02:17.00]  Aquí los cochinos se cogen y se matan, dos a idas, muchas matanzas.
[0:02:18.00]-[0:02:22.00]  Al campo y aquí en el pueblo, lo mismo.
[0:02:23.00]-[0:02:32.00]  Pero los cochinos se cogen, se ponen en una mesa y le meten el cuchillo, otro coge las patas así,
[0:02:33.00]-[0:02:37.00]  otros los matan con un quilo que le dan en la cabeza y así.
[0:02:37.00]-[0:02:45.00]  Y ahora se pone el guarro de arcochino en la mesa, cuando ya está todo pelado, porque se pela con abulaga.
[0:02:45.00]-[0:02:48.00]  Y si no con esto, ¿qué ponen ahora?
[0:02:49.00]-[0:02:50.00]  Ay, no me acuerdo ya.
[0:02:50.00]-[0:02:51.00]  ¿Con butano?
[0:02:51.00]-[0:02:53.00]  Con butano, pero uno eso es así.
[0:02:54.00]-[0:02:55.00]  Y se está moscando, se pela muy bien.
[0:02:56.00]-[0:02:58.00]  Y con agua caliente, también los he pelado en el campo.
[0:03:00.00]-[0:03:04.00]  Cuando he ido a las matanzas, pues cada uno a su costumbre.
[0:03:04.00]-[0:03:08.00]  Y además, hasta de una cadera de agua, ahí hemos ido cogiendo el agua con un casito,
[0:03:08.00]-[0:03:12.00]  echándose encima así al guarro y raspándolo, y de momento se pela.
[0:03:13.00]-[0:03:17.00]  Ahora lo abres aquí, de hocico, atrás, a rabo.
[0:03:18.00]-[0:03:27.00]  Y abriendo, y ahí abriendo, solo se va abriendo el guarro, se pone abierto del todo, como un libro, se abre.
[0:03:27.00]-[0:03:35.00]  Y ahora ya le coge la manteca, la empeza, se le llama, lo que tiene pegado a las costitas.
[0:03:36.00]-[0:03:43.00]  Le quita las empezas, las ceduras, los hofes, las tripas, y ahora ya, por ahí va buscando,
[0:03:43.00]-[0:03:49.00]  le quita luego las costillas, de los costilares, y le saca ahora otra tera que tiene gorda,
[0:03:49.00]-[0:03:54.00]  que se saca en unos secretos, que le dicen ahora a la gente secretos, antes eso era para los turistas.
[0:03:54.00]-[0:04:00.00]  Le va descarnando así, le va quitando, y le va haciendo lo que he dicho antes.
[0:04:02.00]-[0:04:03.00]  La grasa.
[0:04:03.00]-[0:04:06.00]  Sí, pero se olvidan las cosas.
[0:04:08.00]-[0:04:10.00]  Pilete se le llama, pero no me acuerdo ahora cómo es.
[0:04:10.00]-[0:04:18.00]  Y así, luego se pica la carne, los jamones se salan, se les tripa la sangre, se salan en un charadero,
[0:04:18.00]-[0:04:26.00]  y las chacinas se mueven en una máquina, la carne que se le quita, y hace ahora el chorizo de los vagros,
[0:04:26.00]-[0:04:29.00]  y el salchichón blanco, y chorizo blanco.
[0:04:29.00]-[0:04:33.00]  Porque cada uno de esos, eso es todo del coccino, se saca todo del coccino.
[0:04:34.00]-[0:04:35.00]  Y eso nomás te puedo decir.
[0:04:35.00]-[0:04:37.00]  ¿Y luego en los mortillos?
[0:04:37.00]-[0:04:42.00]  Las mosquillas negras de las tripas, de las pringues, se le va quitando por dentro,
[0:04:42.00]-[0:04:49.00]  de cuando tienen mucho tocino, vamos a poner la cabeza, la cabeza de esos que tiene el coccino aquí adelante.
[0:04:50.00]-[0:04:51.00]  Pero tiene vagro.
[0:04:51.00]-[0:04:58.00]  Le quitan la cabeza y se le quita esa carne para el chorizo blanco, para el salchichón.
[0:04:59.00]-[0:05:04.00]  Y las pringues, las mosquillas, y el entresiego de las tripas, que las tripas están liadas,
