[0:00:00.00]-[0:00:02.00]  ¿Podemos estar con ustedes?
[0:00:02.00]-[0:00:04.00]  Sí.
[0:00:04.00]-[0:00:10.00]  ¿Y vamos a grabar porque no podemos copiar todo lo que este diga?
[0:00:10.00]-[0:00:12.00]  Bien, bien, lo que queráis.
[0:00:12.00]-[0:00:14.00]  Muy bien.
[0:00:14.00]-[0:00:20.00]  Bueno, pues la matanza. ¿Qué hacían con el cerdo? ¿Lo criaban ustedes?
[0:00:20.00]-[0:00:24.00]  Sí, sí, de luego. Lo criábamos nosotros.
[0:00:24.00]-[0:00:36.00]  Y se encoragaba a base de, como éramos lagardores, pues a base de grano, de cereales de los cinco guiamos.
[0:00:36.00]-[0:00:40.00]  De bala, de enteno. ¿Sabéis lo que es el centeno?
[0:00:40.00]-[0:00:42.00]  Sí, un cereal.
[0:00:42.00]-[0:00:44.00]  ¿Qué?
[0:00:44.00]-[0:00:46.00]  Pues un cereal.
[0:00:46.00]-[0:00:48.00]  Como el trigo y...
[0:00:48.00]-[0:01:00.00]  Bueno, pues eso. Iba, teníamos que ir al molino para moler para ellos y luego pues eso llevaba un proceso pues de, pues, pues, pues, más de un año entonces, más de un año.
[0:01:00.00]-[0:01:02.00]  ¿Por qué los teníamos?
[0:01:02.00]-[0:01:18.00]  Porque esos, los cereales, es que los manteníamos, los manteníamos con eso, pues no eran como los piensos compuestos de ahora, que aumentan, pues, pues, pues, pues, pues, que aumentan.
[0:01:18.00]-[0:01:20.00]  ¿Y eran mejor que ahora?
[0:01:20.00]-[0:01:29.00]  En la mitad del tiempo. Pero eran mejor aquellos. Aquellos eran mejor para el consumo.
[0:01:29.00]-[0:01:46.00]  Hace unos cuatro años que no matamos nosotros el cerdo del que criamos. Pues ya he terminado yo por no comer, no comer porque tofino no tienen, que es lo que mejor puedo mascar, tofino.
[0:01:46.00]-[0:02:00.00]  Y lo demás es, si, tofino tienen pero tienen mucho, mucho rendimiento para el carnihidero, porque es magra, porque es todo, todo carne, no tiene gordo, no tiene grasa.
[0:02:00.00]-[0:02:11.00]  Entonces es muy bueno para el carnihidero. Pero si hoy he tenido que dejar de comer porque no me gusta, porque no me está bueno, me está muy duro. Eso, total eso.
[0:02:11.00]-[0:02:14.00]  ¿Y antes y cómo mataban al cerdo?
[0:02:14.00]-[0:02:39.00]  Pues mira, lo que cogíamos era una cosa como esta mesa, nada más que hacía canal, hacía una canalica así, para que, para luego escaldarlo, escaldarlo el eso y echarlo...
[0:02:39.00]-[0:02:40.00]  Para pelarlo.
[0:02:40.00]-[0:02:54.00]  Echar el agua, era más acaso de un lado, para que el agua corriera. Le echabas el agua cociendo con un puchero y aquel corro que le echabas el agua que ya estaba, ahora le dabas con el cuchillo.
[0:02:54.00]-[0:02:58.00]  Y ya, ya no.
[0:02:58.00]-[0:02:59.00]  ¿Y al cerdo?
[0:02:59.00]-[0:03:21.00]  Al cerdo, sí, pero costaba un rato el pelado, luego después de que estaba pelado lo colgábamos con una carrucha y allí se socarraba con una diada, ¿sabes lo que es una diada?
[0:03:21.00]-[0:03:22.00]  No sé ni lo que es socarrar.
[0:03:22.00]-[0:03:24.00]  Socar raro, ¿sabes lo que es?
[0:03:24.00]-[0:03:25.00]  No. Así que...
[0:03:25.00]-[0:03:30.00]  Y ahora cojo yo el mechero y hago aquí esto que...
[0:03:30.00]-[0:03:32.00]  Pues me quemas el pelo.
[0:03:32.00]-[0:03:33.00]  Los dos carros.
[0:03:33.00]-[0:03:34.00]  ¿Eso es socarrar?
[0:03:34.00]-[0:03:36.00]  Eso es la segunda.
[0:03:36.00]-[0:03:41.00]  Bueno, eso se puede mirar al millonario a ver lo que es socarrar.
[0:03:41.00]-[0:03:46.00]  Bueno, sí, pero si usted lo sabe y no lo puede explicar mejor.
[0:03:46.00]-[0:04:00.00]  Pues eso, se cogía el bicho, se colgaba y se le colgaba aliaga, que es una cosa del monte, una cosa del monte que arde muy bien y entonces se le daba para aquí y para allá.
[0:04:00.00]-[0:04:02.00]  ¿Aliaga es una planta?
[0:04:02.00]-[0:04:18.00]  Sí, es una planta, sí, por ejemplo la salina, pero no, la aliaga, eso está muy popular, la aliaga está muy popular, que hay en pocos sitios, en pocos sitios no hay, en pocos sitios no hay.
[0:04:18.00]-[0:04:28.00]  Aquí mismo hay, pues en cuanto entras y de aquí para abajo, y bueno, y aquí mismo, aquí mismo hay.
[0:04:28.00]-[0:04:31.00]  ¿El cerdo lo sujetaban entre mucha gente?
[0:04:31.00]-[0:04:34.00]  Sí, y ¿cómo lo hacían?
[0:04:34.00]-[0:04:45.00]  Se echaban al matador, que diríamos, y de allí con un gancho, que lo tengo yo allá, si lo queréis ver os lo enseño.
[0:04:45.00]-[0:04:47.00]  Bueno, pues luego nos lo enseña, vale.
[0:04:47.00]-[0:05:12.00]  Y se cogía el matador, cogía el cerdo, le echaba así, aquí, él levantaba y al eso, levantaban, cogían del lado contrario que estaban y de la pata contraria para echarlo a la mesa, o sea al matador.
[0:05:12.00]-[0:05:21.00]  Y una vez que estaba allí, se ponía así un poco a este lado y con el gancho ese enganchado y aquí a la pierna, hacia la pierna.
[0:05:21.00]-[0:05:22.00]  ¿Cómo se llamaba el gancho?
[0:05:22.00]-[0:05:26.00]  El gancho, el gancho allá a la media que se dice aquí, el gancho.
[0:05:26.00]-[0:05:29.00]  ¿Y al cerdo le llamaban de alguna forma especial?
[0:05:29.00]-[0:05:35.00]  ¿Al cerdo? ¿Al cerdo tiene otro nombre, el cerdo?
[0:05:35.00]-[0:05:38.00]  Hay muchos nombres, cerdo, marrano, gorrino.
[0:05:38.00]-[0:05:40.00]  Pero ¿cómo le llamaban aquí?
[0:05:40.00]-[0:05:44.00]  Bueno, pues como quieras, el cerdo.
[0:05:44.00]-[0:05:50.00]  ¿Los cerdo los criaban ustedes en sus casas, en unos establos?
