[0:00:00.00]-[0:00:03.00]  No importa, ¿te apetece?
[0:00:03.00]-[0:00:04.00]  Sí, un rato.
[0:00:04.00]-[0:00:08.00]  Contarnos cómo se vivía antes aquí, cómo se cuidaban los animales...
[0:00:08.00]-[0:00:13.00]  Bueno, yo fui de otro pueblo, de allá del valle, yo vine a vivir aquí.
[0:00:14.00]-[0:00:16.00]  ¿Y está muy lejos ese pueblo?
[0:00:16.00]-[0:00:18.00]  Sí, bueno, para arriba.
[0:00:18.00]-[0:00:20.00]  No, no nos quedamos aquí.
[0:00:20.00]-[0:00:22.00]  Sí, para allá, para...
[0:00:22.00]-[0:00:31.00]  Nada, yo cuando era pequeña, bueno, pues a la hierba, a hundir a las vacas.
[0:00:31.00]-[0:00:34.00]  Y, bueno, es que...
[0:00:34.00]-[0:00:40.00]  Y vivir, bueno, yo me acuerdo de lo que mi abuelo hablaba, que pasaba mucha hambre.
[0:00:42.00]-[0:00:45.00]  Antiguamente pasaban, trabajaban como boxe, pasaban mucha hambre.
[0:00:46.00]-[0:00:48.00]  ¿Y cómo se llama el pueblo del que es usted?
[0:00:48.00]-[0:00:49.00]  El valle.
[0:00:49.00]-[0:00:50.00]  El valle.
[0:00:50.00]-[0:00:52.00]  ¿Y a qué edad se vino aquí?
[0:00:52.00]-[0:00:54.00]  Yo vine con 20 años para aquí.
[0:00:56.00]-[0:01:01.00]  Pues, no sé, ¿podríamos entrar o ir a un lugar en el que no hubiese mucho ruido para...?
[0:01:01.00]-[0:01:03.00]  Para que no hubiese mucha hambre.
[0:01:03.00]-[0:01:11.00]  Lo bueno, aquí hay gente mayor, ahí arriba en Charco, el padre de municipal, que es el guía mayor, que nos puede contar mucho.
[0:01:11.00]-[0:01:12.00]  Sí.
[0:01:13.00]-[0:01:17.00]  Y el marido mío que debe estar, no sé, debe estar, si está en una intelección, se puede explicaros,
[0:01:17.00]-[0:01:21.00]  que puede saber más que yo, porque tiene otros años más que yo.
[0:01:21.00]-[0:01:22.00]  Pero yo...
[0:01:23.00]-[0:01:24.00]  Pero...
[0:01:31.00]-[0:01:33.00]  Mira, explíquenle a estos...
[0:01:33.00]-[0:01:34.00]  Buenos días.
[0:01:34.00]-[0:01:41.00] ...chavales que son de la universidad, de cuando antes, explíquenles tú que sabrán mejor de antes tu día que yo.
[0:01:41.00]-[0:01:42.00]  ¿De qué?
[0:01:42.00]-[0:01:47.00]  Ponle de cómo se vivía antes, hombre, de cómo se vivía.
[0:01:47.00]-[0:01:49.00]  ¿Y tú no sabes cómo se vivía?
[0:01:49.00]-[0:01:52.00]  Bueno, sabrás tú más bien que yo.
[0:01:52.00]-[0:01:55.00]  Bastante mal, con mucho trabajo.
[0:01:55.00]-[0:01:58.00]  Bueno, mira, que os expliquen, que os expliquen.
[0:01:58.00]-[0:02:00.00]  ¿Usted no quiere quedarse?
[0:02:00.00]-[0:02:03.00]  Sí, hombre, yo puedo quedarme porque no me voy a quedar.
[0:02:04.00]-[0:02:09.00]  Entonces, ¿se anima usted a contarnos cómo era la vida de antes?
[0:02:09.00]-[0:02:14.00]  Bueno, pues la vida de antes, bastante dura, mucho trabajo.
[0:02:14.00]-[0:02:15.00]  Sí.
[0:02:17.00]-[0:02:19.00]  Bastante hambre.
[0:02:20.00]-[0:02:25.00]  De vestir poco y manejar, de aquí, de nada.
[0:02:26.00]-[0:02:31.00]  ¿Y qué le iba a decir? ¿Tenían ustedes cerdos en casa?
[0:02:31.00]-[0:02:33.00]  ¿Cerdos tenía, cochino?
[0:02:33.00]-[0:02:34.00]  Sí, sí, sí, sí, sí.
[0:02:34.00]-[0:02:40.00]  Y hacían cochino, unas veces para matar, para el consumo de casa.
[0:02:40.00]-[0:02:45.00]  Otras veces vendíanlo porque hacía falta para el dinero para otras cosas.
[0:02:45.00]-[0:02:47.00]  Había una vacuca, dos.
[0:02:49.00]-[0:02:52.00]  ¿Y hacían matar cerdichos y cómo mataban al cochino?
[0:02:52.00]-[0:02:55.00]  Al cochino, en casa.
[0:02:55.00]-[0:02:57.00]  ¿Y cómo se hacía eso?
[0:02:57.00]-[0:02:59.00]  Un cochino así de largo.
