[0:00:00.00]-[0:00:02.00]  ¿Ya está?
[0:00:02.00]-[0:00:04.00]  Vale.
[0:00:04.00]-[0:00:10.00]  Bueno, pues en principio queríamos empezar hablando de la matanza.
[0:00:10.00]-[0:00:12.00]  Si sabes, te decía que aquí en este pueblo se hacía...
[0:00:12.00]-[0:00:14.00]  Y tan, sí, sí.
[0:00:14.00]-[0:00:17.00]  ¿Y cómo era? ¿Era cada uno en su casa?
[0:00:17.00]-[0:00:21.00]  Sí, cada uno en su casa lo hacíamos. Sí, muy bien.
[0:00:21.00]-[0:00:23.00]  Y explíqueme un poco cómo era todo el proceso.
[0:00:23.00]-[0:00:28.00]  El proceso, pues mira, el día antes cogían el cerdo,
[0:00:28.00]-[0:00:32.00]  uno se les daba de comer, porque el...
[0:00:32.00]-[0:00:34.00]  A ver, a ver.
[0:00:34.00]-[0:00:36.00] ...la mañana siguiente...
[0:00:36.00]-[0:00:39.00]  ¿Qué supo que te pregunteo alguna cosa?
[0:00:39.00]-[0:00:40.00]  Un momento, un momento.
[0:00:40.00]-[0:00:41.00]  Vale, vale, vale.
[0:00:41.00]-[0:00:43.00]  Está grabando, un momento.
[0:00:43.00]-[0:00:51.00]  Entonces, a la mañana siguiente, se cogía el cerdo,
[0:00:51.00]-[0:00:58.00]  lo mataban, se guardaba la sangre, ya teníamos un barreño lleno de...
[0:00:58.00]-[0:01:06.00]  así como si fuesen ropas, y ponían la sangre ahí, lo amasteraban, bien amasterado,
[0:01:06.00]-[0:01:14.00]  y entonces, cuando tenían el cerdo ya matado, lo cogían y los cuartizaban a trozos.
[0:01:14.00]-[0:01:22.00]  Entonces, se llevaba allí donde se hacía todo el proceso,
[0:01:22.00]-[0:01:32.00]  y se ponían la carne, la cabeza, por ejemplo, lo que es la cansalada,
[0:01:32.00]-[0:01:37.00]  cómo se llama en castellano, cansalada.
[0:01:37.00]-[0:01:38.00]  ¿El tocino?
[0:01:38.00]-[0:01:40.00]  Sí, el tocino, con las...
[0:01:40.00]-[0:01:41.00]  ¿El tocino?
[0:01:41.00]-[0:01:46.00]  El tocino, esto sí, el tocino se ponía en una caldera,
[0:01:46.00]-[0:01:52.00]  si querías ponerte unas diodritas o esposneas, un poco de labrel, un poco de cosas,
[0:01:52.00]-[0:01:55.00]  y entonces esto se hervía.
[0:01:55.00]-[0:02:01.00]  Y mientras tanto, se ponía la carne encima de una mesa y se iba cortando,
[0:02:01.00]-[0:02:04.00]  se sacaba el hueso.
[0:02:04.00]-[0:02:14.00]  Entonces, cogían esto, lo pasaban para la máquina, y de esto se hacían las langunitas,
[0:02:14.00]-[0:02:24.00]  con la carne magra y un poco también de tocino, o esto de la cansalada, de la panceta que dicen,
[0:02:24.00]-[0:02:28.00]  se hacía y se hacían las langunitas.
[0:02:28.00]-[0:02:34.00]  Entonces, lo que estaba hirviendo también, cuando estaba hirvido lo ponían,
[0:02:34.00]-[0:02:48.00]  lo sacaban los huesos, separaban la carne más magra y la guardaban para hacer unas buticarras blancas.
[0:02:48.00]-[0:02:56.00]  Hay persona que ponía un poquito más de lo que habían picado magro,
[0:02:56.00]-[0:03:00.00]  porque eran las buenas así, y ponían para que sean las buenas.
[0:03:00.00]-[0:03:05.00]  Y todo lo demás lo ponían en la sardón y el pan.
[0:03:05.00]-[0:03:18.00]  Entonces, lo volvían a pasar por la maquinilla también, y lo embotían en unos tripas especiales.
[0:03:18.00]-[0:03:28.00]  Y entonces, cuando estaban ya llenitas, las ponían donde habían hervido todo esto,
[0:03:28.00]-[0:03:31.00]  a hervir las blancas.
[0:03:31.00]-[0:03:38.00]  Y después se hacía la negra igual, hasta que la negra salía a hervir un poquito más,
[0:03:38.00]-[0:03:42.00]  porque no estaba cocido, la sangre no estaba cocida.
[0:03:42.00]-[0:03:50.00]  Entonces hacían fiestas a la gente, todos a comer a casa de quien mataba al cerdo.
[0:03:50.00]-[0:03:52.00]  Sí, sí, bien, muy bien.
[0:03:52.00]-[0:03:56.00]  ¿Y qué eran las casas más adineradas?
[0:03:56.00]-[0:03:59.00]  No, no, todas las casas, todas, todas.
[0:03:59.00]-[0:04:05.00]  Antes todas, todas tenían de todo, caninas, conejos, de todo un poquito.
[0:04:05.00]-[0:04:10.00]  Teníamos, porque yo soy de aquel tiempo y teníamos de todo.
[0:04:10.00]-[0:04:16.00]  ¿Y en su casa cómo se repartía el trabajo de la matanza? ¿Todos ayudaban en todo?
[0:04:16.00]-[0:04:22.00]  No, no, no, todos ayudaban en lo que sea, cuando se mataba al cerdo.
[0:04:22.00]-[0:04:31.00]  Todos se ponían allí, los unos limpiaban las tripas, los otros recortaban los huesos de la carne magra,
[0:04:31.00]-[0:04:39.00]  los otros se cuidaban de la caldera que estaba hirviendo todos los trozos más inferiores.
[0:04:39.00]-[0:04:45.00]  Y sí, nos repartían, lo que había a repartir, ya sabía cada uno lo que tenía que hacer.
[0:04:45.00]-[0:04:49.00]  Sí, sí, muy bien. Y bueno, que era, no es lo que venden ahora, ¿no?
[0:04:49.00]-[0:04:51.00]  Claro, no tenía el mismo sabor.
[0:04:51.00]-[0:04:57.00]  Ni así. Yo, mira, yo no como, ¿eh? ¿Enbotidos? No como, no.
[0:04:57.00]-[0:05:00.00]  ¿Ahora ya no hay nadie que mantenga un poco la salida?
[0:05:00.00]-[0:05:08.00]  Sí, aún hay alguno. Tengo una amiga mía, que es cuando yo como al cerdo, embotido, ¿eh?
[0:05:08.00]-[0:05:14.00]  Y así de porter como. Pero embotido no como nunca.
[0:05:14.00]-[0:05:21.00]  Cuando mi amiga, Natan, Pedro, me lleva de todo en abundancia, ¿eh?
[0:05:21.00]-[0:05:28.00]  Y me dice, toma, yo cojo a trocitos pequeños para que me dure y al congelador.
[0:05:28.00]-[0:05:32.00]  Y cuando me pasa por la cabeza, ahí un trocito, ahí un trocito.
[0:05:32.00]-[0:05:35.00]  ¿Y antes, cuando no había congelador, cómo conservaban todo?
[0:05:35.00]-[0:05:41.00]  Pues, ponía folgado y la langoniza se ponía seca.
[0:05:41.00]-[0:05:48.00]  Si cogías buen tiempo, si cogías aquel tiempo de la esboria, de lo que se llama, la niebla,
[0:05:48.00]-[0:05:51.00]  entonces costaba mucho.
[0:05:51.00]-[0:06:00.00]  Pero si cogías buen tiempo, que hacía heladas y hacía frío, entonces, pues, se ponía seco.
[0:06:00.00]-[0:06:05.00]  Ay, no me hagas pensar que me tuve, me vuelve la boca.
[0:06:05.00]-[0:06:11.00]  Unas langonizas y unos chorizos también guapos, buenos, muy buenos.
[0:06:11.00]-[0:06:14.00]  Ay, vamos a menjar un poco sí.
[0:06:14.00]-[0:06:18.00]  Y unos pernillos.
[0:06:18.00]-[0:06:20.00]  Jamón, jamón.
[0:06:20.00]-[0:06:24.00]  Unos jamones.
[0:06:24.00]-[0:06:27.00]  Ay, sí, ay, sí.
[0:06:27.00]-[0:06:36.00]  Y bueno, para seguir hablando de comida, ¿este pueblo era pueblo de agricultores también?
[0:06:36.00]-[0:06:38.00]  Sí, sí, sí.
[0:06:38.00]-[0:06:42.00]  Total, ahora ya no tanto, pero total, agricultores total.
[0:06:42.00]-[0:06:44.00]  Ya, ya, ya, ya.
[0:06:44.00]-[0:06:45.00]  Bueno, pero ya granjes.
[0:06:45.00]-[0:06:48.00]  Después, bueno, pero todo depende del matex, ¿no?
[0:06:48.00]-[0:06:50.00]  Sí, todo depende del matex.
[0:06:50.00]-[0:06:51.00]  Todo depende de lo mismo.
[0:06:51.00]-[0:07:03.00]  Pasa que hay muchas grancas de cerdos, hay alguna de pollos, hay de codornices, hay de...
[0:07:03.00]-[0:07:04.00]  De patices.
[0:07:04.00]-[0:07:05.00]  ¿De qué?
[0:07:05.00]-[0:07:06.00]  Codornices y pernices.
[0:07:06.00]-[0:07:13.00]  Y pernices, y de pavos, y de todo esto, pero en gran cantidad.
[0:07:13.00]-[0:07:16.00]  Que ya no son tan poco buenos como antes.
