[0:00:00.00]-[0:00:04.00]  ¿Aquí hacían matanza?
[0:00:04.00]-[0:00:06.00]  Sí, sí, siempre.
[0:00:06.00]-[0:00:09.00]  ¿Y cómo era la matanza?
[0:00:09.00]-[0:00:13.00]  Bueno, pues se compraba un cerdo pequeño y se criaba.
[0:00:13.00]-[0:00:19.00]  Hasta que pesaba, bueno, depende, unas veces más, otras veces menos.
[0:00:19.00]-[0:00:26.00]  10 o 12 arrobas que eran lo que solían matar aquí, o a lo mejor había dos y eran más pequeños.
[0:00:26.00]-[0:00:33.00]  Y eso pues se llevaba a la casa, ¿no? Aquí se hacían los chorizos y las morfillas, se salaban los jamones.
[0:00:33.00]-[0:00:38.00]  Y eso pues se comía en casa durante el año, pues se comía.
[0:00:38.00]-[0:00:43.00]  ¿Y el cerdo como llamaban aquí, gocho?
[0:00:43.00]-[0:00:51.00]  Sí, el gocho, el gocho. El gochu. Aquí se termina con la u, todas las palabras. El gochu.
[0:00:51.00]-[0:00:59.00]  ¿Y el gochu, cómo sacaban, cómo se llama aquí donde están los gochu?
[0:00:59.00]-[0:01:02.00]  El cubil.
[0:01:02.00]-[0:01:05.00]  El cubil se llama, lo llamaban.
[0:01:05.00]-[0:01:08.00]  ¿Y entonces qué hacían con...?
[0:01:08.00]-[0:01:10.00]  Bueno, pues se sacaban.
[0:01:10.00]-[0:01:12.00]  ¿Con un gancho, con una cuerda?
[0:01:12.00]-[0:01:16.00]  Sí, no, con una cuerda. Con el gancho yo me uní y eso no me acuerdo.
[0:01:16.00]-[0:01:25.00]  Lo sacaban atado por una pata y lo sacábamos ahí delante, que teníamos ahí una fronzoleta, ahí en el fiel de casa, y ahí lo mataban.
[0:01:25.00]-[0:01:27.00]  ¿Pero pinchaban o...?
[0:01:27.00]-[0:01:28.00]  Sí, sí, sí.
[0:01:28.00]-[0:01:29.00]  ¿Cómo eran?
[0:01:29.00]-[0:01:36.00]  O pinchaban así en la vena iagular o por ahí.
[0:01:36.00]-[0:01:46.00]  Yo tengo un hermano en Colunga que vive en un pueblo de Colunga que los mata todos los años. Tres fue de una residencia de ancianos.
[0:01:46.00]-[0:01:55.00]  Y los matan así todavía. El año pasado estuve yo en la matanza y los matan así, aquí los matan así.
