[0:00:00.00]-[0:00:02.00]  Diganme tus nombres.
[0:00:09.00]-[0:00:10.00]  Y llevan mucho...
[0:00:11.00]-[0:00:12.00]  ¿Viven siempre en este pueblo?
[0:00:12.00]-[0:00:13.00]  Sí, sí, sí.
[0:00:13.00]-[0:00:14.00]  Yo sí, desde que nací.
[0:00:14.00]-[0:00:15.00]  Yo también.
[0:00:15.00]-[0:00:18.00]  Eso, vivimos ahí en Barrio Van Aston.
[0:00:18.00]-[0:00:20.00]  Sí, al lado del puente.
[0:00:20.00]-[0:00:21.00]  Al lado del puente, eso.
[0:00:21.00]-[0:00:23.00]  Pero ya vinimos aquí.
[0:00:23.00]-[0:00:24.00]  Sí.
[0:00:24.00]-[0:00:25.00]  Vinimos de aquí, de Van Aston.
[0:00:25.00]-[0:00:26.00]  Eso.
[0:00:26.00]-[0:00:27.00]  ¿Y sus padres también van de aquí?
[0:00:27.00]-[0:00:28.00]  No.
[0:00:28.00]-[0:00:30.00]  Hola, buenas. Yo soy grande de la Fueva.
[0:00:30.00]-[0:00:31.00]  Buenas.
[0:00:31.00]-[0:00:33.00]  Yo sí, de la Fueva.
[0:00:33.00]-[0:00:36.00]  Un pueblo que se llama Muro de Roda.
[0:00:36.00]-[0:00:37.00]  También tengo una nieta que se llama Andorra.
[0:00:37.00]-[0:00:38.00]  ¿Cómo?
[0:00:38.00]-[0:00:39.00]  Muro de Roda.
[0:00:39.00]-[0:00:40.00]  Muro de Roda.
[0:00:40.00]-[0:00:41.00]  Sí.
[0:00:41.00]-[0:00:42.00]  ¿Cerquita de donde viviste hasta ahora?
[0:00:42.00]-[0:00:43.00]  No, bastante lejos.
[0:00:43.00]-[0:00:44.00]  Bueno.
[0:00:44.00]-[0:00:45.00]  Bastante lejos.
[0:00:45.00]-[0:00:47.00]  ¿Y cómo era esto antes, lo de los pueblos?
[0:00:47.00]-[0:00:52.00]  Porque ahora hemos ido a varios pueblos y vemos que muchos de ellos son muy pequeñitos,
[0:00:52.00]-[0:00:54.00]  con muy poca gente, casi sin juventud.
[0:00:54.00]-[0:00:55.00]  Sí.
[0:00:55.00]-[0:00:56.00]  ¿Eso antes no era así, supongo?
[0:00:56.00]-[0:00:57.00]  No.
[0:00:57.00]-[0:01:02.00]  Antes no había gente en las casas y allí todos era...
[0:01:02.00]-[0:01:03.00]  Todos trabajaban juntos.
[0:01:03.00]-[0:01:05.00]  Todos trabajaban y todos estaban en casa juntas.
[0:01:05.00]-[0:01:06.00]  Sí.
[0:01:06.00]-[0:01:07.00]  Y...
[0:01:07.00]-[0:01:11.00]  Este pueblo llega desde ahí hasta Jerve, todos estos barrios.
[0:01:11.00]-[0:01:13.00]  Dicen que es más grande que Barcelona.
[0:01:13.00]-[0:01:14.00]  Sí.
[0:01:14.00]-[0:01:15.00]  Pero en barrios.
[0:01:15.00]-[0:01:16.00]  En barrios.
[0:01:16.00]-[0:01:18.00]  Que es más grande que la ciudad de Toledo.
[0:01:18.00]-[0:01:19.00]  Sí.
[0:01:19.00]-[0:01:22.00]  ¿Y se dedicaban sus padres a la agricultura, a la galería?
[0:01:22.00]-[0:01:23.00]  Sí, a la agricultura.
[0:01:23.00]-[0:01:24.00]  Sí, que cultivaban, ¿no?
[0:01:24.00]-[0:01:25.00]  Pues, al cereales.
[0:01:25.00]-[0:01:28.00]  Y antes había tocando viñas y...
[0:01:28.00]-[0:01:29.00]  En mi casa era lo mismo.
[0:01:29.00]-[0:01:30.00]  En ventas y...
[0:01:30.00]-[0:01:31.00]  Es raro, dicen.
[0:01:31.00]-[0:01:32.00]  Sí.
[0:01:32.00]-[0:01:36.00]  Hacían cosas de labranza, y estrales para la madera y así.
[0:01:36.00]-[0:01:41.00]  Pero que entonces no había como anitidades como ahora que había aquí con los hijos, había aquí para...
[0:01:41.00]-[0:01:43.00]  Andadas, andones, andando.
[0:01:43.00]-[0:01:44.00]  Y...
[0:01:44.00]-[0:01:46.00]  No había carreteras, no había...
[0:01:46.00]-[0:01:48.00]  Muy difícil.
[0:01:48.00]-[0:01:49.00]  Claro.
[0:01:49.00]-[0:01:50.00]  Pero muy difícil.
[0:01:50.00]-[0:01:51.00]  Sí.
[0:01:51.00]-[0:01:52.00]  Muy difícil estaba entonces.
[0:01:52.00]-[0:01:53.00]  ¿Hasta qué era el coronal Colés?
[0:01:53.00]-[0:01:55.00]  Hasta el 14 años.
[0:01:55.00]-[0:01:56.00]  Ah, pues es...
[0:01:56.00]-[0:01:57.00]  Nada más.
[0:01:57.00]-[0:01:58.00]  ¿Y después de trabajar?
[0:01:58.00]-[0:01:59.00]  Claro.
[0:01:59.00]-[0:02:00.00]  Después de trabajar.
[0:02:00.00]-[0:02:01.00]  Al cante.
[0:02:01.00]-[0:02:02.00]  Al cante, sí.
[0:02:02.00]-[0:02:03.00]  Sí.
[0:02:03.00]-[0:02:04.00]  ¿A qué era, a qué era?
[0:02:04.00]-[0:02:05.00]  ¿Les gustaba o...?
[0:02:05.00]-[0:02:06.00]  Bueno, pues sí, como a...
[0:02:06.00]-[0:02:07.00]  ¿Os querías hacer al ambiente?
[0:02:07.00]-[0:02:09.00]  A aquel ambiente pues tenías otro remedio que hacerlo.
[0:02:09.00]-[0:02:11.00]  O me siempre he querido hacer otras cosas.
[0:02:11.00]-[0:02:12.00]  Si eso ha sido hoy, no.
[0:02:12.00]-[0:02:13.00]  No había eso.
[0:02:13.00]-[0:02:14.00]  Hoy hay más clase.
[0:02:14.00]-[0:02:17.00]  Hasta que llegó la maquinaría y eso.
[0:02:17.00]-[0:02:18.00]  Sí.
[0:02:18.00]-[0:02:22.00]  Nosotros sí, si no por el récord que había, nos lo llevamos muy bien.
[0:02:22.00]-[0:02:23.00]  Es cuando vienen a hacerlo todos mal.
[0:02:23.00]-[0:02:24.00]  No sé.
[0:02:24.00]-[0:02:25.00]  Cegar, cripear, eso.
[0:02:25.00]-[0:02:26.00]  La garba con...
[0:02:26.00]-[0:02:27.00]  La garba con...
[0:02:27.00]-[0:02:28.00]  Con burros y con machos.
[0:02:28.00]-[0:02:29.00]  La gusamuda que se decía, no sé, estábamos para cada lado.
[0:02:29.00]-[0:02:30.00]  Y llegaron el tractor porque era...
[0:02:30.00]-[0:02:31.00]  Sí.
[0:02:31.00]-[0:02:32.00]  Ahora vivimos de otra manera.
[0:02:32.00]-[0:02:33.00]  Es diferente, ¿no?
[0:02:33.00]-[0:02:34.00]  Ahora sí, muy diferente.
[0:02:34.00]-[0:02:35.00]  Pero lo que pasa es que la gris...
[0:02:35.00]-[0:02:36.00]  Pero no lo sé.
[0:02:36.00]-[0:02:37.00]  La gris es...
