[0:00:00.00]-[0:00:10.00]  ¿Cuál es su nombre?
[0:00:10.00]-[0:00:16.00]  ¿Cuántos años tiene usted?
[0:00:16.00]-[0:00:18.00]  81, cumple el 2 de enero.
[0:00:18.00]-[0:00:20.00]  ¡Muy bien! ¡Felicidades!
[0:00:20.00]-[0:00:22.00]  Gracias.
[0:00:22.00]-[0:00:30.00]  Pues nosotros somos estudiantes y queremos saber cómo era la vida aquí en Faznia hace años atrás.
[0:00:30.00]-[0:00:32.00]  Podría decirnos por ejemplo...
[0:00:32.00]-[0:00:40.00]  Sí, yo nací en el 35 y desde el 40 para acá le puedo decir porque hasta el 30, hasta el 40 más o menos no tenía uno mucha razón, pero ya después...
[0:00:40.00]-[0:00:46.00]  Ya fue cuando la guerra... Es decir, que yo me críe en la pogerra.
[0:00:46.00]-[0:00:55.00]  Y entonces las necesidades fueron tantas, tantas, tantas, que yo ahora cuando veo el tercer mundo digo el tercer mundo lo vivimos nosotros, porque ya no había nada.
[0:00:55.00]-[0:01:05.00]  España, cuando la guerra de Europa, cuando la guerra que... La esta que hubo de todas las naciones.
[0:01:05.00]-[0:01:12.00]  Entonces después a España no la quería nadie, no la quería la única, el único que nos mandaba algo era Argentina.
[0:01:12.00]-[0:01:21.00]  Eva de Berón era la única, el único que nos mandaba bastante, nos mandaba bastante comida y bastante, nos ayudó bastante.
[0:01:21.00]-[0:01:27.00]  Entonces lo que pasa es que lo de siempre, los grandes se cogían lo que servían y lo que no servían no los daba, no, no, los pobres.
[0:01:27.00]-[0:01:31.00]  Teníamos que hacer cola y teníamos... Me acuerdo yo de ir con mi madre.
[0:01:31.00]-[0:01:41.00]  Entonces se pasó hasta los años 75 o algo así, se pasó hasta cerca del 80, se pasó mucha, mucha necesidad.
[0:01:41.00]-[0:01:47.00]  Después ya se empezó a emigrar, empezaron el trabajo los hoteles y esto en el sur con las Américas.
[0:01:47.00]-[0:01:49.00]  Espera el otro señor.
[0:01:49.00]-[0:01:50.00]  Ah, sí.
[0:01:50.00]-[0:01:51.00]  Que espere un poquito.
[0:01:51.00]-[0:01:53.00]  O no, que pase también, eh.
[0:01:53.00]-[0:02:01.00]  Entonces lo que podemos hacer, no sé si... Que el señor se ponga aquí y que tú puedes estar acá.
[0:02:01.00]-[0:02:03.00]  Para no hacer interrupciones, pero ya está aquí.
[0:02:03.00]-[0:02:05.00]  No importa, estamos en familia.
[0:02:05.00]-[0:02:07.00]  Estamos en familia, totalmente.
[0:02:07.00]-[0:02:14.00]  Bueno, eso sí tenemos nosotros también los canarios que somos, que somos humanitarios.
[0:02:14.00]-[0:02:15.00]  Sí, es verdad.
[0:02:15.00]-[0:02:23.00]  No es la verdad. Yo a veces van por mi casa caminando extranjero o lo que sea o estoy por algún sitio, por Santa Cruz o por el sur o algo
[0:02:23.00]-[0:02:31.00]  y me preguntan por algún sitio y me paro y les indico y les explico, lo he arreglado, lo que sé les explico, son de baño tienen que ir si me preguntan.
[0:02:31.00]-[0:02:36.00]  Sí. Y cuál era el medio de subsistencia aquí de Paz?
[0:02:36.00]-[0:02:39.00]  Pues teníamos huertas y entonces las plantábamos.
[0:02:39.00]-[0:02:46.00]  Plantábamos papas que era lo más, aquí la comida, más esta es la papa y plantábamos algo de verdura.
[0:02:46.00]-[0:02:57.00]  Entonces después cogíamos, criábamos animales, vivíamos de la leche de la cabra y luego de las gallinas había que venderlas.
[0:02:57.00]-[0:03:07.00]  Si ponían algún huevo, había que venderlo porque no había luz eléctrica tampoco, para comprar petróleo, para alumbrarnos y comprar sal para ponerle a las papas.
[0:03:07.00]-[0:03:12.00]  Y cada vez que las gallinas ponían los huevos los íbamos a vender para traer petróleo y sal.
[0:03:14.00]-[0:03:20.00]  ¿Y qué animales tenían aquí? ¿Avían animales? ¿Sergían animales?
[0:03:20.00]-[0:03:32.00]  Venían camellos de África, venían camellos y después porque aquí el medio que tenía todo al sur hacia abajo, el medio que tenían para labrar la tierra eran los camellos.
[0:03:32.00]-[0:03:40.00]  Iban a cargar la mercancía, los camellos, para sacar la mercancía de las huertas y prepararla y todo, eran camellos.
[0:03:40.00]-[0:03:43.00]  Y pues se llevaban las cabras, los cambiaban por cabras.
[0:03:44.00]-[0:03:45.00]  Buenas.
[0:03:45.00]-[0:03:46.00]  Hola.
[0:03:46.00]-[0:03:48.00]  ¿Qué es lo que es la cabra?
[0:03:48.00]-[0:03:50.00]  Buenas.
