[0:00:00.00]-[0:00:01.00]  ¿Era eso?
[0:00:01.00]-[0:00:02.00]  Sí, claro, es que ahora ya no...
[0:00:02.00]-[0:00:03.00]  ¿Con las pegas de siempre?
[0:00:03.00]-[0:00:05.00]  Las pegas de siempre que...
[0:00:05.00]-[0:00:09.00]  Las pegas de siempre es el estado.
[0:00:09.00]-[0:00:12.00]  Estos que no saben nada, como tú dices.
[0:00:12.00]-[0:00:20.00]  Porque eso era como una tradición, bien igual que una tradición.
[0:00:20.00]-[0:00:25.00]  Y lo hacían para comer, no lo hacían para que el animal no sufriera,
[0:00:25.00]-[0:00:28.00]  como está hoy en día en la calle.
[0:00:28.00]-[0:00:36.00]  Pero eso son problemas de... entre estado y población.
[0:00:36.00]-[0:00:37.00]  Claro.
[0:00:37.00]-[0:00:40.00]  Porque eso en Palma no hacían de matanzas.
[0:00:40.00]-[0:00:41.00]  No.
[0:00:41.00]-[0:00:42.00]  O sea que...
[0:00:42.00]-[0:00:48.00]  Pero iban muchos de Palma, pues a lo mejor se iban al pueblo
[0:00:48.00]-[0:00:50.00]  y entonces hacían la matanza allí.
[0:00:50.00]-[0:00:55.00]  Pero ¿los cerdos eran suyos o de la familia?
[0:00:55.00]-[0:01:04.00]  Sí, en la misma finca, en el campo, pues se engordaban dos cerdos normalmente.
[0:01:04.00]-[0:01:08.00]  O cuatro, porque había uno que era... que esa finca no era suya.
[0:01:08.00]-[0:01:17.00]  Era dos para el señor y dos para el que estaba en la finca, digamos.
[0:01:17.00]-[0:01:21.00]  ¿Y quién se encargaba, por ejemplo, de la crianza del cerdo? ¿Eso cómo era?
[0:01:21.00]-[0:01:28.00]  No, la misma gente que cuidaba a los demás animales, pues se daba comida por la mañana y por la tarde.
[0:01:28.00]-[0:01:32.00]  ¿Y qué tipo de... qué se le daba de comer?
[0:01:32.00]-[0:01:39.00]  Eso se le daba pues habas, higos chumbos, higos de los demás y...
[0:01:39.00]-[0:01:42.00]  ¿Y cómo era el proceso? Cuéntennos un poco cómo...
[0:01:42.00]-[0:01:47.00]  Pues eso... cuando habían matado al cerdo, pues se iba...
[0:01:47.00]-[0:01:56.00]  si no se criaban en la misma finca, compraran luego el cerdo para el año que viene, hacer la matanza.
[0:01:56.00]-[0:02:07.00]  Y normalmente era cerdo de un año, un año y algo, algo así, 200 kilos.
[0:02:07.00]-[0:02:16.00]  Pero había que a lo mejor mataban uno que era del año pasado y ese pues hacía 300 kilos o 350.
[0:02:16.00]-[0:02:22.00]  Dependía también lo grande que era la familia, si era mucha familia o si...
[0:02:22.00]-[0:02:26.00]  que normalmente era mucha en otro tiempo, no como hoy.
[0:02:26.00]-[0:02:31.00]  Sí, porque no somos... Entonces se juntaba toda la familia, como era el día de la matanza.
[0:02:31.00]-[0:02:41.00]  Sí, sí, sí, sí, sí, sí. Eso yo he estado, yo qué sé, a 18 años o 16, 17, por ahí,
[0:02:41.00]-[0:02:45.00]  un mes yendo día sí, día no de matanzas.
[0:02:45.00]-[0:02:47.00]  Pero todo de familia.
[0:02:47.00]-[0:02:51.00]  Sí, entre familia y amigos, vecinos.
[0:02:51.00]-[0:03:02.00]  Eso decían que... la gente decía que si no se hacían un presente al vecino,
[0:03:02.00]-[0:03:06.00]  que a lo mejor le daban un trozo de lomo o un trozo de carne magra,
[0:03:06.00]-[0:03:11.00]  y que si no se hacían presente era que no eran muy amigos.
[0:03:11.00]-[0:03:15.00]  Claro, porque no se iba cobrando, se iba por un...
[0:03:15.00]-[0:03:17.00]  Sí, sí, sí, no se iba cobrando.
[0:03:17.00]-[0:03:22.00]  A lo mejor había gente, o sea, por ejemplo en mi casa o mataba yo a mi padre,
[0:03:22.00]-[0:03:30.00]  pero que había gente que no sabía desguasar el cerdo luego y contrataba,
[0:03:30.00]-[0:03:34.00]  había gente que se dedicaba, que también lo hacía por hobby,
[0:03:34.00]-[0:03:39.00]  que lo contrataba dos horas para que te descuartizara el cerdo
[0:03:39.00]-[0:03:44.00]  y este si cobraba, a lo mejor, yo que sé, en aquel tiempo,
[0:03:44.00]-[0:03:48.00]  pues a lo mejor 25 o 50 pesetas.
[0:03:48.00]-[0:03:49.00]  Ya era dinero.
[0:03:49.00]-[0:03:58.00]  Sí, pero tampoco no era un absurdo, digamos, no era para enriquecerse.
[0:03:58.00]-[0:04:04.00]  Valía más la experiencia de este señor que venía que no lo que te cobraba,
[0:04:04.00]-[0:04:09.00]  porque te dejaba todo a punto, digamos, y luego los de la casa,
[0:04:09.00]-[0:04:15.00]  pues hacían... se ponía la carne en sal porque no había neveras
[0:04:15.00]-[0:04:21.00]  y se condimentaba y se aprovechaba todo eso.
[0:04:21.00]-[0:04:23.00]  ¿Cómo era un día de matanza, por ejemplo?
[0:04:23.00]-[0:04:25.00]  ¿Te había de levantarse muy pronto? ¿Cómo era?
[0:04:25.00]-[0:04:32.00]  Eso sí. Bueno, los jefes de la casa, o los que mandaban en la casa,
[0:04:32.00]-[0:04:39.00]  te levantaban a las cinco a lo mejor, porque si tenía, yo que sé,
[0:04:39.00]-[0:04:45.00]  si solo había, si era de secano, no, porque había ovejas o cerdos,
[0:04:45.00]-[0:04:52.00]  pero si tenía el vacuno había que ordeñar antes de empezar la matanza y todo eso.
[0:04:52.00]-[0:04:59.00]  En ovejas también, pero las temporadas esas de la matanza ya no se ordeñan la oveja.
[0:04:59.00]-[0:05:12.00]  Es más, es antes, porque luego los corderos eran más para Pascua.
[0:05:12.00]-[0:05:15.00]  ¿En qué época es? Pero las matanzas son en noviembre.
[0:05:15.00]-[0:05:24.00]  Sí, empiezan en noviembre hasta enero, todo enero y unos tres meses más o menos.
[0:05:24.00]-[0:05:32.00]  Y luego los corderos se aprovechaban para que fueran en abril,
[0:05:32.00]-[0:05:35.00]  que estén a la punta de la venta.
[0:05:35.00]-[0:05:42.00]  Y entonces se ordeñaba después para hacer queso o lo que sea de las cabras o de las ovejas.
[0:05:42.00]-[0:05:46.00]  Y esto era en sí.
[0:05:46.00]-[0:05:52.00]  Y bueno, que el día de la matanza, por ejemplo, las familias se levantaban muy pronto.
[0:05:52.00]-[0:06:02.00]  Sí, sí, sí, sí. Las mujeres preparaban la comida y los hombres hacían fuego en la caldera.
