[0:00:00.00]-[0:00:02.00]  78 años.
[0:00:02.00]-[0:00:05.50]  78 años, cumplidos de diciembre.
[0:00:05.50]-[0:00:07.50]  ¿Y cómo se llama?
[0:00:11.50]-[0:00:19.50]  Muy bien, pues yo quisiera saber que me contara algo de las tradiciones de este pueblo, las costumbres...
[0:00:19.50]-[0:00:47.00]  Las costumbres, por ejemplo, en la primavera pues ya a sembrar la tierra y luego arreglar, por ejemplo, lo que se siembra, que se llama sayar y reandar patates, maíz y cosas de la huerta, todo, porque todo siembre.
[0:00:47.00]-[0:00:59.00]  Ahora lo que pasa es que falta más de la mitad de la gente del pueblo, que no hay igual, porque la juventud marchó casi todo y viejos ya quedan pocos también.
[0:00:59.00]-[0:01:15.00]  Y luego la hierba, ahora estamos en la época de la hierba, pues la gente está toda por los pragos, con segadores, con tractores, con empacadores y todo eso.
[0:01:15.00]-[0:01:23.00]  Hoy fueron, pero mira, ahora en este momento ya no están haciendo nada, o sea, no pueden estar.
[0:01:23.00]-[0:01:49.00]  Y de manera que yo no recuerdo, bueno, de ir al monte, vi bastante lejos al ganado a catar las vaques, que madrugamos al amanecer y a la cumbre, ahí vimos al ganado.
[0:01:49.00]-[0:01:59.00]  Y después por el día a la hierba y a la tarde otra vez coger el montante y al monte otra vez al ganado.
[0:01:59.00]-[0:02:23.00]  Y antes no teníamos línea de ninguna clase, ir andando a la viana, que pasáis por la viana, ir andando y venir con un peso, con los comprabes, y después ya echaron la carretera
[0:02:23.00]-[0:02:41.00]  y pusiéramos un arcotán, pero no compensaba porque casi todo el mundo tiene una casa donde si no hay un coche hay tres, y el que tenía coche, dio a un coche y no esperaba la línea, y ahora no la tenemos.
[0:02:41.00]-[0:02:59.00]  Ahora tenemos que ir con alguien con el que tenga coche o el que puede ir andando va andando, yo no puedo ir andando, tengo que ir a recetar, bajo cuando la panadera y coger un taxi y venir en un taxi.
[0:02:59.00]-[0:03:27.00]  Y después, bueno, ahora después de terminar la hierba ya, a recoger la cosecha que sembraron, y después en tiempos de octubre por ejemplo, los castañes, porque también se recogían bastante porque aquí hay muchísimos.
[0:03:27.00]-[0:03:41.00]  Ahora no los recoge nadie. Y lo más para los cerdos, para el tiempo de San Martín, para engordar a los cerdos, para matarlos y hacer San Martín.
[0:03:41.00]-[0:04:01.00]  Hacen chorizos, hacen morcilla, hacen, dejaban los jamones para cuando va, cuando lo necesitaban.
[0:04:01.00]-[0:04:20.00]  Antes casi todo eran mineros, ahora ya mineros aquí creo que no hay, no sé si habrá uno solo, y de venir un autocar y llevar el autocar lleno de mineros y traerlos hasta aquí.
[0:04:20.00]-[0:04:35.00]  Pero claro, hay muchos projubilaos, otros ya murieron, y que trabajen, no creo que haya más que uno solo ya que trabaje en la mina.
[0:04:35.00]-[0:04:38.00]  Entonces estamos en un pueblo minero, ¿no?
[0:04:38.00]-[0:04:55.00]  Sí, sí, aquí la octuenta minera. Algo cerraron bastantes pozos que hacían en Villoria, este pueblo que pasaste es último, se llama Villoria, y ahí había un pozo y ahí trabajaron bastante los mineros.
[0:04:55.00]-[0:05:19.00]  Y dejaron que era cemento de Fradera, se llamaba el pozo de Fradera, y después cerraron sin terminar, no cerraron porque no había carbón, cerraron porque los dueños ya, no sé, eran catalanes y no quisieron ya seguir con ello y cerraron los pozos.
