[0:00:00.00]-[0:00:01.00]  ¿Y por qué?
[0:00:01.00]-[0:00:04.00]  Pues por qué no, porque te engañan.
[0:00:04.00]-[0:00:06.00]  No se preocupen, a la media vuelta.
[0:00:06.00]-[0:00:08.00]  Estamos en la plaza del pueblo.
[0:00:08.00]-[0:00:09.00]  Igual usted nos engaña, pero mejor nosotros.
[0:00:09.00]-[0:00:11.00]  Yo no, hijo mío, yo madre mía.
[0:00:11.00]-[0:00:13.00]  Dios me libre.
[0:00:13.00]-[0:00:15.00]  Dios me libre.
[0:00:15.00]-[0:00:17.00]  No, pero te engañan por menos de una perra gorda.
[0:00:17.00]-[0:00:20.00]  Pues no se preocupen, tienen aquí a su hija por si pasa algo.
[0:00:20.00]-[0:00:21.00]  No pasa nada, ¿vale?
[0:00:21.00]-[0:00:23.00]  Por eso me la he traído.
[0:00:23.00]-[0:00:24.00]  Perfecto.
[0:00:24.00]-[0:00:29.00]  Mi hija mía baja porque, que se yo lo que pasará.
[0:00:29.00]-[0:00:31.00]  Bueno, a ver, empezamos.
[0:00:31.00]-[0:00:33.00]  Bueno, buenas tardes.
[0:00:33.00]-[0:00:35.00]  Se llama usted doña...
[0:00:35.00]-[0:00:37.00]  No, no es doña...
[0:00:37.00]-[0:00:39.00]  Mujer doña, por Dios.
[0:00:39.00]-[0:00:41.00]  Antes me decían seña.
[0:00:41.00]-[0:00:43.00]  Seña.
[0:00:43.00]-[0:00:45.00]  Seña.
[0:00:45.00]-[0:00:47.00]  Nos puede decir usted su edad, por favor, para que lo...
[0:00:47.00]-[0:00:50.00]  Mi edad, muy pocos años, 85.
[0:00:50.00]-[0:00:52.00]  Ah, bueno, pues muy pocos.
[0:00:52.00]-[0:00:53.00]  No pasa nada.
[0:00:53.00]-[0:00:54.00]  Fenomenal.
[0:00:54.00]-[0:00:56.00]  Mira a mi hija como se ríe.
[0:00:56.00]-[0:00:58.00]  Bueno, no se preocupe.
[0:00:58.00]-[0:01:00.00]  Bueno, pues vamos a hablar...
[0:01:00.00]-[0:01:02.00]  ¿Cómo empezamos?
[0:01:02.00]-[0:01:04.00]  Más vale que me vaya.
[0:01:04.00]-[0:01:06.00]  No, no te vayas.
[0:01:06.00]-[0:01:07.00]  No te vayas.
[0:01:07.00]-[0:01:08.00]  No se preocupe.
[0:01:08.00]-[0:01:09.00]  Si quieres estar aquí...
[0:01:09.00]-[0:01:11.00]  No, no te vayas, no.
[0:01:11.00]-[0:01:13.00]  Usted no se preocupe.
[0:01:13.00]-[0:01:16.00]  No, que estaré seria así ahora.
[0:01:16.00]-[0:01:18.00]  Bueno, pues a ver, vamos a hablar de las tradiciones,
[0:01:18.00]-[0:01:20.00]  tanto de Urries como un poco de la zona de Urries.
[0:01:20.00]-[0:01:23.00]  En este caso, nos habla usted de lo que haya vivido y demás, ¿vale?
[0:01:23.00]-[0:01:25.00]  Vamos a ver varios temas.
[0:01:25.00]-[0:01:28.00]  Entonces, en primer lugar, queremos que nos hable un poco del tema de la matanza.
[0:01:28.00]-[0:01:31.00]  Es decir, ¿han tenido ustedes en el pueblo cerdos?
[0:01:31.00]-[0:01:33.00]  ¿Cómo han realizado la matanza?
[0:01:33.00]-[0:01:34.00]  Sí, sí.
[0:01:34.00]-[0:01:35.00]  Dígame.
[0:01:35.00]-[0:01:38.00]  Pues había cerdos y la matanza, pues...
[0:01:38.00]-[0:01:41.00]  El caso es que no sé cómo empezar, a ver si me sale.
[0:01:41.00]-[0:01:43.00]  Por ejemplo, dígame, en primer lugar...
[0:01:43.00]-[0:01:45.00]  ¿Tenían ustedes cerdos, por ejemplo, en su casa?
[0:01:45.00]-[0:01:46.00]  Sí, en mi casa sí.
[0:01:46.00]-[0:01:47.00]  ¿Cuándo hacían la matanza?
[0:01:47.00]-[0:01:50.00]  Pues se hacía en enero, por ahí en enero.
[0:01:50.00]-[0:01:52.00]  Era el tiempo mejor para San Sebastián.
[0:01:52.00]-[0:01:53.00]  Ya.
[0:01:53.00]-[0:01:55.00]  Y se hacía en enero, en el 20 de enero, se solía hacer.
[0:01:55.00]-[0:01:56.00]  ¿Cómo lo hacían?
[0:01:56.00]-[0:01:57.00]  Ah, pues...
[0:01:57.00]-[0:01:58.00]  ¿Los procesos?
[0:01:58.00]-[0:01:59.00]  ¿Primero llegaban al animal?
[0:01:59.00]-[0:02:01.00]  Primero, no, primero se ponía el agua a calentar.
[0:02:01.00]-[0:02:05.00]  Cuando el agua empezaba a hervir, se sacaba el animal y se mataba.
[0:02:05.00]-[0:02:06.00]  Después ya lo escaldaban.
[0:02:06.00]-[0:02:07.00]  ¿Cómo lo mataban?
[0:02:07.00]-[0:02:10.00]  Lo mataban con un cuchillo.
[0:02:10.00]-[0:02:11.00]  ¿Y lo vieron?
[0:02:11.00]-[0:02:15.00]  Sí, sí, había cuatro personas para tenerlo.
[0:02:15.00]-[0:02:18.00]  Y después le clavaban el cuchillo y lo sangraban.
[0:02:18.00]-[0:02:20.00]  Muy bien.
[0:02:20.00]-[0:02:29.00]  Y después se echaba el... sí, los caldaban, lo limpiaban, primero cogían la sangre para hacer las morcillas.
[0:02:29.00]-[0:02:36.00]  Con la mano se le iba dando vuelta en esto grande, en una bañera grande para que la sangre no se coagulara.
[0:02:36.00]-[0:02:39.00]  Y le iban dando la vuelta.
[0:02:39.00]-[0:02:41.00]  Y es que me da risa.
[0:02:41.00]-[0:02:42.00]  No, no, no.
[0:02:42.00]-[0:02:43.00]  Dígame.
[0:02:43.00]-[0:02:46.00]  Para que no se coagulara la sangre.
[0:02:46.00]-[0:02:53.00]  Y después ya el proceso de sacarle las tripas y a pues limpiar las tripas y hacer las morcillas.
[0:02:53.00]-[0:02:58.00]  Primero venían las morcillas, después ya se despedazaba el tocino y a hacer las longanizas.
[0:02:58.00]-[0:03:04.00]  A porlarlas con una capoladra de mano, de aquellas que se hacía a mano y a hacer las longanizas.
[0:03:04.00]-[0:03:15.00]  Y después ya hasta a partir el cerdo, a partir el cerdo y a salarlo y todo eso.
[0:03:15.00]-[0:03:17.00]  ¿Quién lo mataba y quién hacía cada labor?
[0:03:17.00]-[0:03:23.00]  Pues eso lo hacía, había un matachín que los mataba y la labor pues lo hacían las amas de casa.
[0:03:23.00]-[0:03:24.00]  Las mujeres de la casa.
[0:03:24.00]-[0:03:25.00]  Sí.
[0:03:25.00]-[0:03:26.00]  ¿Y los hombres?
[0:03:26.00]-[0:03:29.00]  Y los hombres pues los hombres a almorzar y a comer tranquilamente.
[0:03:29.00]-[0:03:31.00]  Y a licar el mondongo también.
[0:03:31.00]-[0:03:32.00]  No.
[0:03:32.00]-[0:03:41.00]  Toma, después a almorzar, pues eso, esto a almorzar y las mujeres ya se encargaban ya de hacer el mondongo,
[0:03:41.00]-[0:03:45.00]  de hacer las longanizas, las morcillas y todo eso.
[0:03:45.00]-[0:03:46.00]  ¿Mondongo es o qué?
[0:03:46.00]-[0:03:53.00]  Mondongo es todo, hacer las morcillas y las longanizas. Se llamaba mondongo.
[0:03:53.00]-[0:03:58.00]  ¿Y se pagaba algún dinero por esto? ¿No se pagaba? ¿Se daba a los vecinos? ¿Cómo funcionaba esto?
[0:03:58.00]-[0:03:59.00]  No, no, no, no.
[0:03:59.00]-[0:04:02.00]  Claro, yo no puedo hablar, pero me acuerdo que se pagaba al matachín.
[0:04:02.00]-[0:04:03.00]  Aquí no, no.
[0:04:03.00]-[0:04:04.00]  ¿Aquí se pagaba?
[0:04:04.00]-[0:04:11.00]  No, no se pagaba porque a nosotros nos mataba un tío mío, un hermano de mi madre.
[0:04:11.00]-[0:04:12.00]  Ah, pero en este caso.
[0:04:12.00]-[0:04:13.00]  Sí.
[0:04:16.00]-[0:04:19.00]  Es que tiene el micrófono, si hablan el caso es que no coge el resto.
[0:04:19.00]-[0:04:21.00]  Y participaba toda la familia.
[0:04:21.00]-[0:04:26.00]  Sí, sí, sí, todos y mucha gente que se invitaba a la matacía.
[0:04:26.00]-[0:04:27.00]  Hasta luego.
[0:04:27.00]-[0:04:28.00]  Hasta luego.
[0:04:28.00]-[0:04:29.00]  Ya voy, ya voy.
[0:04:29.00]-[0:04:36.00]  Hasta… y todo eso, todo eso es… es que me aturrullo yo.
[0:04:36.00]-[0:04:39.00]  ¿Había que tratar el jamón de alguna forma para que no picara la mosca?
[0:04:39.00]-[0:04:49.00]  Sí, sí, había que ponerle un sal. Se tenía un mes o por ahí ensalar los jamones con mucha sal para que las moscas se secaran.
[0:04:49.00]-[0:04:50.00]  Ah, estúpido.
[0:04:50.00]-[0:04:53.00]  Después ya se lavaban un poco para quitarles un poco la sal y se colgaban.
[0:04:53.00]-[0:04:58.00]  ¿Tuvieron problemas con alguna vez que picase el jamón?
[0:04:58.00]-[0:04:59.00]  Ay sí, alguna vez sí.
[0:04:59.00]-[0:05:00.00]  ¿Y qué pasó?
[0:05:00.00]-[0:05:01.00]  Pues que había que tirarlo.
[0:05:01.00]-[0:05:03.00]  Ah, ya.
[0:05:03.00]-[0:05:10.00]  Se conservaba todo, todo. Y las longanizas también se conservaban en unas ollas grandes con aceite.
[0:05:10.00]-[0:05:11.00]  Ya.
[0:05:11.00]-[0:05:14.00]  Las longanizas se conservaban en aceite.
[0:05:14.00]-[0:05:20.00]  ¿Y tiene alguna… ¿recuerda algún anécdota especial con respecto a la matanza o algo así en su vida? Vamos, alguna.
[0:05:20.00]-[0:05:21.00]  Una vez…
[0:05:21.00]-[0:05:22.00]  Un caso de ser de una vez.
[0:05:22.00]-[0:05:24.00]  Ah, sí, ay, una vez.
[0:05:24.00]-[0:05:28.00]  Cuéntennos.
[0:05:28.00]-[0:05:33.00]  Que se nos estaban, iban a coger el cerdo, se les escapa y brincó una altura, pero así, así, ¿eh?
[0:05:33.00]-[0:05:38.00]  Y después, claro, otra vez a sacarlo, el cerdo, como se podía.
[0:05:38.00]-[0:05:41.00]  Ya.
[0:05:41.00]-[0:05:43.00]  Pues eso, todas esas cosas.
[0:05:43.00]-[0:05:44.00]  Pues muy bien.
[0:05:44.00]-[0:05:45.00]  Niños y yo…
[0:05:45.00]-[0:05:48.00]  Vamos por los cultivos, algo así. Esperamos por los cultivos.
[0:05:48.00]-[0:05:50.00]  Ah, los cultivos.
[0:05:50.00]-[0:05:51.00]  Mira.
[0:05:51.00]-[0:05:54.00]  Él se habría dicho todo mejor.
[0:05:54.00]-[0:05:58.00]  No, no pasa nada. Es una experiencia personal un poco de cada uno, entonces tampoco pasa nada.
[0:05:58.00]-[0:06:02.00]  Y bueno, vamos ahora un poco de la matanza ahora.
[0:06:02.00]-[0:06:06.00]  Ahora queremos que nos hable también un poco del tema de los cultivos, de la agricultura.
[0:06:06.00]-[0:06:08.00]  ¿Había agricultura hace años?
[0:06:08.00]-[0:06:11.00]  Había huertas, sí. Se sembraba aquí, pues de todo.
[0:06:11.00]-[0:06:19.00]  Patatas, cebollas, judías, coles, tomates, pimientos, de todo, de todo. Se sembraba de todo.
[0:06:19.00]-[0:06:22.00]  ¿Y luego eso, que era para la gente, se vendía?
[0:06:22.00]-[0:06:23.00]  No, no, era para casa.
[0:06:23.00]-[0:06:24.00]  Para casa.
[0:06:24.00]-[0:06:29.00]  Todo para casa. Aquí no se vendía. No se vendía nada porque se consumía todo en casa.
[0:06:29.00]-[0:06:33.00]  ¿Y luego conseguían dinero con eso también? Porque claro, había cosas que había que comprar.
[0:06:33.00]-[0:06:37.00]  Pues la sal, o a lo mejor, no sé, sal, azúcar, ¿no?
[0:06:37.00]-[0:06:38.00]  No, no.
[0:06:38.00]-[0:06:39.00]  Que son cosas que no se pueden hacer en casa.
[0:06:39.00]-[0:06:41.00]  Hombre, eso se compraba todo, no…
[0:06:41.00]-[0:06:43.00]  Pero la gente vendía huevos…
[0:06:43.00]-[0:06:47.00]  Hombre, huevos, algún huevo si sobraba vendían, y conejos también.
[0:06:47.00]-[0:06:49.00]  Y gallinas también.
