[0:00:00.00]-[0:00:05.00]  Estamos con Errigoiti.
[0:00:05.00]-[0:00:09.00]  ¡Barpotín!
[0:00:09.00]-[0:00:13.00]  ¿Cuántos años tiene? Más o menos, no nos tiene que decir la verdad del todo.
[0:00:13.00]-[0:00:15.00]  Yo 84.
[0:00:15.00]-[0:00:17.00]  ¿84 años tiene?
[0:00:17.00]-[0:00:18.00]  Sí.
[0:00:18.00]-[0:00:21.00]  ¿Y cómo se conserva también? ¿Por la energía que tiene?
[0:00:21.00]-[0:00:22.00]  No sé.
[0:00:22.00]-[0:00:24.00]  ¿Y el optimismo que tiene?
[0:00:24.00]-[0:00:27.00]  No sé por qué, pero 84 tengo.
[0:00:27.00]-[0:00:29.00]  Pues 84 años muy bien llevados.
[0:00:29.00]-[0:00:30.00]  En abril hecho.
[0:00:30.00]-[0:00:31.00]  ¿Sí?
[0:00:31.00]-[0:00:32.00]  Sí.
[0:00:32.00]-[0:00:37.00]  Bueno, a ver, cuando era pequeña, ¿dónde vivía usted?
[0:00:37.00]-[0:00:41.00]  Ahí en nuestro caserío, ahí atrás del cementerio.
[0:00:41.00]-[0:00:43.00]  Sí.
[0:00:43.00]-[0:00:44.00]  Y...
[0:00:44.00]-[0:00:49.00]  Ahí hemos vivido diez hermanos.
[0:00:49.00]-[0:00:54.00]  Y luego vinimos al lado de esta casa, que había una alza que había ahí.
[0:00:54.00]-[0:00:57.00]  Luego nos despacharon y vinimos aquí.
[0:00:57.00]-[0:00:58.00]  ¿Por qué los despacharon?
[0:00:58.00]-[0:01:01.00]  Porque querían ellos el caserío, no era nuestro.
[0:01:01.00]-[0:01:03.00]  Estamos en nuestro.
[0:01:03.00]-[0:01:06.00]  Y luego pues me casé con un primo carnal.
[0:01:06.00]-[0:01:10.00]  Aquí me casé y aquí estoy. Llevo 60 años aquí.
[0:01:10.00]-[0:01:14.00]  O sea que usted empezó a trabajar en este bar hace 60 años.
[0:01:14.00]-[0:01:15.00]  Hace 60 años.
[0:01:15.00]-[0:01:19.00]  Y siempre trabajando. Y pobre hija.
[0:01:19.00]-[0:01:22.00]  Este...
[0:01:22.00]-[0:01:25.00]  En 60 años, fíjate.
[0:01:25.00]-[0:01:27.00]  Sí.
