[0:00:00.00]-[0:00:02.00]  Están en misa ahora.
[0:00:02.00]-[0:00:04.00]  No quiero saber mucho de todo esto.
[0:00:04.00]-[0:00:08.00]  Entonces, ¿les puede contar cómo son las fiestas?
[0:00:08.00]-[0:00:10.00]  Las fiestas son enormes.
[0:00:10.00]-[0:00:12.00]  ¿Y qué hacen?
[0:00:12.00]-[0:00:17.00]  Hacen de todo. Hacen para mayores, para ancianos, para chicos, para todos.
[0:00:17.00]-[0:00:19.00]  Las fiestas son en agosto.
[0:00:19.00]-[0:00:21.00]  Antes eran en el pilar.
[0:00:21.00]-[0:00:25.00]  Pero con esto y la gente y esa... las capitales, a las fábricas,
[0:00:25.00]-[0:00:30.00]  eso tiene que ser cuando pueden. Entonces, ahora cambian en agosto.
[0:00:30.00]-[0:00:34.00]  Y hay unas fiestas que empiezan el 7 hasta el 15.
[0:00:34.00]-[0:00:36.00]  ¿Y qué dicen, eh?
[0:00:36.00]-[0:00:38.00]  La dicen de la Asunción.
[0:00:38.00]-[0:00:41.00]  Aquí hay de todo. Todo que quieras.
[0:00:41.00]-[0:00:43.00]  ¿Y qué se hace? ¿El baile?
[0:00:43.00]-[0:00:45.00]  Hacen verbenas ahí en la plaza.
[0:00:45.00]-[0:00:48.00]  Luego arreglan. Hacen verbenas.
[0:00:48.00]-[0:00:52.00]  A la noche hacen disfraces.
[0:00:52.00]-[0:00:57.00]  Difraces, dibujos para los chicos, concursos.
[0:00:57.00]-[0:01:01.00]  Luego les traen a las escuelas, en el patio de las escuelas también.
[0:01:01.00]-[0:01:05.00]  Trenan los crostas por el pueblo y hacen cochos deshinchables.
[0:01:05.00]-[0:01:07.00]  Y ahí sí lo pasan bien.
[0:01:07.00]-[0:01:10.00]  Hacen cargar de bicicleta. Hacen rallies.
[0:01:10.00]-[0:01:13.00]  Cada uno se apunta a un concurso.
[0:01:13.00]-[0:01:15.00]  Y está bien.
[0:01:15.00]-[0:01:18.00]  Luego hacen por la noche concursos de gachas.
