[0:00:00.00]-[0:00:02.00]  de aquí, ¿no?
[0:00:02.00]-[0:00:07.56]  Por supuesto que esta casa ha sido un casino, el bar de los señores, era de mis abuelos
[0:00:08.40]-[0:00:16.56]  y este era el bar de los señores, esto todo, esta habitación con esa que era unida era el casino
[0:00:16.84]-[0:00:20.22]  con el baile en la caridad
[0:00:21.04]-[0:00:23.04]  hacían el baile aquí
[0:00:23.16]-[0:00:28.44]  y ahí detrás de la puerta pues tenían la barra y luego pues
[0:00:28.44]-[0:00:34.72]  ya empezaron a morir mis abuelos y eso y ya por la cosa empezó a
[0:00:34.72]-[0:00:37.28]  a cambiar la procesión de
[0:00:37.28]-[0:00:40.28]  empezando por las matanzas
[0:00:40.28]-[0:00:46.16]  bueno pues en el invierno las matanzas aquí todo el mundo criaba sus cerdos en sus corrales
[0:00:46.16]-[0:00:52.20]  como criaban las gallinas y lo que había antes pues eran los estercoleros
[0:00:52.20]-[0:00:56.64]  y un cachito de esas urdas donde guardaban los, criaban los guarros
[0:00:56.64]-[0:01:01.36]  y de que llegaba ya a partir de diciembre pues los guarros se mataban
[0:01:01.36]-[0:01:04.36]  con la sangre se hacía el mondongo
[0:01:04.36]-[0:01:09.96]  con los desperdicios así un poco del cerdo se hacía el mondongo
[0:01:09.96]-[0:01:14.16]  con la grasa y un poquito de carne se hacía la morcilla
[0:01:14.16]-[0:01:19.40]  y luego ya se hacía el chorizo blanco y el chorizo rojo
[0:01:19.40]-[0:01:23.76]  y los lombos se ponían, se salaban y al día siguiente
[0:01:23.76]-[0:01:28.76]  ya se salaba y se colgaban y al día siguiente pues se llenaban
[0:01:28.76]-[0:01:34.76]  se llenaban en la tripa del guarro antes y luego ya pues con la grasa luego se le quitaba
[0:01:34.76]-[0:01:40.76]  y se hacía la manteca, se deshacía la manteca y de la manteca se hacían los chacharrones
[0:01:40.76]-[0:01:41.76]  ¿Cómo se hacía la manteca?
[0:01:41.76]-[0:01:46.76]  Pues la manteca es una tela que tiene, el guarro tiene una tela
[0:01:46.76]-[0:01:51.76]  y esa tela pues se tiende y se deja sereno
[0:01:51.76]-[0:01:56.76]  y luego por la mañana pues se despegaba muy bien
[0:01:56.76]-[0:02:01.76]  se despega y se hace trocito, se enjuaga y se echa al caldero
[0:02:01.76]-[0:02:07.76]  y se le da vuelta, se le da vuelta hasta que ya se queda como unos jarvancitos
[0:02:07.76]-[0:02:09.76]  que son los chicharrones
[0:02:09.76]-[0:02:11.76]  ¿Los chicharrones?
