[0:00:00.00]-[0:00:02.00]  ¿Usted nació aquí entonces?
[0:00:02.00]-[0:00:04.00]  Sí, sí, yo nací el año 22.
[0:00:04.00]-[0:00:07.00]  ¿Y criaron a usted aquí?
[0:00:07.00]-[0:00:09.00]  Que si me criaban aquí, sí, sí.
[0:00:09.00]-[0:00:11.00]  Una casa más pequeña que esta, mucho más pequeña.
[0:00:11.00]-[0:00:14.00]  Una calle Camión Cabreras nací yo.
[0:00:14.00]-[0:00:16.00]  Pues a ver cómo era la casa.
[0:00:16.00]-[0:00:17.00]  ¿A qué ve?
[0:00:17.00]-[0:00:19.00]  ¿Cómo eran las casas antiguas y todo eso?
[0:00:19.00]-[0:00:21.00]  Ah, pues al carácter lo vamos a enseñar y creer.
[0:00:21.00]-[0:00:23.00]  Vosotros vamos allí, vamos allí, ¿sabéis cómo va?
[0:00:23.00]-[0:00:25.00]  Ah, vamos a cortar y contergarnos y luego vamos.
[0:00:25.00]-[0:00:27.00]  Ah, bueno, bien, nada.
[0:00:27.00]-[0:00:30.00]  Pues era una entradica, siempre, chino así.
[0:00:30.00]-[0:00:32.00]  Y un cuarto, una cocina de para mujer.
[0:00:32.00]-[0:00:34.00]  Un corralico que se llama.
[0:00:34.00]-[0:00:35.00]  Claro.
[0:00:35.00]-[0:00:36.00]  Un corralico pequeño.
[0:00:36.00]-[0:00:40.00]  Luego hay una pocilguita que se llamaba para meter un cerdo.
[0:00:40.00]-[0:00:44.00]  Y nada más, y luego un cachico pajar que se metía allí la poca paja.
[0:00:44.00]-[0:00:46.00]  Cuatro manojos y cosas de esas.
[0:00:46.00]-[0:00:48.00]  ¿Cómo llamaban a la pocilguita, de hecho?
[0:00:48.00]-[0:00:50.00]  Para los cerdos, unas pocilgas se llamaban.
[0:00:50.00]-[0:00:52.00]  Para meter un cerdo, una pocilga.
[0:00:52.00]-[0:00:53.00]  Una cochinera.
[0:00:53.00]-[0:00:54.00]  Una cochinera, bueno.
[0:00:54.00]-[0:00:55.00]  Pero antes se llamaban pocilgas.
[0:00:55.00]-[0:00:57.00]  Y era un pocilguita.
[0:00:57.00]-[0:01:01.00]  Y es una habitación casi capuz, con una entrada y un portalico pequeño,
[0:01:01.00]-[0:01:03.00]  medio hundido casi casi.
[0:01:03.00]-[0:01:07.00]  A la derecha de la habitación, una cocinica y otra habitación a la izquierda.
[0:01:07.00]-[0:01:08.00]  Y nada más.
[0:01:08.00]-[0:01:11.00]  Y el pasillo no tenía un nombre así especial.
[0:01:11.00]-[0:01:12.00]  Pues no, pasillo nada.
[0:01:12.00]-[0:01:13.00]  El portal.
[0:01:13.00]-[0:01:16.00]  No era portal, otra cosa nada.
