[0:00:00.00]-[0:00:02.00]  ¿Sientes usted donde se esté más cómodo?
[0:00:02.00]-[0:00:05.00]  Yo me siento aquí, porque siempre me siento aquí.
[0:00:05.00]-[0:00:06.00]  Perfecto.
[0:00:08.00]-[0:00:09.00]  Ah, pero van a grabarme todo.
[0:00:09.00]-[0:00:10.00]  Sí, no importa.
[0:00:10.00]-[0:00:12.00]  No, no, no.
[0:00:12.00]-[0:00:16.00]  Es que vamos tomando notas en Telecinco, en el Sábanos Mediario.
[0:00:16.00]-[0:00:18.00]  No, esto no va a la tele.
[0:00:18.00]-[0:00:20.00]  No lo vamos a hacer famoso.
[0:00:20.00]-[0:00:21.00]  No, no, no.
[0:00:22.00]-[0:00:26.00]  Estos son materiales para nosotros, pero no tenemos permiso esto para difundirlo.
[0:00:26.00]-[0:00:30.00]  Entonces ustedes trabajan en la Universidad.
[0:00:30.00]-[0:00:33.00]  En distintas universidades, pero estas chicas son estudiantes,
[0:00:33.00]-[0:00:35.00]  estudiando mi vocabulario,
[0:00:35.00]-[0:00:38.00]  está en la Universidad de Valenciaga.
[0:00:38.00]-[0:00:40.00]  Aquí en la Universidad de Valenciaga.
[0:00:40.00]-[0:00:41.00]  La Politécnica.
[0:00:41.00]-[0:00:43.00]  Ah, la Politécnica.
[0:00:43.00]-[0:00:44.00]  Es becario.
[0:00:44.00]-[0:00:45.00]  Es becario.
[0:00:45.00]-[0:00:46.00]  Ah, que bien.
[0:00:46.00]-[0:00:47.00]  Sí, sí, pero bien, pero bien.
[0:00:47.00]-[0:00:52.00]  Con cinco años terminó la carrera de ingeniero superior, telecomunicaciones y robótica,
[0:00:52.00]-[0:00:53.00]  y además hizo el proyecto.
[0:00:53.00]-[0:00:59.00]  Ya lleva tres o cuatro años de... para quedarse, ¿cómo se llama eso?
[0:01:01.00]-[0:01:02.00]  Tres o cuatro años.
[0:01:02.00]-[0:01:03.00]  Sí.
[0:01:03.00]-[0:01:04.00]  Haciendo la tesis estará.
[0:01:04.00]-[0:01:07.00]  No, la tesis ya la he hecho, pero de...
[0:01:07.00]-[0:01:08.00]  del doctorado.
[0:01:08.00]-[0:01:14.00]  Ya lleva tres años y ahora me parece que se va un año para practicar más el inglés a Estados Unidos.
[0:01:14.00]-[0:01:16.00]  Ya ha estado tres veces allá.
[0:01:16.00]-[0:01:17.00]  En Estados Unidos.
[0:01:17.00]-[0:01:19.00]  Y lo quieren allá.
[0:01:19.00]-[0:01:21.00]  No, él va por practicar...
[0:01:21.00]-[0:01:23.00]  Pero igual, tal y como está la cosa...
[0:01:23.00]-[0:01:27.00]  Pues casi seguro que a lo mejor... igual va a trabajar también.
[0:01:27.00]-[0:01:28.00]  Le ofrecerán.
[0:01:28.00]-[0:01:32.00]  Pero no, pero él seguramente lo que quiere es quedarse aquí en la docencia en...
[0:01:32.00]-[0:01:33.00]  Aquí en Valencia.
[0:01:33.00]-[0:01:34.00]  En Valencia, sí.
[0:01:34.00]-[0:01:35.00]  Ya no.
[0:01:35.00]-[0:01:40.00]  Y parece que los profesores que tiene encima le... parece que como se ve que es un chico que va,
[0:01:40.00]-[0:01:45.00]  le digo yo, porque de la forma que va... eso pues...
[0:01:45.00]-[0:01:46.00]  No.
[0:01:46.00]-[0:01:48.00]  Por eso le digo yo si trabajan ustedes en la Politécnica.
[0:01:48.00]-[0:01:52.00]  No, no, no, nosotros somos más de letras que de ciencias.
[0:01:52.00]-[0:01:54.00]  Yo vengo de la Universidad de Munich.
[0:01:54.00]-[0:01:55.00]  De Munich.
[0:01:55.00]-[0:01:56.00]  En Alemania.
[0:01:56.00]-[0:01:57.00]  Eso de Alemania.
[0:01:57.00]-[0:02:00.00]  Alemania, pero vamos, mi universidad de origen es la Complutense, en Madrid.
[0:02:00.00]-[0:02:05.00]  Así que es un proyecto que somos de varias universidades y vamos por los pueblos,
[0:02:05.00]-[0:02:07.00]  preguntando cómo era la vida antes en el campo.
[0:02:07.00]-[0:02:09.00]  Entonces lo que nos interesa es...
[0:02:09.00]-[0:02:14.00]  Pues yo les puedo contar desde que yo tengo prácticamente uso de razón, ¿eh?
[0:02:14.00]-[0:02:20.00]  Y... el uso de razón era que mi padre trabajaba en la obra.
[0:02:20.00]-[0:02:26.00]  Y yo ya a los doce años ya me salí de escuela para ir a la obra con dos cántaros a coger agua...
[0:02:26.00]-[0:02:28.00]  Aquí no había agua potable ni nada, ¿eh?
[0:02:28.00]-[0:02:35.00]  O sea que había unos algibres en la casa y para la obra iba yo con dos cántaros a la fuente,
[0:02:35.00]-[0:02:37.00]  cogía la agua y la tiraba a un bidón.
[0:02:37.00]-[0:02:38.00]  Ya la envolvía.
[0:02:38.00]-[0:02:40.00]  Y esa es la primer feina que hice yo.
[0:02:40.00]-[0:02:44.00]  Luego estuve trabajando en una casa que tenía vacas y mire,
[0:02:44.00]-[0:02:52.00]  un corte limpiando la... afilando la guadaña, un corte aquí.
[0:02:52.00]-[0:02:57.00]  Y dos cortes aquí, segando hierba en la... eso sí, he hecho de todo en esta vida.
[0:02:57.00]-[0:03:03.00]  O sea que... y en fin, aquí se trabajaba todo del campo, sí.
[0:03:03.00]-[0:03:07.00]  Aquí tenemos una zona que está junto entre Masalabeg y Albirique,
[0:03:07.00]-[0:03:13.00]  que pasas tres términos que se llama Resolane y allí era... allí se hacía el arroz.
[0:03:13.00]-[0:03:19.00]  Y a pie, doce kilómetros, bueno, doce o... once o doce kilómetros,
[0:03:19.00]-[0:03:24.00]  a pie los hombres, a segar el arroz y por la tarde para que acase a pie.
[0:03:24.00]-[0:03:26.00]  Sí, sí.
[0:03:26.00]-[0:03:28.00]  ¿Y qué faena lleva el arroz? ¿Cómo se...
[0:03:28.00]-[0:03:31.00]  Bueno, el arroz antes llevaba más faena que ahora.
[0:03:31.00]-[0:03:36.00]  Ahora lo siembran a voleo o el tractor con una... la siembra y a...
[0:03:36.00]-[0:03:41.00]  antes no, antes hacían el planter con campos y hacían, tiraban y estaba juntito.
[0:03:41.00]-[0:03:47.00]  Luego lo arrancaban, tipo china todavía que meten los dedos y plantaban aquí igual, sí.
[0:03:47.00]-[0:03:50.00]  Y ahora ya no, ahora ya la albufera aquí ya no se hace arroz.
[0:03:50.00]-[0:03:55.00]  En la albufera ya pues el tractor espolvorea la... la simiente, ya sale y...
[0:03:55.00]-[0:03:59.00]  y ya... las recogen también las máquinas cosechadoras.
[0:03:59.00]-[0:04:04.00]  Era curioso el arroz porque se cegaba, hacían los manojos.
