[0:00:00.00]-[0:00:02.00]  Hola, ¿ves? ¿En verdad?
[0:00:04.00]-[0:00:06.00]  Hoy me pongo y se fue un talante.
[0:00:08.00]-[0:00:09.00]  ¿Qué pasa?
[0:00:09.00]-[0:00:11.00]  Hola, ¿cómo estás?
[0:00:11.00]-[0:00:15.00]  A ver, si nos lo explican un poco la matanza.
[0:00:15.00]-[0:00:20.00]  Pues las matanzas se hacían en diciembre, enero, febrero.
[0:00:20.00]-[0:00:28.00]  Pues bueno, se hacían morcillas, se salaba el tocino, se hacían jamones,
[0:00:28.00]-[0:00:36.00]  se hacían chorizos, pero bueno, eso ya terminó, ya no se hacía.
[0:00:36.00]-[0:00:41.00]  ¿Cómo era el proceso? ¿Cómo se hacía?
[0:00:41.00]-[0:00:42.00]  ¿Eh?
[0:00:42.00]-[0:00:44.00]  ¿El proceso de...
[0:00:44.00]-[0:00:46.00]  ¿Cómo lo alimentaban o...?
[0:00:46.00]-[0:00:53.00]  No, con qué lo alimentábamos, con cerada, maíz, algo de compuesto,
[0:00:53.00]-[0:00:56.00]  poco compuesto, nada más para...
[0:00:56.00]-[0:00:59.00]  Eso de compuesto, cerado, para sacarlos adelante.
[0:00:59.00]-[0:01:05.00]  He criado yo, bueno, hemos criado manadas de cerdo hasta los 100 kilos.
[0:01:05.00]-[0:01:09.00]  Esos comían todo compuesto porque iban todos al matadero.
[0:01:09.00]-[0:01:12.00]  ¿No era para uso familiar?
[0:01:12.00]-[0:01:16.00]  No, tenía... mataba a dos para uso familiar.
[0:01:16.00]-[0:01:18.00]  ¿Y quién lo mataba a ellos?
[0:01:18.00]-[0:01:27.00]  Pues los que mataban los cerdos, unos hombres que venían aquí donde los matábamos y eso.
[0:01:27.00]-[0:01:32.00]  Las morcillas se hacían con arroz y trasada del cerdo.
[0:01:32.00]-[0:01:38.00]  El escrutivo se hacía con todo lo magro del cerdo, con las cabezadas,
[0:01:38.00]-[0:01:44.00]  que es que va unido al lomo, el lomo no se echaba, y se hacían los chorizos, longanizas.
[0:01:44.00]-[0:01:50.00]  Después los perniles se salaban los días que tenía poco más o menos el cerdo.
[0:01:50.00]-[0:01:54.00]  Si era grande había que tenerlos 21 días a sal.
[0:01:54.00]-[0:01:58.00]  Después se lavaban y se ponían ya al aire.
[0:01:58.00]-[0:01:59.00]  Eso es...
[0:01:59.00]-[0:02:01.00]  ¿Los perniles o los jamones, no?
[0:02:01.00]-[0:02:06.00]  Sí, los jamones, los jamones.
[0:02:06.00]-[0:02:10.00]  Después se salían también dos jamones y un cerdo,
[0:02:10.00]-[0:02:14.00]  y dos paletillas que son las manos de adelante.
[0:02:14.00]-[0:02:16.00]  Eso era el cerdo.
[0:02:16.00]-[0:02:18.00]  A ver, más.
[0:02:21.00]-[0:02:27.00]  En el campo, algo del campo, ¿había cultivo de huerta familiar?
[0:02:27.00]-[0:02:30.00]  Sí, aquí tengo una que nos ha dado llena de hierba.
[0:02:30.00]-[0:02:36.00]  Ahí la cultivamos, tuvo la mitad del corral, es media huerta,
[0:02:36.00]-[0:02:39.00]  pero no la cultivamos ahora porque mi marido no puede.
[0:02:39.00]-[0:02:42.00]  Se sembraban las bardenas.
[0:02:42.00]-[0:02:47.00]  Iban los sobres al principio, o todo con caballerías.
[0:02:47.00]-[0:02:50.00]  Se tenía asegadoras para asegar el trigo.
[0:02:50.00]-[0:02:53.00]  Esas asegadoras había cosecha...
[0:02:53.00]-[0:02:54.00]  ¿Maquinaria o...?
[0:02:54.00]-[0:02:57.00]  Maquinaria, maquinaria.
[0:02:57.00]-[0:03:01.00]  ¿Cuánto tiempo llevas viviendo aquí en el pueblo?
[0:03:01.00]-[0:03:02.00]  ¿Y en Dios?
[0:03:02.00]-[0:03:03.00]  Sí, somos yacines.
[0:03:03.00]-[0:03:04.00]  ¿De toda la vida?
[0:03:04.00]-[0:03:05.00]  De toda la vida.
[0:03:05.00]-[0:03:09.00]  ¿Y sus nietos, sus hijos, siguen viviendo aquí o se han ido fuera?
[0:03:09.00]-[0:03:11.00]  Están todos fuera.
