[0:00:00.00]-[0:00:02.00]  Una miaja, ¿no?
[0:00:02.00]-[0:00:04.00]  Este le puede...
[0:00:04.00]-[0:00:06.00]  Hasta que nací.
[0:00:06.00]-[0:00:08.00]  Este sí sabe algo más.
[0:00:08.00]-[0:00:10.00]  Ah, qué bien.
[0:00:10.00]-[0:00:12.00]  Es que venimos de la universidad,
[0:00:12.00]-[0:00:14.00]  que estamos haciendo un estudio
[0:00:14.00]-[0:00:16.00]  sobre cómo era la vida antes en los pueblos.
[0:00:16.00]-[0:00:18.00]  Usted ha labrado la tierra, por ejemplo,
[0:00:18.00]-[0:00:20.00]  por aquí, por Allí en Les.
[0:00:20.00]-[0:00:22.00]  Hasta que nací estudió la tierra.
[0:00:22.00]-[0:00:24.00]  Ay, qué bien.
[0:00:24.00]-[0:00:26.00]  Pues nos puede dedicar un ratico
[0:00:26.00]-[0:00:28.00]  que le hagamos unas preguntas, nos cuenta cómo era todo aquello.
[0:00:28.00]-[0:00:30.00]  Es que vamos preguntando a gente ya
[0:00:30.00]-[0:00:32.00]  de una cierta edad que nos cuente cómo era aquella vida.
[0:00:32.00]-[0:00:34.00]  ¿Por qué era vida?
[0:00:34.00]-[0:00:36.00]  Porque la vida era que teníamos ocho años
[0:00:36.00]-[0:00:38.00]  y ya estábamos trabajando en la tierra.
[0:00:38.00]-[0:00:40.00]  Claro.
[0:00:40.00]-[0:00:42.00]  La meja escuela que tengo, hemos estudiado
[0:00:42.00]-[0:00:44.00]  hace dos de noche, después de venir a trabajar.
[0:00:44.00]-[0:00:46.00]  Fíjese.
[0:00:46.00]-[0:00:48.00]  Maestro no teníamos.
[0:00:48.00]-[0:00:50.00]  Pues nos vamos a sentar con usted un ratico
[0:00:50.00]-[0:00:52.00]  y nos cuenta...
[0:00:52.00]-[0:00:54.00]  ¿Le importa? Lo que pasa es que la entrevista
[0:00:54.00]-[0:00:56.00]  la grabamos porque no nos da tiempo
[0:00:56.00]-[0:00:58.00]  a tomar notas del todo.
[0:00:58.00]-[0:01:00.00]  ¿Le importa si le pongo esto?
[0:01:00.00]-[0:01:02.00]  Se lo voy a poner aquí.
[0:01:04.00]-[0:01:06.00]  ¡A la carta en paz!
[0:01:06.00]-[0:01:08.00]  ¡A la carta en paz!
[0:01:08.00]-[0:01:10.00]  Allí no trabajo.
[0:01:10.00]-[0:01:12.00]  Yo le he dicho que mi perola no está buena.
[0:01:12.00]-[0:01:14.00]  Aquí voy a estar trabajando mientras que vivo.
[0:01:14.00]-[0:01:16.00]  Y si me voy allí, pues ya he terminado de trabajar.
[0:01:16.00]-[0:01:18.00]  Ahí.
[0:01:18.00]-[0:01:20.00]  Pues...
[0:01:20.00]-[0:01:22.00]  ¿Cómo se llama usted?
[0:01:22.00]-[0:01:24.00]  Muy bien.
[0:01:24.00]-[0:01:26.00]  Muy bien.
[0:01:26.00]-[0:01:28.00]  Pues cuéntenos cómo
[0:01:28.00]-[0:01:30.00]  usted empezó a los siete años.
[0:01:30.00]-[0:01:32.00]  A los siete años empecé a trabajar así.
[0:01:32.00]-[0:01:34.00]  Cuando tenía seis años
[0:01:34.00]-[0:01:36.00]  yo iba con las cabricas.
[0:01:36.00]-[0:01:38.00]  ¿Estamos?
[0:01:38.00]-[0:01:40.00]  ¿Qué haces?
[0:01:40.00]-[0:01:42.00]  No, hambre gracias a Dios.
[0:01:42.00]-[0:01:44.00]  No, eso no.
[0:01:44.00]-[0:01:46.00]  Cuando te ibas por ahí,
[0:01:46.00]-[0:01:48.00]  hasta que venías no comías.
