[0:00:00.00]-[0:00:04.80]  Bueno pues, ya le hemos dicho, queríamos saber cómo era la vida de antes.
[0:00:04.80]-[0:00:06.80]  ¿Usted de qué ha trabajado?
[0:00:08.00]-[0:00:14.80]  Bueno, yo sobre todo he trabajado en la agricultura y ganadería en pequeñas calas,
[0:00:14.80]-[0:00:18.80]  porque no he creado nunca cantidad grande de ganado,
[0:00:18.80]-[0:00:31.80]  pero en la agricultura lo mismo, sobre todo la agricultura para abastecer las necesidades del hogar.
[0:00:32.80]-[0:00:43.80]  Y la ganadería, en el tiempo que verdaderamente yo trabajé en la agricultura y en la ganadería,
[0:00:43.80]-[0:00:54.80]  la ganadería pues uno criaba unos animales para abastecer la casa, hacer el queso para venderlo.
[0:00:54.80]-[0:01:06.80]  Entonces no existía una cooperativa como existe ahora, una cooperativa central que es que los ganaderos llevan su producto allí.
[0:01:06.80]-[0:01:14.80]  Entonces hacíamos cada uno el queso en la casa y se llevaba a la tienda.
[0:01:14.80]-[0:01:28.80]  Fue una situación un poco, digamos, tenosa en aquel momento, porque igual la agricultura que la ganadería es mucho trabajo y muy mal paro.
[0:01:28.80]-[0:01:42.80]  Y entonces el queso se hacía en las casas, se llevaba a venderlo a las tiendas para exportarlo al resto de las islas de Arifira Palma.
[0:01:42.80]-[0:01:56.80]  Y entonces el comerciante, el dueño de la tienda, le recogía uno el más que le gustaba y el resto que supo no lo rechazaba.
[0:01:56.80]-[0:02:12.80]  Y entonces pues sobre todo esto lo sufría las mujeres de la casa, dijéramos, que la más que se obligaba para poder poner la comida en la mesa.
[0:02:12.80]-[0:02:19.80]  Y si no vendían queso, no tenían con qué comprar para poner la comida.
[0:02:19.80]-[0:02:32.80]  En aquel momento el dinero estaba muy escaso y les estoy hablando de años ya un poco remotos, pero no tampoco de tanto.
[0:02:32.80]-[0:02:44.80]  En los años cincuenta y pico, sesenta, España se estaba viviendo en una extrema necesidad y dijéramos.
[0:02:44.80]-[0:02:57.80]  Y entonces pasaba eso, que resultaba que no había otros ingresos en la isla, sino el queso de la ganadería.
[0:02:57.80]-[0:03:11.80]  Y entonces en una época que sobre todo porque en aquel momento no entraban a la isla los alimentos que entraban para el ganado.
[0:03:11.80]-[0:03:21.80]  Ahora entra en paja, entra en pienso y tal. En aquel momento el ganado y la gente vivíamos solamente en el campo de la supervivencia.
