estandar	dialectal	whisper
Y	Y	¿Y
entonces	entonces	entonces
qué	qué	qué
~…	~…	recuerdas
~|	~|	de
com-	com-	los
~,	~,	coros?
qué	qué	¿Qué
recuerdas	recuerdas	gente
de	de	cantaba
~…	~…	para
~,	~,	qué
de	de	se
los	los	formaba
coros	coros	los
~.	~.
¿~	¿~
Qué	Qué
gente	gente
[HS:E2	[HS:E2
		¿~			¿~
Para	Para
qué	qué
se	se
formaban	formaban
~?	~?
		]			]
cantaba	cantaba
~?	~?
¿~	¿~
Para	Para
qué	qué
se	se
for-	for-
~,	~,
para	para
qué	qué
se	se
formaban	formaban
[HS:E2	[HS:E2
		¿~			¿~
Para	Para
qué	qué
se	se
formaban	formaban
~?	~?
		]			]
los	los
coros	coros
~?	~?
