estandar	dialectal	whisper
Y	Y	Y
ahora	ahora	ahora
~,	~,	el
el	el	mediano
~…	~…	se
el	el	le
~,	~,	un
el	el	pinón
~,	~,	más,
el	el	era
mediano	mediano	más
~,	~,	el
se	se	mediano,
le	le	es
empinó	empinó	guacquello.
más	más	Y
~,	~,	se
era	era	puso
más	más	el
~…	~…	costumptor
el	el	el
me-	me-	y
~,	~,	el
el	el	mayor
mediano	mediano	se
es	es
igual	iguá
que	que
yo	yo
~,	~,
[HS:E1	[HS:E1
		[Asent]			[Asent]
~.	~.
		]			]
y	y
~,	~,
y	y
se	se
puso	puso
él	él
~,	~,
constructor	constructor
él	él
~,	~,
y	y
el	el
~,	~,
y	y
el	el
	
Anonimizado	Anonimizado
	
~,	~,
el	el
	
Anonimizado	Anonimizado
	
~,	~,
el	el
~…	~…
	
Anonimizado	Anonimizado
	
~,	~,
[HS:E1	[HS:E1
		[Asent]			[Asent]
~.	~.
		]			]
el	el
mayor	mayor
~…	~…
se	se
quedó	quedó
[HS:E1	[HS:E1
		[Asent]			[Asent]
~.	~.
		]			]
más	más
~.	~.
[HS:E1	[HS:E1
		Muy			Muy
bien	bien
~.	~.
		]			]
