estandar	dialectal	whisper
Y	Y	y
me	me	me
lo	lo	lo
dice	dice	dice,
~…	~…	te
~:	~:	acuerda,
«~	«~	te
¿~	¿~	acuerda,
Te	Te	me
acuerdas	acuerdas	acuerda.
~?	~?	Y
~»	~»	ellos
~.	~.	iban
Digo	Digo	al
~:	~:	pinar
«~	«~	y
Claro	Claro	cortaban
que	que	dos
me	me	pinos.
acuerdo	acuerdo	Y
~»	~»	los
~.	~.	tenían
Y	Y	que
ellos	ellos	poner
iban	iban	a
al	al	ver
pinar	pinar	visto
y	y	el
cortaban	cortaban	rollo,
dos	dos	y
pinos	pinos	sí,
~.	~.	decimos
Y	Y	el
los	los	rollo...
tenían	tenían	Una
que	que	cosa
poner	poner	que
~…	~…	hay
¿~	¿~	en
habís	habís	el
visto	visto	fogo
el	el	pelota,
rollo	rollo	no
ese	ese	la
~?	~?	habéis
Decimos	Decimos	visto.
el	el	¿En
rollo	rollo	Tor
~…	~…	Isas,
~,	~,	Equipado
una	una	Ollie
cosa	cosa
que	que
hay	hay
en	en
el	el
juego	juego
pelota	pelota
~,	~,
¿~	¿~
no	no
lo	lo
habís	habís
visto	visto
~?	~?
[HS:I2	[HS:I2
		[A-Inn]			[A-Inn]
		]			]
En	En
Torija	Torija
hay	hay
otro	otro
igual	igual
~.	~.
