estandar	dialectal	whisper
Yo	Yo	Yo
nunca	nunca	nunca
[HS:E1	[HS:E1	supe
		¿~			¿~	si
No	No	la
pagaban	pagaban	novia
la	la	pegaba
boda	boda	la
~?	~?	boda
		]			]	la
supe	supe	pagaban
si	si	entre
~,	~,	los
si	si	dos.
la	la	Tienes
novia	novia	dos
~…	~…
~,	~,
pagaba	pagaba
~|	~|
la	la
boda	boda
la	la
pagaban	pagaban
entre	entre
los	los
dos	dos
~,	~,
[HS:I1	[HS:I1
		Entre			Entre
los	los
dos	dos
~,	~,
las	las
dos	dos
familias	familias
~.	~.
		]			]
entre	entre
las	las
dos	dos
familias	familias
~.	~.
Sí	Sí
~.	~.
Entre	Entre
las	las
dos	dos
familias	familias
~,	~,
pagaban	pagaban
la	la
boda	boda
~.	~.
