estandar	dialectal	whisper
La	La	La
miel	miel	Mesa,
se	se	la
pone	pone	Mesa
~,	~,	no
eh	eh	se
~…	~…	pone
~,	~,	en
la	la	la
miel	miel	Mesa,
no	no	puede
se	se	haber
pone	pone	una
~,	~,	buena
en	en	buena.
la	la	Hemos
miel	miel	pecido,
que	que	lo
es	es	he
buena	buena	hecho
~,	~,	y
buena	buena	que
~,	~,	hay,
buena	buena	hemosыпado
~,	~,	la
buena	buena
es	es
mu	mu
espesito	espesito
~,	~,
lo	lo
echas	echas
y	y
cae	cae
igual	igual
que	que
si	si
~…	~…
Bueno	Bueno
~,	~,
que	que
te	te
se	se
pega	pega
~,	~,
te	te
se	se
pega	pega
~.	~.
[HS:I2	[HS:I2
		[A-Inn]			[A-Inn]
		]			]
