estandar	dialectal	whisper
No	No
~…	~…
~,	~,
no	no
~…	~…
~,	~,
no	no
~…	~…
~,	~,
no	no
[A-Inn]	[A-Inn]
~.	~.
Alguien	Alguien
quiere	quiere
ser	ser
alcalde	alcalde
~,	~,
necesitaban	necesitaban
~:	~:
«~	«~
Yo	Yo
quiero	quiero
ser	ser
alcalde	alcalde
~»	~»
~;	~;
«~	«~
Pues	Pues
venga	venga
~,	~,
qué	qué
más	más
da	da
~»	~»
~.	~.
Y	Y
ya	ya
está	está
~.	~.
Y	Y
luego	luego
~,	~,
le	le
echaron	echaron
a	a
ese	ese
señor	señor
~,	~,
a	a
	
Anonimizado	Anonimizado
	
~,	~,
y	y
entró	entró
	
Anonimizado	Anonimizado
	
de	de
alcalde	alcalde
~.	~.
Entonces	Entonces
~,	~,
luego	luego
ya	ya
[A-PIn:	[A-PIn:
		echaron			echaron
a	a
		]			]
	
Anonimizado	Anonimizado
	
y	y
entró	entró
	
Anonimizado	Anonimizado
	
~,	~,
el	el
padre	padre
de	de
[A-Inn]	[A-Inn]
~.	~.
Luego	Luego
ya	ya
~,	~,
entró	entró
	
Anonimizado	Anonimizado
	
~,	~,
[A-Inn]	[A-Inn]
que	que
ha	ha
estao	estao
~…	~…
Luego	Luego
	
Anonimizado	Anonimizado
	
~,	~,
[A-Inn]	[A-Inn]
	
Anonimizado	Anonimizado
	
~,	~,
ahora	ahora
está	está
otra	otra
vez	vez
	
Anonimizado	Anonimizado
	
y	y
así	así
~.	~.
Pero	Pero
los	los
alcaldes	alcaldes
[A-Inn]	[A-Inn]
eran	eran
los	los
que	que
mandaban	mandaban
en	en
el	el
pueblo	pueblo
~.	~.
[A-Inn]	[A-Inn]
