estandar	dialectal	whisper
Con	Con	con
la	la	la
espátula	espátula	espátula
cuando	cuando	cuando
veíamos	veíamos	veíamos
que	que	que
ya	ya	ella
se	se	se
iba	iba	iba
cuajando	cuajando	acuajando
[HS:E1	[HS:E1	con
		[Asent]			[Asent]	la
~.	~.	espátula
		]			]	la
con	con	dábamos
la	la	para
espátula	espátula	que
la	la	se
dábamos	dábamos	fuera
para	para	poniendo
que	que	otra
se	se	vez
fuera	fuera	lo
poniendo	poniendo	otro
otra	otra	que
vez	vez	estaba
lo	lo	en
otro	otro	líquido
que	que	se
estaba	estaba	fue
en	en	se
líquido	líquido	poniendo
~,	~,
[HS:E1	[HS:E1
		[Asent]			[Asent]
~.	~.
		]			]
se	se
fuese	fuese
poniendo	poniendo
ya	ya
cuajao	cuajao
~.	~.
