estandar	dialectal	whisper
No	No	No
ardía	ardía	ardía
el	el	el
pelo	pelo	pelo
del	del	del
gorrino	gorrino	gorril
y	y	y
entonces	entonces	entonces
~,	~,	bueno
bueno	bueno	pues
pues	pues	el
~,	~,	día
el	el	que
día	día	lo
que	que	matamos
lo	lo	ya
matamos	matamos	se
~,	~,	ha
bueno	bueno	muerto
pues	pues	el
~,	~,	bicho
ya	ya	pues
se	se	entonces
ha	ha	ya
muerto	muerto	estuñábamos
el	el	y
bicho	bicho	poníamos
~,	~,	las
pues	pues	manos
entonces	entonces	de
ya	ya	la
le	le	espalda
tumbábamos	tumbábamos	con
~,	~,	la
le	le	cabeza
poníamos	poníamos	de
las	las	la
manos	manos	derecha
así	así	no
~,	~,	no
derechas	derechas	así
pa	pa	esta
allá	allá	postura
~,	~,	así
[HS:E	[HS:E	y
		Sí			Sí	en
~.	~.	culo
		]			]	así
con	con	así
la	la	para
cabeza	cabeza
a	a
la	la
derecha	derecha
pa	pa
~|	~|
así	así
pa	pa
[HS:E	[HS:E
		Para			Para
arriba	arriba
~,	~,
o	o
para	para
~,	~,
boca	boca
arriba	arriba
~,	~,
¿~	¿~
no	no
~?	~?
		]			]
~|	~|
se	se
~,	~,
se	se
~|	~|
pa	pa
~|	~|
se	se
~|	~|
no	no
~,	~,
no	no
~…	~…
~,	~,
así	así
~,	~,
esta	esta
postura	postura
~,	~,
así	así
~,	~,
y	y
~…	~…
el	el
culo	culo
así	así
~,	~,
así	así
pa	pa
atrás	atrás
~.	~.
