estandar	dialectal	whisper
Estaba	Estaba	Habeis
yo	yo	seeing
diciendo	diciendo	noses
lo	lo	nosescores
siguiente	siguiente	de
~:	~:
que	que
yo	yo
~,	~,
yo	yo
prefería	prefería
ir	ir
hoy	hoy
~,	~,
hoy	hoy
~,	~,
por	por
ejemplo	ejemplo
~,	~,
a	a
las	las
tres	tres
de	de
la	la
mañana	mañana
~,	~,
a	a
las	las
cuatro	cuatro
la	la
mañana	mañana
~,	~,
a	a
las	las
cinco	cinco
la	la
mañana	mañana
por	por
San_Sebastián	San_Sebastián
~,	~,
por	por
Zumaia	Zumaia
~,	~,
por	por
[A-Inn]	[A-Inn]
~,	~,
[HS:I1	[HS:I1
		Sí			Sí
~…	~…
		]			]
por	por
[A-PIn:	[A-PIn:
		to			to
eso	eso
~,	~,
		]			]
que	que
por	por
Madrid	Madrid
~.	~.
