estandar	dialectal	whisper
Pues	Pues	Por
mira	mira	mirar,
~,	~,	lo
lo	lo	que
cogíamos	cogíamos	ocurriamos
era	era	era
u-	u-	una
~…	~…	cosa
~,	~,	como......estré
una	una	como
cosa	cosa	esta
como	como	mesa,...nama
~,	~,	que
[V-Sml]	[V-Sml]	hacía......cana
como	como	el
~,	~,	canal,
este	este	aquí
~,	~,	ha
como	como	una
esta	esta	canalica......para
mesa	mesa	que......baló
~,	~,	escaldar,
[HS:E1	[HS:E1	es
		[Asent]			[Asent]	que
~.	~.	el
		]			]	dable
nada	na	es
más	más	el
que	que	hielo......y
hacía	hacía	el
de	de
~…	~…
~,	~,
hacía	hacía
canal	canal
~,	~,
hacía	hacía
una	una
canalica	canalica
así	así
~,	~,
una	una
~,	~,
una	una
canalica	canalica
así	así
~,	~,
para	pa
que	que
~,	~,
eh	eh
~,	~,
para	pa
luego	luego
escaldarlo	escaldalo
~,	~,
escaldar	escaldar
el	el
~,	~,
el	el
eso	eso
y	y
~,	~,
y	y
echarlo	echalo
~…	~…
