estandar	dialectal	whisper
Sí	Sí	¿Y
~,	~,	el
claro	claro	tercero
~,	~,	es
en	en	cuando
cuanto	cuanto	rompt
~,	~,	broccoli?
en	en	Si...
cuanto	cuanto	¿Dónde
se	se	żebyほ'on
lo	lo	stor毀?
sacas	sacas	ya,
~,	~,	ya,
tienen	tienen	lo
que	que	ult
lamerlo	lamelo	pentaport
~.	~.	картos.
Y	Y	No,
ya	ya	lo
~,	~,	pronto
ya	ya	el
los	los	dito
pueden	pueden	a
dejar	dejar	tamales
tranquilos	tranquilos	tan
~,	~,	mal
que	que	Retrasco-me.
ese	ese	el
ya	ya	tepo,
~…	~…	gran
no	no
~,	~,
no	no
lo	lo
pierde	pierde
de	de
vista	vista
la	la
madre	mai
y	y
s'arrima	s'arrima
a	a
un	un
extraño	extraño
~,	~,
a	a
un	un
perro	perro
o	o
algo	algo
y	y
arrea	arrea
pa	pa
él	él
a	a
tomarlo	tomalo
~,	~,
[HS:E1	[HS:E1
		¿~			¿~
Pa	Pa
defenderlo	defenderlo
~?	~?
		]			]
pa	pa
defender	defendé
al	al
crío	crío
~.	~.
