estandar	dialectal	whisper
A	A	a
prueba	prueba	prueba
le	le	de
trajo	trajo	trajo.
~.	~.	el
[RISAS]	[RISAS]	lovo
[HS:E1	[HS:E1	bien
		~¡~			~¡~	delicado
Ah	Ah	es
~!	~!	que
~,	~,	esto
a	a	hay
prueba	prueba	que
~.	~.	mojar
		]			]	en
Y	Y	esto
luego	luego	en
vino	vino	gasolio,
él	él	largo,
y	y	tienes
		que
claro	caro
~,	~,
es	es
que	que
esto	esto
		]			]
hay	hay
que	que
m-	m-
~,	~,
hay	hay
que	que
mojar	mojar
en	en
esto	esto
~,	~,
en	en
gasóleo	gasóleo
~,	~,
o	o
en	en
algo	algo
~…	~…
tienes	tienes
que	que
mojar	mojar
y	y
tal	tal
~…	~…
