estandar	dialectal	whisper
Morcillas	Morcillas	Ya
~,	~,	hace
se	se	mucho
hace	hace	puerro.
~,	~,	Puerro
o	o	si
sea	sea	puerro
~,	~,	si.
mucho	mucho	Puerro,
puerro	puerro	no
~.	~.	sé,
¿~	¿~	no
Puerro	Puerro	sé.
~?	~?	Manteca,
Sí	Sí	ya
~,	~,	sí.
puerro	puerro	Manteca,
~.	~.	ya
Sí	Sí
~.	~.
[HS:I2	[HS:I2
		Sí			Sí
~,	~,
puerro	puerro
~…	~…
		]			]
Puerro	Puerro
~,	~,
cebolla	cebolla
~,	~,
no	no
sé	sé
~,	~,
[HS:I2	[HS:I2
		Manteca			Manteca
~,	~,
manteca	manteca
~.	~.
		]			]
manteca	manteca
y	y
así	así
~,	~,
manteca	manteca
y	y
así	así
~.	~.
