estandar	dialectal	whisper
[HS:I2	[HS:I2	y
		Sí			Sí	yo
~.	~.	ya
El	El	tiene
segun-	segun-	el
~,	~,	boque
segundo	segundo	para
día	día	el
o	o	tercero,
el	el	pero
tercero	tercero	es
~.	~.	que
		]			]	cuando
Sí	Sí	si
~.	~.	ven
Y	Y	entre
~,	~,	los
y	y	quinto,
la	la	se
hacen	hacen	dice
en	en	ahora
~|	~|	con
la	la	la
hacen	hacen	quita
para	pa
eso	eso
~.	~.
Pero	Pero
es	es
que	que
cuando	cuando
s'iban	s'iban
antes	antes
los	los
quintos	quintos
~,	~,
que	que
antes	antes
se	se
iban	iban
los	los
quintos	quintos
a	a
servir	servir
~,	~,
que	que
ahora	ahora
como	como
la	la
han	han
quitado	quitao
también	también
~…	~…
