estandar	dialectal	whisper
Tengo	Tengo	tengo
al	al	algo,
		te
Anonimizado	Anonimizado	he
		conocido
~.	~.	el
Usteden	Usteden	nuevo,
conocieron	conocieron	después
hoy	hoy	tengo
~,	~,	a
¿~	¿~	otro
no	no	que
~?	~?	ustedes
[HS:E1	[HS:E1	tuvieron
		Sí			Sí	el
~.	~.	bar
		]			]	de
[HS:E2	[HS:E2	la
		Sí			Sí	Pofradía,
~.	~.	el
		]			]	cocinero,
[HS:E5	[HS:E5	no
		Sí			Sí	trabajaba
~,	~,	por
sí	sí	la
~,	~,	mañana,
sí	sí	trabajaba
~,	~,	por
sí	sí	la
~.	~.	tarde,
		]			]	ese
Después	Después	digo
tengo	tengo	mío,
a	a	después
otro	otro	de
que	que	la
~…	~…	farmacia,
~|	~|	en
¿~	¿~	Robisodo
Ustedes	Ustedes	es
estuvieron	estuvieron	Millo,
en	en	savior,
el	el	office
bar	bar	pyaz
de	de
la	la
cofradía	cofradía
~?	~?
[HS:E1	[HS:E1
		Sí			Sí
~.	~.
		]			]
[HS:E2	[HS:E2
		Sí			Sí
~.	~.
		]			]
[HS:E5	[HS:E5
		Sí			Sí
~,	~,
sí	sí
~,	~,
sí	sí
~,	~,
sí	sí
~.	~.
		]			]
El	El
cocinero	cocinero
~.	~.
[HS:E4	[HS:E4
		[Asent]			[Asent]
~.	~.
		]			]
[HS:E2	[HS:E2
		Ah			Ah
~.	~.
		]			]
No	No
trabaja	trabaja
por	por
la	la
mañana	mañana
~,	~,
trabaja	trabaja
por	por
la	la
tarde	tarde
~.	~.
[HS:E1	[HS:E1
		Ah			Ah
~.	~.
		]			]
[HS:E2	[HS:E2
		Ah			Ah
~.	~.
		]			]
	
Anonimizado	Anonimizado
	
~.	~.
[HS:E2	[HS:E2
		No			No
lo	lo
conocimos	conocimos
~.	~.
		]			]
Ese	Ese
es	es
hijo	hijo
mío	mío
~.	~.
El	El
	
Anonimizado	Anonimizado
	
~,	~,
	
Anonimizado	Anonimizado
	
~,	~,
después	después
	
Anonimizado	Anonimizado
	
que	que
trabaja	trabaja
en	en
la	la
farmacia	farmacia
~,	~,
y	y
	
Anonimizado	Anonimizado
	
que	que
trabaja	trabaja
en	en
[A-Inn]	[A-Inn]
el	el
queso	queso
~.	~.
[V-Sml]	[V-Sml]
Cuatro	Cuatro
hijos	hijos
~.	~.
