estandar	dialectal	whisper
Lo	Lo	lo
que	que	que
es	es	es
aguardiente	aguardiente	aguardiente,
~,	~,	ojjo,
¿~	¿~	eso
no	no	lo
~?	~?	llevaban
~,	~,	a
orujo	orujo	la
~.	~.	lambique
Eso	Eso	que
lo	lo	había
llevaban	llevaban	ahí
al	al	en
alambique	alambique	un
que	que	pueblo,
había	había	los
allí	allí	despojos
en	en	de
un	un	las
pueblo	pueblo	subas
~,	~,	lo
los	los	llevaban
despojos	despojos	y
de	de	la
las	las	lambique
uvas	uvas	después
lo	lo	ha
llevaban	llevaban	cambiado
~,	~,	de
y	y	eso,
[OTRAS-EM]	[OTRAS-EM]	llegaron
alambique	alambique	el
~,	~,	oro
después	después	a
a	a	des
cambio	cambio	spellones,
de	de	el
eso	eso	mar,
te	te	se
daban	daban	le
el	el	han
orujo	orujo	vestido,
que	que	se
te	te	aprobó
pertenecía	pertenecía	del
~.	~.
