estandar	dialectal	whisper
Ay	Ay	ah
~,	~,	yo
yo	yo	eso
eso	eso	no
no	no	lo
~…	~…	suje
pues	pues	yo
no	no	y
lo	lo	si
sé	sé	la
y	y	esponen
si	si	al
las	las	verde
ponen	ponen	usan
al	al	mejor
verde	verde	cuando
~,	~,	la
pues	pues	recogen
a	a	por
lo	lo	las
mejor	mejor	hechas
cuando	cuando	en
~…	~…	un
las	las	pienso
recogen	recogen	2
~,	~,	la
pues	pues	que
las	las	tiene
echan	echan	el
un	un	leche
pienso	pienso	tienen
o	o	que
dos	dos	dar
~.	~.	la
La	La	por
que	que	la
tienen	tienen	mañana
leche	leche	por
tienen	tienen	lo
que	que	menos
darla	darla	un
por	por	pienso
la	la	para
mañana	mañana	la
por	por	tarde
lo	lo	otro
menos	menos	después
un	un	si
pienso	pienso	la
y	y	suelta
por	por	a
la	la	la
tarde	tarde	hierba
otro	otro	o
~,	~,	a
después	después	ellos
si	si	ya
la	la	no
sueltan	sueltan	vamos
a	a	a
~…	~…
la	la
hier-	hier-
~,	~,
a	a
la	la
hierba	hierba
o	o
a	a
eso	eso
[R-Vhc]	[R-Vhc]
pues	pues
ya	ya
no	no
~,	~,
claro	claro
~.	~.
