estandar	dialectal	whisper
Pues	Pues	Por
~,	~,	lo
hombre	hombre	primero,
~,	~,	entonces
empecemos	empecemos	tenía
por	por	la
~,	~,	vaca
por	por	y
~,	~,	tampoco
por	por	como
~,	~,	las
por	por	veías,
~,	~,	estamos
por	por	hablando
lo	lo	entre
primero	primero	personas,
~,	~,	no?
[HS:E1	[HS:E1	Al
		[Asent]			[Asent]	taller,
~.	~.	entonces
		]			]	se
entonces	entonces	cubría
tenías	tenías	y
la	la	a
vaca	vaca	los
~,	~,	9
[V-Ljn]	[V-Ljn]	meses,
y	y	pues
tan	tan	estaba
pronto	pronto	casi
como	como	de
la	la	baluz
veías	veías	internego,
~…	~…	una
~,	~,	tercera.
estamos	estamos	Se
hablando	hablando	la
entre	entre	tenía
personas	personas	siete
~,	~,	semanas
¿~	¿~	y
no	no	a
~?	~?	aquello
[HS:E1	[HS:E1	era
		[Asent]			[Asent]	ternera,
~.	~.	a
		]			]	aquello
Alta	Alta	era
~,	~,	ternera,
pues	pues	hoy
se	se	no
la	la	va
echaba	echaba	a
al	al	eternas,
toro	toro	pues
~,	~,	yo
entonces	entonces	loく
se	se	hacer,но
cubría	cubría	y
~,	~,	así
y	y	etc.
a	a	fine,
los	los	era
nueve	nueve	como
meses	meses	manufacturer,
~,	~,	ha
pues	pues	con
estaba	estaba
casi	casi
~…	~…
Daba	Daba
a	a
luz	luz
un	un
~…	~…
ternero	ternero
~,	~,
o	o
~…	~…
~,	~,
[HS:E1	[HS:E1
		[Asent]			[Asent]
~.	~.
		]			]
o	o
una	una
ternera	ternera
~.	~.
Se	Se
la	la
tenía	tenía
~…	~…
siete	siete
semanas	semanas
~,	~,
[HS:E1	[HS:E1
		[Asent]			[Asent]
~.	~.
		]			]
siete	siete
o	o
ocho	ocho
semanas	semanas
~,	~,
y	y
aquello	aquello
era	era
[R-Glp]	[R-Glp]
ternera	ternera
~,	~,
[HS:E1	[HS:E1
		[Asent]			[Asent]
~.	~.
		]			]
[R-Vnt]	[R-Vnt]
aquello	aquello
era	era
ternera	ternera
~,	~,
hoy	hoy
no	no
hay	hay
ternera	ternera
~,	~,
[HS:E1	[HS:E1
		[Asent]			[Asent]
~.	~.
		]			]
hoy	hoy
desgraciadamente	desgraciadamente
no	no
hay	hay
ternera	ternera
~,	~,
como	como
no	no
hay	hay
cordero	cordero
~.	~.
