estandar	dialectal	whisper
Y	Y	y
al	al	al
cura	cura	curantes
antes	antes	había
~,	~,	algo
se	se	que
~…	~…	no
~,	~,	le
había	había	gustara,
algo	algo	que
que	que	se
no	no	hicieran
le	le	el
gustara	gustara	polo,
que	que	por
se	se	ejemplo
hiciera	hiciera	se
en	en	hacía
el	el	aquí
pueblo	pueblo	bailes,
~,	~,	скажes
por	por	que
ejemplo	ejemplo	campaignar
~,	~,	es
se	se	un
hacía	hacía	prac
aquí	aquí	they
~…	~…
bailes	bailes
~,	~,
[HS:I1	[HS:I1
		Uy			Uy
~,	~,
no	no
~,	~,
no	no
~,	~,
para	para
~,	~,
para	para
~.	~.
Uy	Uy
~…	~…
Y	Y
eso	eso
~,	~,
		]			]
o	o
las	las
chicas	chicas
con	con
minifalda	minifalda
~…	~…
¿~	¿~
Se	Se
imponía	imponía
~?	~?
